airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,average_daily_rate,img_cover,reviews,longitude,latitude,days_available,room_type,url,active_listing,city,listing_date,description
44504267.0,9.0,Apartment,1.0,Spacious 1 Bedroom Luxury Apartment Near Galleria!,1,3.0,69.0,https://a0.muscache.com/im/pictures/miso/Hosting-44504267/original/40565c32-77b0-4e02-88a2-e410ae75fed5.jpeg?aki_policy=x_large,2.0,-96.8395,32.93483,57.0,Entire home/apt,https://www.airbnb.com/rooms/44504267,1.0,Dallas,,
45801412.0,,Room in hotel,1.0,Downtown room 2 beds VIEW-5+nights,0,5.0,84.0,https://a0.muscache.com/im/pictures/65cea5db-7ef9-425a-bc12-6ead2f8acc70.jpg?aki_policy=x_large,0.0,-96.80592,32.78156,17.0,Private room,https://www.airbnb.com/rooms/45801412,1.0,Dallas,,
43982400.0,9.5,House,2.0,Minutes from Downtown Dallas — Host your Gathering,3,10.0,390.0,https://a0.muscache.com/im/pictures/6b1815fb-b12d-4386-9755-b0d0ef5177d9.jpg?aki_policy=x_large,11.0,-96.84603,32.78017,113.0,Entire home/apt,https://www.airbnb.com/rooms/43982400,1.0,Dallas,,
29706484.0,9.8,House,2.5,🅿️ Heated* Pool & Spa! Spacious. Great Location. 🏖,5,16.0,421.0,https://a0.muscache.com/im/pictures/6d3894f9-6fcd-4cf4-b2f1-89d8c973fde1.jpg?aki_policy=x_large,44.0,-96.78496,32.977709999999995,337.0,Entire home/apt,https://www.airbnb.com/rooms/29706484,1.0,Dallas,,
23684721.0,9.7,House,1.5,"Nestle in a ""castle"" near the lake in Dallas",1,1.0,45.0,https://a0.muscache.com/im/pictures/61e89289-25fa-4e3f-8c37-0dbe5218ae09.jpg?aki_policy=x_large,29.0,-96.69486,32.83337,219.0,Private room,https://www.airbnb.com/rooms/23684721,1.0,Dallas,,
33118262.0,9.7,Apartment,1.0,New cozy apartment in the heart of Dallas,1,2.0,80.0,https://a0.muscache.com/im/pictures/4dcd27b3-ad5a-4ffe-bcd9-fbfba6791c39.jpg?aki_policy=x_large,20.0,-96.73709,32.86808,196.0,Entire home/apt,https://www.airbnb.com/rooms/33118262,1.0,Dallas,,
32722066.0,9.3,Apartment,1.0,⭐️Amazing Price on a Brand NEW UPTOWN Apartment⭐️,1,3.0,143.0,https://a0.muscache.com/im/pictures/5050069e-83a8-4b42-bf16-5da47e5cd191.jpg?aki_policy=x_large,3.0,-96.79015,32.81298,163.0,Entire home/apt,https://www.airbnb.com/rooms/32722066,1.0,Dallas,,
42240129.0,,Apartment,1.0,Deep Ellum | Downtown | FREE PARKING | Pool+GYM,1,3.0,179.0,https://a0.muscache.com/im/pictures/9fab05a0-c9bc-4664-8883-e38fdae4cdc7.jpg?aki_policy=x_large,0.0,-96.7906,32.79019,157.0,Entire home/apt,https://www.airbnb.com/rooms/42240129,1.0,Dallas,,
46025312.0,,Serviced apartment,1.5,A place to call home | 1BR in Dallas,1,3.0,67.0,https://a0.muscache.com/im/pictures/ff8f5aa6-53d3-453b-b897-d1faecc755c8.jpg?aki_policy=x_large,0.0,-96.79,32.789,31.0,Entire home/apt,https://www.airbnb.com/rooms/46025312,1.0,Dallas,,
33847923.0,9.4,House,2.0,3/2/2 Close to Dwtn Dallas and White Rock Lake #2,3,10.0,117.0,https://a0.muscache.com/im/pictures/694bf78d-021b-47ba-a672-d7b5642196f6.jpg?aki_policy=x_large,26.0,-96.71267,32.80448,178.0,Entire home/apt,https://www.airbnb.com/rooms/33847923,1.0,Dallas,,
41557911.0,10.0,Apartment,1.0,PROFESSIONALLY CLEANED/DISINFECTED with Parking,1,4.0,89.0,https://a0.muscache.com/im/pictures/93640e32-910a-468a-876d-3003ccd50880.jpg?aki_policy=x_large,1.0,-96.78633,32.82593,299.0,Entire home/apt,https://www.airbnb.com/rooms/41557911,1.0,Dallas,,
40386960.0,,Apartment,1.0,BOOK TODAY | Deep Ellum| Downtown | Uptown,1,3.0,89.0,https://a0.muscache.com/im/pictures/935bbc69-cb17-44c5-9c52-4cb6b5a510f9.jpg?aki_policy=x_large,0.0,-96.7918,32.79085,243.0,Entire home/apt,https://www.airbnb.com/rooms/40386960,1.0,Dallas,,
30295538.0,9.8,Loft,1.0,Picasso on the Park,1,2.0,118.0,https://a0.muscache.com/im/pictures/f748df3d-df94-49ae-bcb2-ca62b6b35c91.jpg?aki_policy=x_large,36.0,-96.79898,32.77912,269.0,Entire home/apt,https://www.airbnb.com/rooms/30295538,1.0,Dallas,,
34726193.0,9.7,Apartment,1.0,Nice and cozy apartment with an awesome pool view!,1,4.0,77.0,https://a0.muscache.com/im/pictures/7bc75e12-53c4-485b-9a65-22387fe164d4.jpg?aki_policy=x_large,20.0,-96.76284,32.88455,41.0,Entire home/apt,https://www.airbnb.com/rooms/34726193,1.0,Dallas,,
38639359.0,9.8,Townhouse,2.5,"Urban Chic, Close to Downtown, Uptown & Deep Ellum",2,6.0,162.0,https://a0.muscache.com/im/pictures/c575496f-729b-4473-ba94-34a484dbfd72.jpg?aki_policy=x_large,45.0,-96.77767,32.801359999999995,211.0,Entire home/apt,https://www.airbnb.com/rooms/38639359,1.0,Dallas,,
45070321.0,7.3,Apartment,1.0,⚛Ozone Cleaned Studio Near Deep Ellum *4⚛,0,2.0,128.0,https://a0.muscache.com/im/pictures/dc432ed5-9347-429a-a2ef-cf6a293fea7e.jpg?aki_policy=x_large,3.0,-96.7664,32.80068,61.0,Entire home/apt,https://www.airbnb.com/rooms/45070321,1.0,Dallas,,
45052390.0,10.0,Room in boutique hotel,1.0,Boutique Bluelofts Hotel Bishop Arts Dallas! ·,0,2.0,104.0,https://a0.muscache.com/im/pictures/99d49999-6ae9-402a-8bc1-0c92f21c68ba.jpg?aki_policy=x_large,3.0,-96.82574,32.754870000000004,53.0,Private room,https://www.airbnb.com/rooms/45052390,1.0,Dallas,,
40065866.0,7.5,Apartment,1.0,this is a very clean unit completely sanitized,1,4.0,101.0,https://a0.muscache.com/im/pictures/93ddd5eb-3a6c-4346-a92a-742d63a19b5f.jpg?aki_policy=x_large,8.0,-96.80416,32.78165,170.0,Entire home/apt,https://www.airbnb.com/rooms/40065866,1.0,Dallas,,
46025302.0,,Serviced apartment,1.0,A place to call home | Studio in Dallas,0,1.0,46.0,https://a0.muscache.com/im/pictures/3f226868-936b-410b-8459-5ae56540cee7.jpg?aki_policy=x_large,0.0,-96.79,32.789,31.0,Entire home/apt,https://www.airbnb.com/rooms/46025302,1.0,Dallas,,
8340133.0,9.9,Townhouse,1.0,Contemporary Townhouse in Oaklawn,1,2.0,81.0,https://a0.muscache.com/im/pictures/442bf7eb-1c72-4c2b-8e3e-444b053af27c.jpg?aki_policy=x_large,98.0,-96.81301,32.80728,267.0,Private room,https://www.airbnb.com/rooms/8340133,1.0,Dallas,,
45273548.0,,Serviced apartment,1.0,"New Unit Special, 1Bed, 1Bath w/Washer & Dryer",1,2.0,162.0,https://a0.muscache.com/im/pictures/miso/Hosting-45273548/original/d63ce2cb-ee7a-4c2e-83f7-89238a862be0.jpeg?aki_policy=x_large,0.0,-96.8669,32.995059999999995,31.0,Entire home/apt,https://www.airbnb.com/rooms/45273548,1.0,Dallas,,
