County,Total Cases,Percent of State's Cases,"Cases per 100,000",Total Deaths
Harris,37776,17.7,801,401
Dallas,27054,12.7,1027,401
Tarrant,15585,7.3,741,248
Bexar,15102,7.1,754,132
Travis,11926,5.6,936,144
El Paso,7642,3.6,911,139
Hidalgo,5782,2.7,666,90
Galveston,4809,2.2,1406,50
Fort Bend,4346,2.0,535,57
Nueces,4084,1.9,1127,0
Collin,3707,1.7,358,47
Denton,3403,1.6,384,37
Williamson,3318,1.6,562,44
Hays,3243,1.5,1409,0
Lubbock,3051,1.4,982,56
Potter,3008,1.4,2562,39
Cameron,2997,1.4,708,67
Jefferson,2959,1.4,1176,36
Brazoria,2925,1.4,782,22
Montgomery,2654,1.2,437,37
Brazos,2532,1.2,1105,34
Walker,2099,1.0,2876,28
Webb,1960,0.9,708,29
McLennan,1798,0.8,701,0
Bell,1626,0.8,448,0
Ector,1392,0.7,837,0
Victoria,1336,0.6,1451,0
Ellis,1182,0.6,640,0
Anderson,1108,0.5,1919,0
Midland,976,0.5,552,0
Randall,971,0.5,705,0
Moore,902,0.4,4308,0
Guadalupe,896,0.4,537,0
Smith,848,0.4,364,0
Titus,842,0.4,2571,0
Starr,829,0.4,1283,0
Kaufman,828,0.4,608,0
Comal,825,0.4,528,0
Maverick,677,0.3,1153,0
Grayson,648,0.3,476,0
Angelina,645,0.3,744,0
Hunt,637,0.3,646,0
Jones,609,0.3,3032,0
Hale,592,0.3,1772,0
Grimes,575,0.3,1991,0
Johnson,553,0.3,315,0
Taylor,543,0.3,393,0
Bastrop,537,0.3,605,0
Tom Green,530,0.2,445,0
Caldwell,494,0.2,1131,0
Gregg,471,0.2,380,0
Wichita,464,0.2,351,0
Bowie,462,0.2,495,0
Nacogdoches,461,0.2,707,26
Chambers,454,0.2,1036,0
Liberty,428,0.2,485,0
Rockwall,403,0.2,384,0
Navarro,396,0.2,790,0
Parker,388,0.2,272,0
Harrison,383,0.2,575,30
Deaf Smith,371,0.2,2000,0
Matagorda,357,0.2,974,0
Lamar,347,0.2,696,0
Coryell,336,0.2,442,0
Orange,327,0.2,392,0
Medina,327,0.2,634,0
Gonzales,314,0.1,1507,0
Washington,309,0.1,861,31
Rusk,289,0.1,531,0
Shelby,288,0.1,1140,0
Val Verde,285,0.1,581,0
Hardin,275,0.1,477,0
Polk,268,0.1,522,0
Cherokee,250,0.1,475,0
Wharton,244,0.1,587,0
Willacy,242,0.1,1133,0
Frio,238,0.1,1172,0
Parmer,227,0.1,2363,0
Panola,218,0.1,940,24
Jim Wells,218,0.1,539,0
San Patricio,204,0.1,306,0
Lavaca,197,0.1,977,0
Henderson,196,0.1,237,0
Waller,195,0.1,353,0
Burnet,181,0.1,376,0
Houston,172,0.1,749,0
Uvalde,172,0.1,643,0
Erath,160,0.1,375,0
Wise,149,0.1,213,0
Atascosa,148,0.1,289,0
Brewster,146,0.1,1586,0
Wilson,144,0.1,282,0
