fips_code,county,date,total_cases,percent_of_states_cases,incidence_rate,total_deaths,exposure_rate,dem_votes,party,rep_votes,total_votes,population
48001,Anderson,20200716,1944,0.7,3367,0,3.367,3162.0,R,11421.0,14603.0,58199
48003,Andrews,20200716,174,0.1,930,0,0.93,656.0,R,3419.0,4123.0,22269
48005,Angelina,20200716,1000,0.3,1153,0,1.153,6706.0,R,19231.0,26257.0,90437
48007,Aransas,20200716,65,0.0,276,0,0.276,2021.0,R,6676.0,8917.0,27699
48009,Archer,20200716,0,0.0,0,0,0.0,310.0,R,3249.0,3603.0,8344
48011,Armstrong,20200716,0,0.0,0,0,0.0,57.0,R,808.0,887.0,1948
48013,Atascosa,20200716,341,0.1,667,0,0.667,7138.0,D,,9523.0,51831
48015,Austin,20200716,141,0.0,469,0,0.469,2047.0,R,8763.0,10984.0,30402
48017,Bailey,20200716,112,0.0,1600,0,1.6,354.0,R,1236.0,1590.0,7692
48019,Bandera,20200716,46,0.0,199,0,0.19899999999999998,1896.0,R,7519.0,9570.0,21246
48021,Bastrop,20200716,862,0.3,972,0,0.972,11202.0,R,15019.0,27116.0,86105
48023,Baylor,20200716,0,0.0,0,0,0.0,131.0,R,1083.0,1230.0,3624
48025,Bee,20200716,173,0.1,531,0,0.531,2862.0,R,4183.0,7045.0,34445
48027,Bell,20200716,2396,0.8,660,0,0.66,38058.0,R,46859.0,86156.0,353629
48029,Bexar,20200716,21546,7.4,1075,208,1.075,1514.0,R,4157.0,5767.0,2093502
48031,Blanco,20200716,57,0.0,478,0,0.478,13.0,R,325.0,338.0,11504
48033,Borden,20200716,0,0.0,0,0,0.0,1294.0,R,5664.0,7059.0,685
48035,Bosque,20200716,43,0.0,230,0,0.23,7534.0,R,20443.0,28254.0,17765
48037,Bowie,20200716,536,0.2,575,0,0.575,42181.0,R,66638.0,111014.0,92570
48039,Brazoria,20200716,3988,1.4,1066,28,1.0659999999999998,24367.0,R,38075.0,64002.0,375869
48041,Brazos,20200716,3120,1.1,1361,36,1.361,2041.0,D,1940.0,4073.0,229410
48043,Brewster,20200716,159,0.1,1728,0,1.7280000000000002,57.0,R,558.0,622.0,9133
48045,Briscoe,20200716,0,0.0,0,0,0.0,1508.0,D,338.0,1860.0,1568
48047,Brooks,20200716,45,0.0,634,0,0.634,1448.0,R,10555.0,12174.0,7175
48049,Brown,20200716,248,0.1,655,0,0.655,1351.0,R,5147.0,6568.0,38923
48051,Burleson,20200716,156,0.1,846,0,0.846,4138.0,R,13987.0,18382.0,17718
48053,Burnet,20200716,278,0.1,577,0,0.5770000000000001,5268.0,R,5798.0,11364.0,48196
48055,Caldwell,20200716,749,0.3,1715,0,1.715,1767.0,R,4159.0,6019.0,44284
48057,Calhoun,20200716,177,0.1,831,0,0.831,519.0,R,4416.0,4994.0,22840
48059,Callahan,20200716,28,0.0,201,0,0.201,50226.0,D,26632.0,76858.0,13456
48061,Cameron,20200716,4905,1.7,1159,79,1.159,197.0,R,2216.0,2447.0,427881
48063,Camp,20200716,144,0.0,1100,0,1.1,1960.0,R,8217.0,10254.0,13322
48065,Carson,20200716,0,0.0,0,0,0.0,381.0,R,1215.0,1596.0,5799
48067,Cass,20200716,72,0.0,240,0,0.24,2787.0,R,12334.0,15121.0,30327
48069,Castro,20200716,130,0.0,1726,0,1.726,3186.0,R,11606.0,14804.0,7103
48071,Chambers,20200716,634,0.2,1446,0,1.446,201.0,R,1541.0,1757.0,42320
48073,Cherokee,20200716,439,0.2,834,0,0.8340000000000001,458.0,R,3770.0,4279.0,52178
48075,Childress,20200716,0,0.0,0,0,0.0,125.0,R,553.0,678.0,7062
48077,Clay,20200716,0,0.0,0,0,0.0,109.0,R,1184.0,1312.0,9787
