Date,County,Total Cases,Percent of State's Cases,"Cases per 100,000",Total Deaths
20200712,Harris,42000,16.6,891,439
20200712,Dallas,31525,12.5,1196,445
20200712,Bexar,18602,7.4,928,166
20200712,Tarrant,17334,6.9,824,262
20200712,Travis,14304,5.7,1123,166
20200712,El Paso,9099,3.6,1084,150
20200712,Hidalgo,7727,3.1,889,142
20200712,Galveston,5873,2.3,1717,54
20200712,Nueces,5672,2.2,1566,42
20200712,Fort Bend,4758,1.9,586,61
20200712,Collin,4308,1.7,416,56
20200712,Denton,3810,1.5,429,39
20200712,Lubbock,3668,1.5,1181,60
20200712,Williamson,3654,1.4,619,51
20200712,Hays,3534,1.4,1535,0
20200712,Jefferson,3532,1.4,1404,39
20200712,Cameron,3496,1.4,826,77
20200712,Brazoria,3358,1.3,897,25
20200712,Potter,3048,1.2,2596,39
20200712,Montgomery,3007,1.2,495,41
20200712,Brazos,2901,1.1,1266,35
20200712,Webb,2547,1.0,921,40
20200712,McLennan,2442,1.0,952,0
20200712,Walker,2223,0.9,3046,28
20200712,Bell,2083,0.8,574,0
20200712,Ector,1829,0.7,1100,0
20200712,Anderson,1796,0.7,3111,0
20200712,Victoria,1673,0.7,1817,0
20200712,Ellis,1510,0.6,817,20
20200712,Smith,1299,0.5,558,0
20200712,Midland,1104,0.4,624,0
20200712,Randall,1045,0.4,759,0
20200712,Guadalupe,1014,0.4,608,0
20200712,Comal,977,0.4,625,22
20200712,Kaufman,971,0.4,713,0
20200712,Moore,916,0.4,4374,0
20200712,Starr,896,0.4,1386,0
20200712,Titus,855,0.3,2611,0
20200712,Maverick,820,0.3,1396,0
20200712,Johnson,788,0.3,448,0
20200712,Hale,763,0.3,2284,0
20200712,Gregg,762,0.3,615,0
20200712,Angelina,743,0.3,857,0
20200712,Grayson,731,0.3,537,0
20200712,Bastrop,727,0.3,819,0
20200712,Hunt,720,0.3,730,0
20200712,Tom Green,670,0.3,562,0
20200712,Taylor,654,0.3,474,0
20200712,Caldwell,645,0.3,1477,0
20200712,Grimes,642,0.3,2223,0
20200712,Jones,604,0.2,3008,0
20200712,Val Verde,588,0.2,1199,0
20200712,Wichita,585,0.2,442,0
20200712,Parker,556,0.2,389,0
20200712,Chambers,555,0.2,1266,0
20200712,Nacogdoches,554,0.2,850,31
20200712,Matagorda,521,0.2,1422,0
20200712,Liberty,508,0.2,576,0
20200712,Orange,498,0.2,597,0
20200712,Bowie,496,0.2,532,0
20200712,Navarro,446,0.2,890,0
20200712,Rockwall,433,0.2,413,0
20200712,Deaf Smith,409,0.2,2205,0
20200712,Hardin,404,0.2,701,0
20200712,Harrison,401,0.2,603,31
20200712,Coryell,398,0.2,524,0
20200712,Lamar,392,0.2,786,0
20200712,Cherokee,357,0.1,678,0
20200712,Washington,349,0.1,973,33
20200712,Medina,343,0.1,665,0
20200712,Frio,338,0.1,1665,0
20200712,Wharton,328,0.1,789,0
20200712,Gonzales,323,0.1,1550,0
20200712,Polk,321,0.1,625,0
20200712,Scurry,321,0.1,1922,0
20200712,San Patricio,310,0.1,465,0
20200712,Shelby,294,0.1,1163,0
20200712,Willacy,267,0.1,1250,0
