date,county,total_cases,percent_of_states_cases,incidence_rate,total_deaths,exposure_rate
20200716,Harris,49027,16.9,1040,473,1.04
20200716,Dallas,35914,12.4,1363,477,1.363
20200716,Bexar,21546,7.4,1075,208,1.075
20200716,Tarrant,19014,6.5,904,272,0.904
20200716,Travis,15998,5.5,1256,179,1.256
20200716,El Paso,10298,3.5,1227,159,1.227
20200716,Hidalgo,9244,3.2,1064,218,1.064
20200716,Nueces,7032,2.4,1941,64,1.941
20200716,Galveston,6452,2.2,1886,58,1.886
20200716,Fort Bend,5284,1.8,651,65,0.651
20200716,Cameron,4905,1.7,1159,79,1.159
20200716,Collin,4800,1.7,464,61,0.464
20200716,Denton,4316,1.5,486,41,0.486
20200716,Williamson,4153,1.4,703,56,0.703
20200716,Lubbock,4063,1.4,1308,64,1.308
20200716,Brazoria,3988,1.4,1066,28,1.066
20200716,Jefferson,3868,1.3,1538,43,1.538
20200716,Hays,3769,1.3,1637,0,1.637
20200716,Montgomery,3471,1.2,571,44,0.571
20200716,Webb,3211,1.1,1161,49,1.161
20200716,Brazos,3120,1.1,1361,36,1.361
20200716,Potter,3081,1.1,2624,39,2.624
20200716,McLennan,2920,1.0,1138,0,1.138
20200716,Walker,2495,0.9,3419,28,3.419
20200716,Bell,2396,0.8,660,0,0.66
20200716,Ector,2197,0.8,1322,0,1.322
20200716,Victoria,2192,0.8,2380,0,2.38
20200716,Anderson,1944,0.7,3367,0,3.367
20200716,Ellis,1811,0.6,980,21,0.98
20200716,Smith,1568,0.5,674,0,0.674
20200716,Midland,1266,0.4,716,22,0.716
20200716,Randall,1166,0.4,847,0,0.847
20200716,Tom Green,1160,0.4,973,0,0.973
20200716,Comal,1117,0.4,715,30,0.715
20200716,Guadalupe,1115,0.4,668,0,0.668
20200716,Kaufman,1109,0.4,815,0,0.815
20200716,Starr,1061,0.4,1642,0,1.642
20200716,Angelina,1000,0.3,1153,0,1.153
20200716,Maverick,939,0.3,1599,0,1.599
20200716,Johnson,932,0.3,530,0,0.53
20200716,Gregg,927,0.3,748,0,0.748
20200716,Moore,921,0.3,4398,0,4.398
20200716,Titus,919,0.3,2806,0,2.806
20200716,Hale,871,0.3,2607,0,2.607
20200716,Bastrop,862,0.3,972,0,0.972
20200716,Val Verde,804,0.3,1640,0,1.64
20200716,Hunt,799,0.3,810,0,0.81
20200716,Taylor,794,0.3,575,0,0.575
20200716,Grayson,771,0.3,566,0,0.566
