city,bedrooms,market_share
Arlington,0,3.561253561253561
Arlington,1,46.15384615384615
Arlington,2,18.376068376068375
Arlington,3,18.803418803418804
Arlington,4,8.974358974358974
Arlington,5,4.131054131054131
Dallas,0,7.31629392971246
Dallas,1,61.43769968051118
Dallas,2,19.329073482428115
Dallas,3,7.795527156549521
Dallas,4,3.130990415335463
Dallas,5,0.9904153354632588
Denton,0,6.5
Denton,1,69.0
Denton,2,11.0
Denton,3,8.25
Denton,4,5.25
Fort-Worth,0,7.895959126799815
Fort-Worth,1,54.52856479331166
Fort-Worth,2,17.83557826288899
Fort-Worth,3,13.934045517882025
Fort-Worth,4,4.830469112865769
Fort-Worth,5,0.9753831862517418
Frisco,0,3.374233128834356
Frisco,1,54.60122699386503
Frisco,2,12.269938650306749
Frisco,3,16.56441717791411
Frisco,4,8.895705521472392
Frisco,5,4.294478527607362
Grand Prairie,0,2.3255813953488373
Grand Prairie,1,61.627906976744185
Grand Prairie,2,8.13953488372093
Grand Prairie,3,17.441860465116278
Grand Prairie,4,8.527131782945736
Grand Prairie,5,1.937984496124031
Irving,0,9.005847953216374
Irving,1,69.82456140350877
Irving,2,8.304093567251462
Irving,3,6.666666666666667
Irving,4,4.56140350877193
Irving,5,1.6374269005847952
McKinney,0,8.898305084745763
McKinney,1,49.57627118644068
McKinney,2,15.466101694915254
McKinney,3,17.584745762711865
McKinney,4,7.838983050847458
McKinney,5,0.635593220338983
Plano,0,11.076443057722308
Plano,1,53.97815912636506
Plano,2,14.196567862714508
Plano,3,11.388455538221528
Plano,4,7.488299531981279
Plano,5,1.8720748829953198
Richardson,0,4.964539007092198
Richardson,1,64.53900709219859
Richardson,2,9.21985815602837
Richardson,3,12.056737588652481
Richardson,4,5.673758865248227
Richardson,5,3.5460992907801416
