airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,average_daily_rate,img_cover,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,days_available,room_type,url,active,city
35006003,9.3,House,2,"Mixed/Co-Ed Dorm, Bed #D7 (Bottom Bunk) for Nomads",1,1,22.6145,https://a0.muscache.com/im/pictures/db46db81-ca8e-40aa-a8f4-1baf91ffac07.jpg?aki_policy=x_large,9,,-96.82623,32.754,,205,Shared room,https://www.airbnb.com/rooms/35006003,1,Dallas
34289001,9.6,Apartment,1,Entire Apt- Enhanced cleaning/sanitizing routines,1,2,75.3673,https://a0.muscache.com/im/pictures/83c78201-51c2-4830-b1b5-2c2d0ed1cd2f.jpg?aki_policy=x_large,57,,-96.81452,32.80762,,315,Entire home/apt,https://www.airbnb.com/rooms/34289001,1,Dallas
27929626,10,Apartment,1,⭐️⭐️⭐️⭐️Huge 1 BD + Den AIRBNB DALLAS MONTHLY,1,4,112.417,https://a0.muscache.com/im/pictures/adf7dab5-9bf5-4800-966a-ec6cc628b61b.jpg?aki_policy=x_large,3,,-96.83065,32.81013,,122,Entire home/apt,https://www.airbnb.com/rooms/27929626,1,Dallas
38355276,9,Apartment,1,COMFY APARTMENT IN DOWNTOWN DALLAS NEAR AIRPORT,1,3,101.846,https://a0.muscache.com/im/pictures/c95cbae7-7388-406f-b29e-9a64c0c3919e.jpg?aki_policy=x_large,2,,-96.82262,32.81917,,161,Entire home/apt,https://www.airbnb.com/rooms/38355276,1,Dallas
36914040,8,House,2,"R432 Low Cost Private Room,Single guest only",1,1,32.7667,https://a0.muscache.com/im/pictures/aacb109b-2bfa-4051-b4d2-e53f538340b2.jpg?aki_policy=x_large,1,,-96.74533,32.6727,,182,Private room,https://www.airbnb.com/rooms/36914040,1,Dallas
39034770,9.1,House,1,Stylish Dallas Home on Trendy Strip- Comfy Beds!,2,5,145.311,https://a0.muscache.com/im/pictures/480e7ee0-0d1c-4171-bd38-d2d378528981.jpg?aki_policy=x_large,28,,-96.76891,32.82106,1823266vb,153,Entire home/apt,https://www.airbnb.com/rooms/39034770,1,Dallas
18668866,9.9,Guesthouse,1,Private Cottage Near Trendy Greenville Ave.,1,3,86.8895,https://a0.muscache.com/im/pictures/2a9f29d8-fef6-4677-883a-9b1f62886a12.jpg?aki_policy=x_large,272,,-96.76574,32.80847,,220,Entire home/apt,https://www.airbnb.com/rooms/18668866,1,Dallas
21774318,10,Apartment,1,Downtown/DeepEllum + WIFI FREE Parking ⭐️⭐️⭐️⭐️⭐️,1,4,136.6,https://a0.muscache.com/im/pictures/a196c277-44e5-49b9-8790-8014630151aa.jpg?aki_policy=x_large,3,,-96.79,32.789,,10,Entire home/apt,https://www.airbnb.com/rooms/21774318,1,Dallas
8742873,9.7,House,1,"Private room (queen), bath & office/media room",1,2,50.0667,https://a0.muscache.com/im/pictures/eae8f9d6-cff3-4bf5-8525-b8acf90df374.jpg?aki_policy=x_large,46,,-96.83439,33.0082,,172,Private room,https://www.airbnb.com/rooms/8742873,1,Dallas
24633765,9,House,3,"Stewart Commons, your oasis in the heart of Big D.",5,10,215.532,https://a0.muscache.com/im/pictures/ee01cb67-d26c-47b8-864c-cc23de2151bd.jpg?aki_policy=x_large,85,,-96.86289,32.79118,,330,Entire home/apt,https://www.airbnb.com/rooms/24633765,1,Dallas
