airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
40113351,9.3,House,1.0,Relaxing Bed mid DFW near AT&T Stadium & Six Flags,1,2,32.1287,https://a0.muscache.com/im/pictures/6b8c0cdc-fc76-427b-96c3-6cfbe03543e2.jpg?aki_policy=x_large,3,-97.07842,32.76636,271,Private room,https://www.airbnb.com/rooms/40113351,1,Arlington
45619277,,Condominium,1.0,"Arlington Condo 2 miles from Stadiums, 2 bed/1 bth",2,4,212.5,https://a0.muscache.com/im/pictures/b0b5662a-9200-4873-b006-76ab2d49e917.jpg?aki_policy=x_large,0,-97.07103,32.77146,31,Entire home/apt,https://www.airbnb.com/rooms/45619277,1,Arlington
45743480,,Apartment,1.0,Modern Apartment Walking Distance from AT&T Park!,2,4,170.625,https://a0.muscache.com/im/pictures/67f064be-06cc-4293-92ff-b1fb77b4bd39.jpg?aki_policy=x_large,0,-97.10048,32.74524,31,Entire home/apt,https://www.airbnb.com/rooms/45743480,1,Arlington
20037013,9.4,House,1.0,"Attactive 1BR near lake, Stadiums, six Flags, etc.",1,2,37.0,https://a0.muscache.com/im/pictures/0aa9c357-2440-489c-980e-2a9c7553c941.jpg?aki_policy=x_large,98,-97.19872,32.68977,66,Private room,https://www.airbnb.com/rooms/20037013,1,Arlington
29071961,10.0,House,1.0,South Arlington Home with Large Upstairs Space,2,2,143.333,https://a0.muscache.com/im/pictures/e7d16591-4e9d-4e2c-94f8-6628f0c482b4.jpg?aki_policy=x_large,2,-97.1544,32.63307,292,Private room,https://www.airbnb.com/rooms/29071961,1,Arlington
43119002,8.9,Apartment,1.0,"2 Miles to AT&T & Rangers Stadium, Six Flags, etc",2,8,81.5769,https://a0.muscache.com/im/pictures/287b6659-80ab-4494-879e-e733c7c10a74.jpg?aki_policy=x_large,26,-97.14123,32.74348,163,Entire home/apt,https://www.airbnb.com/rooms/43119002,1,Arlington
45220641,9.3,House,2.0,The Pool House,1,16,209.5,https://a0.muscache.com/im/pictures/cd353c8f-ce89-4e91-91ee-3e21731e5b31.jpg?aki_policy=x_large,3,-97.1499,32.73302,56,Shared room,https://www.airbnb.com/rooms/45220641,1,Arlington
45487002,10.0,Apartment,1.0,Down Town 1 br near AT&T & Texas Rangers stadium,1,3,91.076,https://a0.muscache.com/im/pictures/d4cd036d-1036-4ff7-9289-121512b61b68.jpg?aki_policy=x_large,8,-97.1082,32.73672,60,Entire home/apt,https://www.airbnb.com/rooms/45487002,1,Arlington
45349208,,Apartment,1.0,Kasa Arlington Near UTA | Studio with Full Kitchen,1,4,115.0,https://a0.muscache.com/im/pictures/d7e696f3-4a98-4a02-a898-a04ed97bbe1d.jpg?aki_policy=x_large,0,-97.1084,32.73708,29,Entire home/apt,https://www.airbnb.com/rooms/45349208,1,Arlington
42822261,9.3,House,2.0,Modern Family Home w/ Yard <1Mi to Cowboys Stadium,4,12,214.291,https://a0.muscache.com/im/pictures/b6106934-33fa-4603-91bb-02d013e1db6a.jpg?aki_policy=x_large,17,-97.1033,32.74322,245,Entire home/apt,https://www.airbnb.com/rooms/42822261,1,Arlington
45300835,,House,1.0,"Our House, Is A Very Very (Very) Fine House",1,1,18.5,https://a0.muscache.com/im/pictures/miso/Hosting-45300835/original/3060b5c9-c9f8-4b36-9b99-50697868b022.jpeg?aki_policy=x_large,0,-97.07791,32.76578,30,Private room,https://www.airbnb.com/rooms/45300835,1,Arlington
21281208,9.9,House,1.0,★ Super Close to Stadium with 7.1 Surround Sound ★,3,12,203.297,https://a0.muscache.com/im/pictures/e31ddb46-a7ad-4497-afa6-4fa8d5933331.jpg?aki_policy=x_large,230,-97.10469,32.71041,126,Entire home/apt,https://www.airbnb.com/rooms/21281208,1,Arlington
45349188,9.2,Apartment,2.0,Kasa Arlington 2BD/2BA | Contactless + Remote Work Friendly | Near UTA,2,6,148.794,https://a0.muscache.com/im/pictures/f7ab43b6-0ed2-4352-bba5-1512e7a27347.jpg?aki_policy=x_large,13,-97.10812,32.735,61,Entire home/apt,https://www.airbnb.com/rooms/45349188,1,Arlington
40737744,10.0,Townhouse,1.0,Arlington Townhome close to it all!,1,3,16.4231,https://a0.muscache.com/im/pictures/248facc4-2acb-4cc4-b16f-8913923c5834.jpg?aki_policy=x_large,9,-97.16193,32.70808,84,Private room,https://www.airbnb.com/rooms/40737744,1,Arlington
1000642469,10.0,house,2.5,Perfect Location! 2 Minutes From Stadiums/Six Flags 30+ DAYS RENTALS ONLY,4,10,390.476,https://odis.homeaway.com/odis/listing/8c09b17b-8ebf-4c01-b38b-0d70344885cf.c10.jpg,72,-97.0752,32.773821,140,Entire home/apt,https://www.airbnb.com/rooms/1000642469,1,Arlington
42366046,8.0,Apartment,1.0,"Private Apartment, <1mi SixFlags, AT&T & GlobeLife",1,4,74.0684,https://a0.muscache.com/im/pictures/830cb103-e9fe-42e7-8774-4a13aa13746d.jpg?aki_policy=x_large,2,-97.09469,32.75764,154,Entire home/apt,https://www.airbnb.com/rooms/42366046,1,Arlington
35734465,8.8,House,2.0,Luxury Home 3 min to AT&T Stadium/Rangers Ballpark,3,10,229.323,https://a0.muscache.com/im/pictures/1a9ecacb-808c-44f0-ba93-521c70f87af2.jpg?aki_policy=x_large,9,-97.09593,32.75292,180,Entire home/apt,https://www.airbnb.com/rooms/35734465,1,Arlington
34084431,8.9,House,1.0,Little Paradise,1,2,48.6842,https://a0.muscache.com/im/pictures/8e563866-0e0c-4f10-afe6-3b3f5d3bd862.jpg?aki_policy=x_large,16,-97.19184,32.68563,104,Private room,https://www.airbnb.com/rooms/34084431,1,Arlington
1001625421,10.0,bed & breakfast,1.0,Your Home Away from Home - Suite A,2,2,80.2118,https://odis.homeaway.com/odis/listing/0e07d9cc-a411-4dcd-81de-af72fd4a7cf6.c10.jpg,1,-97.11799682,32.62374049,347,Entire home/apt,https://www.airbnb.com/rooms/1001625421,1,Arlington
44282837,10.0,House,1.0,Nice and cozy space,0,2,210.0,https://a0.muscache.com/im/pictures/bb6d2e95-a952-44de-8d3b-0f74bea6750c.jpg?aki_policy=x_large,1,-97.07859,32.69808,62,Private room,https://www.airbnb.com/rooms/44282837,1,Arlington
24774328,9.3,Townhouse,2.0,Cozy 3 bedroom Duplex,3,7,81.6393,https://a0.muscache.com/im/pictures/69720ca9-06cf-499e-9f35-dd488789d130.jpg?aki_policy=x_large,8,-97.10304,32.72648,91,Entire home/apt,https://www.airbnb.com/rooms/24774328,1,Arlington
35037376,9.9,Apartment,1.0,*AT&T STADIUM* - “Peacock Suite”,1,4,78.7933,https://a0.muscache.com/im/pictures/b0027d5d-dd2c-42a2-b198-c47f1e37e6f6.jpg?aki_policy=x_large,86,-97.09427,32.77945,292,Entire home/apt,https://www.airbnb.com/rooms/35037376,1,Arlington
14715576,9.7,Condominium,1.0,GREAT LOCATION IN DALLAS/FT WORTH AREA,2,4,115.786,https://a0.muscache.com/im/pictures/a9f2fff6-25f6-4f29-9ce3-cc8e5d89e330.jpg?aki_policy=x_large,69,-97.09482,32.76526,46,Entire home/apt,https://www.airbnb.com/rooms/14715576,1,Arlington
38960624,8.0,House,1.5,Joint Rooms #1 and #2,2,4,105.264,https://a0.muscache.com/im/pictures/89e779d7-bdd1-440c-8d2f-36a0fdbd0100.jpg?aki_policy=x_large,1,-97.1133,32.72277,141,Private room,https://www.airbnb.com/rooms/38960624,1,Arlington
1352887,9.6,House,2.0,"Cowboy Stadium Homes,LLC Corporate rentals Unit 1",3,9,289.146,https://a0.muscache.com/im/pictures/2a097c1a-67c7-4bbf-85a7-9c69675c85ff.jpg?aki_policy=x_large,38,-97.09792,32.74689,127,Entire home/apt,https://www.airbnb.com/rooms/1352887,1,Arlington
39561354,10.0,Apartment,1.0,Fun Loving Home,1,4,150.0,https://a0.muscache.com/im/pictures/22743dd5-2ddf-4b7f-82da-07999c44fbf4.jpg?aki_policy=x_large,5,-97.09683,32.78514,182,Entire home/apt,https://www.airbnb.com/rooms/39561354,1,Arlington
44487555,2.0,House,1.0,"Furnished room, private bath and cleaning service",1,1,57.0,https://a0.muscache.com/im/pictures/48460003-98ed-42ea-8c5f-bcdbc2a92db8.jpg?aki_policy=x_large,1,-97.13669,32.72124,55,Private room,https://www.airbnb.com/rooms/44487555,1,Arlington
29776953,9.3,Apartment,1.0,Arlington Boutique Living #1,1,4,101.792,https://a0.muscache.com/im/pictures/2b522714-2c8a-49bb-881c-b00aeb63d217.jpg?aki_policy=x_large,66,-97.10386,32.73426,175,Entire home/apt,https://www.airbnb.com/rooms/29776953,1,Arlington
