airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
44504267,9.0,57,1.0,Spacious 1 Bedroom Luxury Apartment Near Galleria!,1,3,https://a0.muscache.com/im/pictures/miso/Hosting-44504267/original/40565c32-77b0-4e02-88a2-e410ae75fed5.jpeg?aki_policy=x_large,2,-96.8395,32.93483,68.7368,Apartment,Entire home/apt,https://www.airbnb.com/rooms/44504267,1,Dallas
45801412,,17,1.0,Downtown room 2 beds VIEW-5+nights,0,5,https://a0.muscache.com/im/pictures/65cea5db-7ef9-425a-bc12-6ead2f8acc70.jpg?aki_policy=x_large,0,-96.80592,32.78156,84.0,Room in hotel,Private room,https://www.airbnb.com/rooms/45801412,1,Dallas
43982400,9.5,113,2.0,Minutes from Downtown Dallas — Host your Gathering,3,10,https://a0.muscache.com/im/pictures/6b1815fb-b12d-4386-9755-b0d0ef5177d9.jpg?aki_policy=x_large,11,-96.84603,32.78017,390.35,House,Entire home/apt,https://www.airbnb.com/rooms/43982400,1,Dallas
29706484,9.8,337,2.5,🅿️ Heated* Pool & Spa! Spacious. Great Location. 🏖,5,16,https://a0.muscache.com/im/pictures/6d3894f9-6fcd-4cf4-b2f1-89d8c973fde1.jpg?aki_policy=x_large,44,-96.78496,32.97771,421.246,House,Entire home/apt,https://www.airbnb.com/rooms/29706484,1,Dallas
23684721,9.7,219,1.5,"Nestle in a ""castle"" near the lake in Dallas",1,1,https://a0.muscache.com/im/pictures/61e89289-25fa-4e3f-8c37-0dbe5218ae09.jpg?aki_policy=x_large,29,-96.69486,32.83337,45.1898,House,Private room,https://www.airbnb.com/rooms/23684721,1,Dallas
33118262,9.7,196,1.0,New cozy apartment in the heart of Dallas,1,2,https://a0.muscache.com/im/pictures/4dcd27b3-ad5a-4ffe-bcd9-fbfba6791c39.jpg?aki_policy=x_large,20,-96.73709,32.86808,80.3636,Apartment,Entire home/apt,https://www.airbnb.com/rooms/33118262,1,Dallas
32722066,9.3,163,1.0,⭐️Amazing Price on a Brand NEW UPTOWN Apartment⭐️,1,3,https://a0.muscache.com/im/pictures/5050069e-83a8-4b42-bf16-5da47e5cd191.jpg?aki_policy=x_large,3,-96.79015,32.81298,143.367,Apartment,Entire home/apt,https://www.airbnb.com/rooms/32722066,1,Dallas
42240129,,157,1.0,Deep Ellum | Downtown | FREE PARKING | Pool+GYM,1,3,https://a0.muscache.com/im/pictures/9fab05a0-c9bc-4664-8883-e38fdae4cdc7.jpg?aki_policy=x_large,0,-96.7906,32.79019,179.228,Apartment,Entire home/apt,https://www.airbnb.com/rooms/42240129,1,Dallas
46025312,,31,1.5,A place to call home | 1BR in Dallas,1,3,https://a0.muscache.com/im/pictures/ff8f5aa6-53d3-453b-b897-d1faecc755c8.jpg?aki_policy=x_large,0,-96.79,32.789,66.75,Serviced apartment,Entire home/apt,https://www.airbnb.com/rooms/46025312,1,Dallas
33847923,9.4,178,2.0,3/2/2 Close to Dwtn Dallas and White Rock Lake #2,3,10,https://a0.muscache.com/im/pictures/694bf78d-021b-47ba-a672-d7b5642196f6.jpg?aki_policy=x_large,26,-96.71267,32.80448,116.662,House,Entire home/apt,https://www.airbnb.com/rooms/33847923,1,Dallas
41557911,10.0,299,1.0,PROFESSIONALLY CLEANED/DISINFECTED with Parking,1,4,https://a0.muscache.com/im/pictures/93640e32-910a-468a-876d-3003ccd50880.jpg?aki_policy=x_large,1,-96.78633,32.82593,89.0044,Apartment,Entire home/apt,https://www.airbnb.com/rooms/41557911,1,Dallas
40386960,,243,1.0,BOOK TODAY | Deep Ellum| Downtown | Uptown,1,3,https://a0.muscache.com/im/pictures/935bbc69-cb17-44c5-9c52-4cb6b5a510f9.jpg?aki_policy=x_large,0,-96.7918,32.79085,88.9103,Apartment,Entire home/apt,https://www.airbnb.com/rooms/40386960,1,Dallas
30295538,9.8,269,1.0,Picasso on the Park,1,2,https://a0.muscache.com/im/pictures/f748df3d-df94-49ae-bcb2-ca62b6b35c91.jpg?aki_policy=x_large,36,-96.79898,32.77912,117.82,Loft,Entire home/apt,https://www.airbnb.com/rooms/30295538,1,Dallas
34726193,9.7,41,1.0,Nice and cozy apartment with an awesome pool view!,1,4,https://a0.muscache.com/im/pictures/7bc75e12-53c4-485b-9a65-22387fe164d4.jpg?aki_policy=x_large,20,-96.76284,32.88455,77.0488,Apartment,Entire home/apt,https://www.airbnb.com/rooms/34726193,1,Dallas
38639359,9.8,211,2.5,"Urban Chic, Close to Downtown, Uptown & Deep Ellum",2,6,https://a0.muscache.com/im/pictures/c575496f-729b-4473-ba94-34a484dbfd72.jpg?aki_policy=x_large,45,-96.77767,32.80136,162.102,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/38639359,1,Dallas
45070321,7.3,61,1.0,⚛Ozone Cleaned Studio Near Deep Ellum *4⚛,0,2,https://a0.muscache.com/im/pictures/dc432ed5-9347-429a-a2ef-cf6a293fea7e.jpg?aki_policy=x_large,3,-96.7664,32.80068,127.878,Apartment,Entire home/apt,https://www.airbnb.com/rooms/45070321,1,Dallas
45052390,10.0,53,1.0,Boutique Bluelofts Hotel Bishop Arts Dallas! ·,0,2,https://a0.muscache.com/im/pictures/99d49999-6ae9-402a-8bc1-0c92f21c68ba.jpg?aki_policy=x_large,3,-96.82574,32.75487,103.5,Room in boutique hotel,Private room,https://www.airbnb.com/rooms/45052390,1,Dallas
40065866,7.5,170,1.0,this is a very clean unit completely sanitized,1,4,https://a0.muscache.com/im/pictures/93ddd5eb-3a6c-4346-a92a-742d63a19b5f.jpg?aki_policy=x_large,8,-96.80416,32.78165,100.761,Apartment,Entire home/apt,https://www.airbnb.com/rooms/40065866,1,Dallas
46025302,,31,1.0,A place to call home | Studio in Dallas,0,1,https://a0.muscache.com/im/pictures/3f226868-936b-410b-8459-5ae56540cee7.jpg?aki_policy=x_large,0,-96.79,32.789,45.75,Serviced apartment,Entire home/apt,https://www.airbnb.com/rooms/46025302,1,Dallas
8340133,9.9,267,1.0,Contemporary Townhouse in Oaklawn,1,2,https://a0.muscache.com/im/pictures/442bf7eb-1c72-4c2b-8e3e-444b053af27c.jpg?aki_policy=x_large,98,-96.81301,32.80728,81.2963,Townhouse,Private room,https://www.airbnb.com/rooms/8340133,1,Dallas
