airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
33766593,9.8,Guest suite,1.0,"Convenient, private, and secure in-law addition.",1,2,33.5,https://a0.muscache.com/im/pictures/fb013c3b-1fa4-474a-942f-0a2b7764ceb4.jpg?aki_policy=x_large,31,-97.11554,33.24292,31,Entire home/apt,https://www.airbnb.com/rooms/33766593,1,Denton
45731651,,House,1.0,Private Bedroom Denton 30 min from Dallas.,1,3,24.3333,https://a0.muscache.com/im/pictures/9b0066b3-c823-4c8b-8548-e66bc1d2e278.jpg?aki_policy=x_large,0,-97.09691,33.14667,31,Private room,https://www.airbnb.com/rooms/45731651,1,Denton
21390685,9.4,House,1.0,A.Golf course view from patio w/pool. Lng trm wlcm,1,2,37.82,https://a0.muscache.com/im/pictures/3be374a1-d1a9-4c98-adf8-2e99220faa05.jpg?aki_policy=x_large,45,-97.08285,33.15604,99,Private room,https://www.airbnb.com/rooms/21390685,1,Denton
40109887,9.0,Condominium,2.0,2 Bedroom apartment Denton Texas.,2,5,80.0,https://a0.muscache.com/im/pictures/42eba010-fca5-48a3-b4fc-839feb83ec3c.jpg?aki_policy=x_large,2,-97.13603,33.2575,34,Entire home/apt,https://www.airbnb.com/rooms/40109887,1,Denton
41207455,9.9,House,1.0,Private Bedroom near Downtown Denton. #1,1,1,32.0087,https://a0.muscache.com/im/pictures/530ef4e5-152b-4b2e-8528-fa511c646be8.jpg?aki_policy=x_large,17,-97.09592,33.14663,141,Private room,https://www.airbnb.com/rooms/41207455,1,Denton
23432061,6.0,House,1.0,Room in home quiet area Corinth/Denton TX $675/mon,1,1,65.0,https://a0.muscache.com/im/pictures/9ebf96f3-21b5-48c7-b7cf-8069c03d8011.jpg?aki_policy=x_large,2,-97.04884,33.13807,91,Private room,https://www.airbnb.com/rooms/23432061,1,Denton
42496942,,Apartment,1.5,UNT sweet home,0,1,27.75,https://a0.muscache.com/im/pictures/6d5a3a91-002f-4ce1-90ed-bc4787333167.jpg?aki_policy=x_large,0,-97.1387,33.21524,151,Private room,https://www.airbnb.com/rooms/42496942,1,Denton
17384534,9.4,House,2.5,Two-story house close to TWU & Downtown Denton,4,12,243.125,https://a0.muscache.com/im/pictures/d59f289b-d6b9-4ecd-b87c-5ce7a2e9d6ba.jpg?aki_policy=x_large,22,-97.11094,33.24221,193,Entire home/apt,https://www.airbnb.com/rooms/17384534,1,Denton
42390282,9.7,House,1.0,Private bedroom in cozy remodeled home.,1,2,23.5641,https://a0.muscache.com/im/pictures/80175e78-4432-47fb-9d62-b0950507279b.jpg?aki_policy=x_large,23,-97.12408,33.21674,201,Private room,https://www.airbnb.com/rooms/42390282,1,Denton
43257423,,Apartment,1.5,Modern Denton Apartment,1,4,162.0,https://a0.muscache.com/im/pictures/cdb06dcb-e37b-4d04-8d9b-7dfa33766b6f.jpg?aki_policy=x_large,0,-97.16515,33.2282,29,Entire home/apt,https://www.airbnb.com/rooms/43257423,1,Denton
39149955,9.1,Bungalow,3.5,Quaint Unique Bungalow; Walk to the Square,4,8,229.333,https://a0.muscache.com/im/pictures/6eb25f02-9104-4ca9-a8b2-0d90f37099fa.jpg?aki_policy=x_large,19,-97.13085,33.22444,96,Entire home/apt,https://www.airbnb.com/rooms/39149955,1,Denton
38287955,10.0,House,1.0,Grace’s Space,1,2,21.6667,https://a0.muscache.com/im/pictures/59ddd376-63b3-4d6b-bfa7-6b8ff536bb00.jpg?aki_policy=x_large,22,-97.16987,33.24207,72,Private room,https://www.airbnb.com/rooms/38287955,1,Denton
36232065,,Farm stay,1.0,SS Professor O''Ryan EXT STAY COTTAGE,0,4,349.462,https://a0.muscache.com/im/pictures/b0b33621-5a2c-4f8b-8082-c1660a04dd67.jpg?aki_policy=x_large,0,-97.05103,33.24125,90,Entire home/apt,https://www.airbnb.com/rooms/36232065,1,Denton
38075554,9.7,House,1.0,The Sunny Sunshine room C.No hidden fees,1,2,34.8,https://a0.muscache.com/im/pictures/36266510-da5f-446b-81c5-201370c7e0c5.jpg?aki_policy=x_large,39,-97.1007,33.21932,205,Private room,https://www.airbnb.com/rooms/38075554,1,Denton
29822224,9.8,Cottage,1.5,"A+Safe Cool Vintage Cottage by TWU, Square & UNT",1,2,32.1369,https://a0.muscache.com/im/pictures/ee15569b-222e-4e5b-aacb-a541cecdee4d.jpg?aki_policy=x_large,123,-97.12671,33.23461,342,Private room,https://www.airbnb.com/rooms/29822224,1,Denton
43775145,9.6,House,1.0,Relax in Denton,1,1,60.0,https://a0.muscache.com/im/pictures/92661520-0d01-49c4-9ecd-b65279cc0344.jpg?aki_policy=x_large,5,-97.13515,33.25381,48,Private room,https://www.airbnb.com/rooms/43775145,1,Denton
27771840,10.0,House,1.0,Denton House (downstairs only),2,6,104.6,https://a0.muscache.com/im/pictures/d59f289b-d6b9-4ecd-b87c-5ce7a2e9d6ba.jpg?aki_policy=x_large,7,-97.11027,33.24071,132,Entire home/apt,https://www.airbnb.com/rooms/27771840,1,Denton
26873955,9.9,House,1.0,Cozy room for comfy nights.,1,2,32.0,https://a0.muscache.com/im/pictures/34ab9413-19d3-4dff-b9cf-b3422f019eff.jpg?aki_policy=x_large,72,-97.10815,33.15849,95,Private room,https://www.airbnb.com/rooms/26873955,1,Denton
45688489,10.0,House,1.0,Lavish BR w| private bath D Heart of Denton| DFW,1,2,36.9444,https://a0.muscache.com/im/pictures/miso/Hosting-45688489/original/d375266b-63a9-4bf5-bc1c-29c42a485336.jpeg?aki_policy=x_large,1,-97.10463,33.23932,31,Private room,https://www.airbnb.com/rooms/45688489,1,Denton
42040238,,Apartment,1.0,Cozy upscale loft (Private room with private bath),1,2,42.1905,https://a0.muscache.com/im/pictures/5aef6f29-0e31-4bf5-b302-95dfe519bb43.jpg?aki_policy=x_large,0,-97.16645,33.22677,27,Private room,https://www.airbnb.com/rooms/42040238,1,Denton
41127629,10.0,House,2.0,"EOP’s Cozy, clean , quiet home.",3,6,150.0,https://a0.muscache.com/im/pictures/8f4b767d-6aed-4140-836c-7981dde5963a.jpg?aki_policy=x_large,2,-97.15854,33.19316,105,Entire home/apt,https://www.airbnb.com/rooms/41127629,1,Denton
17960608,10.0,Apartment,1.0,The Haven-Cozy & Private,1,4,75.432,https://a0.muscache.com/im/pictures/ab9e915b-f861-47e9-b7f5-c7f329f53feb.jpg?aki_policy=x_large,173,-97.13693,33.19619,251,Entire home/apt,https://www.airbnb.com/rooms/17960608,1,Denton
34747263,9.8,House,1.0,Country charm with city conveniences,1,2,38.75,https://a0.muscache.com/im/pictures/16e44547-11fc-48b2-a640-7273fb4f0ff2.jpg?aki_policy=x_large,10,-97.02898,33.15713,125,Private room,https://www.airbnb.com/rooms/34747263,1,Denton
