airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
36322374,10.0,Apartment,1.0,1BD apartment in the Heart of Fort Worth,1,2,117.69,https://a0.muscache.com/im/pictures/901a77c3-c73e-4848-b81e-40e3b67e52dc.jpg?aki_policy=x_large,1,-97.34254,32.73176,143,Entire home/apt,https://www.airbnb.com/rooms/36322374,1,Fort-Worth
40426956,9.7,House,1.0,"Good Vibes Getaway | Hospital, TCU, & Magnolia Ave",1,2,77.8955,https://a0.muscache.com/im/pictures/29117513-d6d0-49c2-9103-9e217868397b.jpg?aki_policy=x_large,47,-97.3291,32.71055,233,Entire home/apt,https://www.airbnb.com/rooms/40426956,1,Fort-Worth
40679928,,House,2.0,Fort Worth''s Little Paradise,2,4,75.0,https://a0.muscache.com/im/pictures/488bf902-10c0-4d95-9785-577f690108fd.jpg?aki_policy=x_large,0,-97.39811,32.61422,62,Private room,https://www.airbnb.com/rooms/40679928,1,Fort-Worth
19935015,9.8,House,1.0,"Queen Size Bd in Prvt. Rm Tv , Mini Refrig & Wifi",1,2,51.6329,https://a0.muscache.com/im/pictures/f3270e13-d1a0-4d09-a615-11e285e12290.jpg?aki_policy=x_large,80,-97.3382,32.6539,351,Private room,https://www.airbnb.com/rooms/19935015,1,Fort-Worth
24104151,10.0,Guesthouse,1.0,Comfortable and Cozy Fairmount Retreat,1,4,100.5,https://a0.muscache.com/im/pictures/8c193264-1b54-440d-bb72-14ce878a880a.jpg?aki_policy=x_large,44,-97.33823,32.72134,20,Entire home/apt,https://www.airbnb.com/rooms/24104151,1,Fort-Worth
40206612,10.0,Apartment,1.0,Cozy Studio in Fairmount,0,2,61.654,https://a0.muscache.com/im/pictures/dfb57d5d-e99a-42e6-bf49-60d11681461b.jpg?aki_policy=x_large,36,-97.34009,32.71903,298,Entire home/apt,https://www.airbnb.com/rooms/40206612,1,Fort-Worth
43360035,9.3,House,0.0,Perfect and clean room,1,2,33.9474,https://a0.muscache.com/im/pictures/19611022-9e07-4c02-bc18-dd0f6b84b011.jpg?aki_policy=x_large,3,-97.41628,32.88297,117,Private room,https://www.airbnb.com/rooms/43360035,1,Fort-Worth
44996145,10.0,Apartment,1.0,"Professionally-cleaned studio, blocks from Magnolia Avenue",0,2,93.1429,https://a0.muscache.com/im/pictures/44171025-3ce2-4f4b-aeb4-0aef65357d88.jpg?aki_policy=x_large,1,-97.33592,32.73187,31,Entire home/apt,https://www.airbnb.com/rooms/44996145,1,Fort-Worth
45847019,,Apartment,1.0,Avoid front desks in 1BD magnolia lux apartment with self-checkin,1,2,130.766,https://a0.muscache.com/im/pictures/bdd46a8f-142d-4acc-a128-a4a0bd4d5bb5.jpg?aki_policy=x_large,0,-97.34091,32.73143,31,Entire home/apt,https://www.airbnb.com/rooms/45847019,1,Fort-Worth
19101797,10.0,House,1.0,Great Cozy Room with Cable TV! Near I-35W !,1,1,23.0,https://a0.muscache.com/im/pictures/02024572-bf90-403b-a89f-02597b258180.jpg?aki_policy=x_large,12,-97.30483,32.60604,59,Private room,https://www.airbnb.com/rooms/19101797,1,Fort-Worth
38465853,10.0,House,1.5,Cute home close to everything! Fort Worth,1,3,244.663,https://a0.muscache.com/im/pictures/1e1e083e-877b-4bf7-a303-70c6dc3e1959.jpg?aki_policy=x_large,5,-97.29647,32.7751,228,Entire home/apt,https://www.airbnb.com/rooms/38465853,1,Fort-Worth
46088470,,Serviced apartment,2.0,Relax in your own space | 2BR in Fort Worth,2,5,59.0,https://a0.muscache.com/im/pictures/e76880ca-ddb8-4011-9a33-dc5c8e60adef.jpg?aki_policy=x_large,0,-97.058,32.831,31,Entire home/apt,https://www.airbnb.com/rooms/46088470,1,Fort-Worth
42050137,9.6,Apartment,2.0,White Rabbit | King Bed | Queen Bed | Balcony,2,6,114.042,https://a0.muscache.com/im/pictures/ba8e467a-30b1-4320-a7f9-ef5855388193.jpg?aki_policy=x_large,67,-97.35763,32.74849,250,Entire home/apt,https://www.airbnb.com/rooms/42050137,1,Fort-Worth
46023712,,Serviced apartment,1.0,Relax in your own space | 1BR in Fort Worth,1,3,49.0,https://a0.muscache.com/im/pictures/1076c03e-d9e4-41fd-bbeb-942a89fe96d5.jpg?aki_policy=x_large,0,-97.058,32.831,31,Entire home/apt,https://www.airbnb.com/rooms/46023712,1,Fort-Worth
45875804,,Serviced apartment,1.0,Relax in your own space | 1BR in Fort Worth,1,3,43.0,https://a0.muscache.com/im/pictures/e320c02e-6879-4a0c-badb-05ef6392e336.jpg?aki_policy=x_large,0,-97.058,32.831,31,Entire home/apt,https://www.airbnb.com/rooms/45875804,1,Fort-Worth
41458869,10.0,Guesthouse,1.0,Private Modern Craftsman Apt>3min walk to Magnolia,1,4,83.8775,https://a0.muscache.com/im/pictures/29c10b49-e2bb-4369-bcb0-26fb4d7b74c3.jpg?aki_policy=x_large,25,-97.33678,32.72712,207,Entire home/apt,https://www.airbnb.com/rooms/41458869,1,Fort-Worth
45127755,,Apartment,1.0,"Stay in luxury , Stay safe !",0,2,99.4445,https://a0.muscache.com/im/pictures/60b76b02-e78b-426b-82d8-a1f5afd1f045.jpg?aki_policy=x_large,0,-97.32229,32.78255,5,Entire home/apt,https://www.airbnb.com/rooms/45127755,1,Fort-Worth
39888474,9.8,Condominium,1.0,Rooftop Infinity Pool w/ Stunning Views + More! ❤️,1,4,121.644,https://a0.muscache.com/im/pictures/2b01fbd3-f610-4592-9d58-ac71d5d04ec9.jpg?aki_policy=x_large,49,-97.34944,32.75441,299,Entire home/apt,https://www.airbnb.com/rooms/39888474,1,Fort-Worth
45359915,10.0,Apartment,1.0,Entire Apartment Near TCU-Great Location,1,2,50.1333,https://a0.muscache.com/im/pictures/32189bdd-4c0c-4363-8987-be080e60e17a.jpg?aki_policy=x_large,5,-97.3819,32.71657,43,Entire home/apt,https://www.airbnb.com/rooms/45359915,1,Fort-Worth
45178794,10.0,House,1.5,DFW- Comfortable & Cozy nest,3,1,39.7778,https://a0.muscache.com/im/pictures/f107331b-be34-41eb-a16f-f691c5a59db9.jpg?aki_policy=x_large,3,-97.38288,32.86514,36,Private room,https://www.airbnb.com/rooms/45178794,1,Fort-Worth
45095362,,House,1.0,Joe''s Place (Guest room #1),1,1,46.8,https://a0.muscache.com/im/pictures/543d109c-15e0-46f1-ba15-5b82555be911.jpg?aki_policy=x_large,0,-97.33527,32.72665,42,Private room,https://www.airbnb.com/rooms/45095362,1,Fort-Worth
29820446,9.8,House,2.0,Bird''s Nest!,3,6,163.0,https://a0.muscache.com/im/pictures/632e91e5-c6a5-458c-89b5-06e290b8ec4f.jpg?aki_policy=x_large,9,-97.23601,32.811,98,Entire home/apt,https://www.airbnb.com/rooms/29820446,1,Fort-Worth
16199912,9.5,Apartment,1.0,Quaint flat in downtown Fort Worth!,1,2,64.0905,https://a0.muscache.com/im/pictures/5f052128-3737-4b7b-84f3-70240b291b45.jpg?aki_policy=x_large,15,-97.339,32.753,144,Entire home/apt,https://www.airbnb.com/rooms/16199912,1,Fort-Worth
43769699,,Apartment,1.0,"Everything is within your reach in this lux suite, professionally cleaned",1,4,94.847,https://a0.muscache.com/im/pictures/c6f4adad-e323-4dd6-8383-77f85a8a630e.jpg?aki_policy=x_large,0,-97.33121,32.76618,67,Entire home/apt,https://www.airbnb.com/rooms/43769699,1,Fort-Worth
44356213,10.0,House,1.0,Private Bed & Bath Retreat by Marine Creek Lake,1,1,30.0333,https://a0.muscache.com/im/pictures/af1d185d-e8ab-4c17-b20d-2567f68051a3.jpg?aki_policy=x_large,1,-97.39838,32.85599,31,Private room,https://www.airbnb.com/rooms/44356213,1,Fort-Worth
41804043,,Apartment,1.0,Work from home in this lux 1BD condo with fast wifi,1,4,104.306,https://a0.muscache.com/im/pictures/203d93a9-77e5-419f-bfc3-b66571958596.jpg?aki_policy=x_large,0,-97.32929,32.7664,91,Entire home/apt,https://www.airbnb.com/rooms/41804043,1,Fort-Worth
31860453,9.8,House,1.0,Comfy 3 Bed Only Minutes from Dickies Arena,3,6,231.911,https://a0.muscache.com/im/pictures/dea8c809-f770-434b-94b3-24ae19d7e188.jpg?aki_policy=x_large,11,-97.373,32.742,235,Entire home/apt,https://www.airbnb.com/rooms/31860453,1,Fort-Worth
40038918,9.3,House,1.0,Beautiful 3 BR close to Downtown Fort Worth,3,6,110.179,https://a0.muscache.com/im/pictures/24e79c18-554b-4776-abc8-a9df70787a4d.jpg?aki_policy=x_large,24,-97.29285,32.78654,226,Entire home/apt,https://www.airbnb.com/rooms/40038918,1,Fort-Worth
38599039,9.8,Bungalow,1.0,Cozy Guest House to Dallas Cowboy ATT Stadium/FW,1,4,76.8781,https://a0.muscache.com/im/pictures/f561ee37-070c-4d8a-89bd-c946f7d1d1e9.jpg?aki_policy=x_large,20,-97.21149,32.73555,69,Entire home/apt,https://www.airbnb.com/rooms/38599039,1,Fort-Worth
20438076,10.0,House,2.0,Walk to TCU! Renovated 1600SF Cottage w parking,3,6,386.287,https://a0.muscache.com/im/pictures/bb6ed2d9-e05e-4ab9-9a5a-dfa16e97c26d.jpg?aki_policy=x_large,72,-97.35749,32.70266,318,Entire home/apt,https://www.airbnb.com/rooms/20438076,1,Fort-Worth
