airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
39227654,9.1,242,1.0,The Star - Luxury One bedroom,1,2,https://a0.muscache.com/im/pictures/65fb08c6-e70b-442d-b7ac-1ca6069c3d81.jpg?aki_policy=x_large,12,-96.8291,33.11345,124.858,Apartment,Entire home/apt,https://www.airbnb.com/rooms/39227654,1,Frisco
45756341,,14,1.0,Beautiful comfortable place in Frisco,1,2,https://a0.muscache.com/im/pictures/d4571665-94eb-4ff2-ab4d-4ee9a745f1a9.jpg?aki_policy=x_large,0,-96.74456,33.1809,110.0,Guest suite,Entire home/apt,https://www.airbnb.com/rooms/45756341,1,Frisco
27336521,10.0,92,2.0,Warm & Inviting Home in Frisco,2,4,https://a0.muscache.com/im/pictures/664088d3-5320-40de-bbc7-d270d416f18f.jpg?aki_policy=x_large,6,-96.92063,33.15596,91.0714,House,Private room,https://www.airbnb.com/rooms/27336521,1,Frisco
44678082,,31,1.0,Must Love Dogs- Pooch Friendly Stay @ AC Hotel,0,2,https://a0.muscache.com/im/pictures/b80925c8-c626-40f7-bf79-fb432fe198f3.jpg?aki_policy=x_large,0,-96.82849,33.11481,150.0,Room in hotel,Private room,https://www.airbnb.com/rooms/44678082,1,Frisco
41194153,9.9,229,2.0,"Charming Cottage House, sleeps 8 total",4,8,https://a0.muscache.com/im/pictures/a299cc8c-76f6-4645-845c-c5e1841d7887.jpg?aki_policy=x_large,19,-96.82442,33.14641,163.87,House,Entire home/apt,https://www.airbnb.com/rooms/41194153,1,Frisco
40432658,9.5,241,4.0,Frisco Luxury Home~Up to 12 Guests,5,12,https://a0.muscache.com/im/pictures/a84c1fb8-f386-431c-ae1b-ece7d6aa04f5.jpg?aki_policy=x_large,8,-96.85781,33.13218,774.982,House,Entire home/apt,https://www.airbnb.com/rooms/40432658,1,Frisco
43381893,9.1,153,3.0,NEW! Elegant Frisco Home with Yard < 1 Mi to Golf!,4,10,https://a0.muscache.com/im/pictures/244ed13b-0fa9-40d8-8eb2-33cf73a75845.jpg?aki_policy=x_large,7,-96.77278,33.1217,314.0,House,Entire home/apt,https://www.airbnb.com/rooms/43381893,1,Frisco
19888268,9.7,115,1.0,"My House, Your House - near the Dallas Cowboys HQ!",1,1,https://a0.muscache.com/im/pictures/2cdad84a-e61c-4ae6-9f8e-fc364f2ea9fe.jpg?aki_policy=x_large,19,-96.82005,33.16379,37.8052,House,Private room,https://www.airbnb.com/rooms/19888268,1,Frisco
38326654,8.9,206,1.0,The Star - Luxury One bedroom in Frisco,1,2,https://a0.muscache.com/im/pictures/e471cc9e-7c50-407e-bcc9-be3aa25b29d2.jpg?aki_policy=x_large,13,-96.82985,33.11348,143.434,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38326654,1,Frisco
20983709,9.7,137,1.0,"MASTER Bedroom/PRIVATE bath/jacuzzi, tv,desk",1,2,https://a0.muscache.com/im/pictures/3b2301b8-f11c-49c9-9704-409893b9ff4a.jpg?aki_policy=x_large,25,-96.85096,33.08607,52.4781,House,Private room,https://www.airbnb.com/rooms/20983709,1,Frisco
41012549,10.0,61,1.0,"Luxurious, Spacious, Cozy with Great Amenities!",1,1,https://a0.muscache.com/im/pictures/0aa95ea4-aece-41da-b4c5-54b035489e5c.jpg?aki_policy=x_large,5,-96.84373,33.08698,66.25,Apartment,Entire home/apt,https://www.airbnb.com/rooms/41012549,1,Frisco
