airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
27314635,9.9,331,1.0,2BR Near ✮ Cowboys ✮ Texas Live ✮ Six Flags,2,4,https://a0.muscache.com/im/pictures/9a19a47f-ec06-4c38-94da-35d8d5bebf8c.jpg?aki_policy=x_large,28,-97.03624,32.77989,88.214,House,Private room,https://www.airbnb.com/rooms/27314635,1,Grand Prairie
42857816,8.7,181,1.0,1BR/Queen Bed,1,2,https://a0.muscache.com/im/pictures/d7c15bad-c87e-4691-aae1-82a36be509ef.jpg?aki_policy=x_large,3,-97.01509,32.75412,39.5758,House,Private room,https://www.airbnb.com/rooms/42857816,1,Grand Prairie
9861626,9.5,120,3.5,Cozy home near Joe Pool Lake --Entire home,6,8,https://a0.muscache.com/im/pictures/4540aac3-5233-44f5-ae34-9ca7ddeea928.jpg?aki_policy=x_large,4,-97.03802,32.59294,555.455,House,Entire home/apt,https://www.airbnb.com/rooms/9861626,1,Grand Prairie
39604706,,152,1.0,Charming & Spacious Private 1 BR (females only),0,1,https://a0.muscache.com/im/pictures/889e0aff-7e2f-46e7-aee9-be077b39d44f.jpg?aki_policy=x_large,0,-96.99688,32.66619,35.4712,House,Private room,https://www.airbnb.com/rooms/39604706,1,Grand Prairie
43437921,9.9,181,1.0,“The LaValse” A Luxury Suite,1,2,https://a0.muscache.com/im/pictures/0126cc4a-e988-4a6a-a3e3-aeeb492829b1.jpg?aki_policy=x_large,17,-97.06163,32.6714,100.818,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43437921,1,Grand Prairie
1003659778,10.0,234,2.5,Your home away from home near AT&T Stadium.,3,8,https://odis.homeaway.com/odis/listing/7b14fc6c-b9d4-4d5f-ac5a-bd022242a044.c10.jpg,1,-97.03740885,32.78594573,102.994,house,Entire home/apt,https://www.airbnb.com/rooms/1003659778,1,Grand Prairie
28345676,8.7,127,1.0,Business Travel Private 1 BR (females only),1,1,https://a0.muscache.com/im/pictures/6fdb5710-fc96-4467-a05b-d4636d724af2.jpg?aki_policy=x_large,3,-96.99701,32.66525,31.2184,House,Private room,https://www.airbnb.com/rooms/28345676,1,Grand Prairie
8654399,9.8,111,2.0,Resort-Like Area Upscale Cozy & Gorgeous 3/2 Home,3,8,https://a0.muscache.com/im/pictures/109858796/6bb54bf9_original.jpg?aki_policy=x_large,106,-97.05328,32.59905,163.0,House,Entire home/apt,https://www.airbnb.com/rooms/8654399,1,Grand Prairie
20712861,9.6,251,1.0,Venice Gorgeous Huge Room in our Exclusive Home!!!,1,1,https://a0.muscache.com/im/pictures/cb45def6-93d5-4ad3-85f3-d2108c824bb7.jpg?aki_policy=x_large,5,-97.04441,32.58943,43.8722,House,Private room,https://www.airbnb.com/rooms/20712861,1,Grand Prairie
43186599,10.0,85,2.0,★4BR★Spa CozyHome★Kingbed★Cowboys★Lake★Sanitized!,4,8,https://a0.muscache.com/im/pictures/e69fa22e-cbca-47ca-8735-d4c48a65bc71.jpg?aki_policy=x_large,15,-97.05327,32.66052,179.302,House,Entire home/apt,https://www.airbnb.com/rooms/43186599,1,Grand Prairie
30349088,9.6,350,2.0,"🤠Dfw central,Backyard romance,Epicwater,outletmall",3,8,https://a0.muscache.com/im/pictures/b4a040d4-10f7-4686-8236-4a380cdc5ebf.jpg?aki_policy=x_large,99,-96.99806,32.66819,160.121,House,Entire home/apt,https://www.airbnb.com/rooms/30349088,1,Grand Prairie
13745443,9.8,288,1.0,Cute Studio Apartment,1,3,https://a0.muscache.com/im/pictures/199f2897-f841-4609-945d-b3d0aae9e03b.jpg?aki_policy=x_large,481,-97.054,32.671,75.9,Apartment,Entire home/apt,https://www.airbnb.com/rooms/13745443,1,Grand Prairie
44165040,9.7,75,2.5,Grand Paradise Lounge with Pool,6,10,https://a0.muscache.com/im/pictures/dca6c6d9-0b24-4a18-a99f-1d043c0f341e.jpg?aki_policy=x_large,6,-97.0084,32.65941,371.623,House,Entire home/apt,https://www.airbnb.com/rooms/44165040,1,Grand Prairie
41499517,9.8,91,2.0,Newly renovated large home for 16 people,4,16,https://a0.muscache.com/im/pictures/a5bfb45a-b9c3-4219-acae-f865f38719e0.jpg?aki_policy=x_large,13,-97.03222,32.76812,293.98,House,Entire home/apt,https://www.airbnb.com/rooms/41499517,1,Grand Prairie
27902915,9.6,251,1.0,Airstream Retreat Near ✮ Cowboys ✮ Texas Live,1,5,https://a0.muscache.com/im/pictures/6798c475-567d-42ee-a23c-3eb51468c977.jpg?aki_policy=x_large,158,-97.03922,32.78054,75.9098,Camper/RV,Entire home/apt,https://www.airbnb.com/rooms/27902915,1,Grand Prairie
43003260,8.0,151,1.0,Private Room in Grand Prairie (#2),1,2,https://a0.muscache.com/im/pictures/c2c755c1-b6f1-40b6-94f0-db6b7a721ec5.jpg?aki_policy=x_large,3,-97.00095,32.68431,38.0267,House,Private room,https://www.airbnb.com/rooms/43003260,1,Grand Prairie
