airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
27314635,9.9,House,1.0,2BR Near ✮ Cowboys ✮ Texas Live ✮ Six Flags,2,4,88.214,https://a0.muscache.com/im/pictures/9a19a47f-ec06-4c38-94da-35d8d5bebf8c.jpg?aki_policy=x_large,28,-97.03624,32.77989,331,Private room,https://www.airbnb.com/rooms/27314635,1,Grand Prairie
42857816,8.7,House,1.0,1BR/Queen Bed,1,2,39.5758,https://a0.muscache.com/im/pictures/d7c15bad-c87e-4691-aae1-82a36be509ef.jpg?aki_policy=x_large,3,-97.01509,32.75412,181,Private room,https://www.airbnb.com/rooms/42857816,1,Grand Prairie
9861626,9.5,House,3.5,Cozy home near Joe Pool Lake --Entire home,6,8,555.455,https://a0.muscache.com/im/pictures/4540aac3-5233-44f5-ae34-9ca7ddeea928.jpg?aki_policy=x_large,4,-97.03802,32.59294,120,Entire home/apt,https://www.airbnb.com/rooms/9861626,1,Grand Prairie
39604706,,House,1.0,Charming & Spacious Private 1 BR (females only),0,1,35.4712,https://a0.muscache.com/im/pictures/889e0aff-7e2f-46e7-aee9-be077b39d44f.jpg?aki_policy=x_large,0,-96.99688,32.66619,152,Private room,https://www.airbnb.com/rooms/39604706,1,Grand Prairie
43437921,9.9,Apartment,1.0,“The LaValse” A Luxury Suite,1,2,100.818,https://a0.muscache.com/im/pictures/0126cc4a-e988-4a6a-a3e3-aeeb492829b1.jpg?aki_policy=x_large,17,-97.06163,32.6714,181,Entire home/apt,https://www.airbnb.com/rooms/43437921,1,Grand Prairie
1003659778,10.0,house,2.5,Your home away from home near AT&T Stadium.,3,8,102.994,https://odis.homeaway.com/odis/listing/7b14fc6c-b9d4-4d5f-ac5a-bd022242a044.c10.jpg,1,-97.03740885,32.78594573,234,Entire home/apt,https://www.airbnb.com/rooms/1003659778,1,Grand Prairie
28345676,8.7,House,1.0,Business Travel Private 1 BR (females only),1,1,31.2184,https://a0.muscache.com/im/pictures/6fdb5710-fc96-4467-a05b-d4636d724af2.jpg?aki_policy=x_large,3,-96.99701,32.66525,127,Private room,https://www.airbnb.com/rooms/28345676,1,Grand Prairie
8654399,9.8,House,2.0,Resort-Like Area Upscale Cozy & Gorgeous 3/2 Home,3,8,163.0,https://a0.muscache.com/im/pictures/109858796/6bb54bf9_original.jpg?aki_policy=x_large,106,-97.05328,32.59905,111,Entire home/apt,https://www.airbnb.com/rooms/8654399,1,Grand Prairie
20712861,9.6,House,1.0,Venice Gorgeous Huge Room in our Exclusive Home!!!,1,1,43.8722,https://a0.muscache.com/im/pictures/cb45def6-93d5-4ad3-85f3-d2108c824bb7.jpg?aki_policy=x_large,5,-97.04441,32.58943,251,Private room,https://www.airbnb.com/rooms/20712861,1,Grand Prairie
43186599,10.0,House,2.0,★4BR★Spa CozyHome★Kingbed★Cowboys★Lake★Sanitized!,4,8,179.302,https://a0.muscache.com/im/pictures/e69fa22e-cbca-47ca-8735-d4c48a65bc71.jpg?aki_policy=x_large,15,-97.05327,32.66052,85,Entire home/apt,https://www.airbnb.com/rooms/43186599,1,Grand Prairie
