airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
43987955,10.0,113,1.5,R0: LOW Price! GREAT Location! Read & You''ll Book!,1,1,https://a0.muscache.com/im/pictures/3daa7fd2-8181-43fd-8a09-684f9bda2f0e.jpg?aki_policy=x_large,20,-96.95177,32.80983,29.0222,House,Private room,https://www.airbnb.com/rooms/43987955,1,Irving
7387332,8.6,185,3.5,"The Wild, Wild West Dallas Backpacker''s B&B - 1",1,16,https://a0.muscache.com/im/pictures/98649937/451cb781_original.jpg?aki_policy=x_large,38,-96.948,32.808,24.6842,House,Shared room,https://www.airbnb.com/rooms/7387332,1,Irving
17040842,9.9,173,2.0,Room Of Fame - Hepburn,1,1,https://a0.muscache.com/im/pictures/aa41c7f9-90b6-46b3-b2a6-74846cb32ac6.jpg?aki_policy=x_large,178,-96.963,32.845,42.1364,House,Private room,https://www.airbnb.com/rooms/17040842,1,Irving
32618899,9.6,57,1.5,Great Central DFW Location South of Las Calinas,2,6,https://a0.muscache.com/im/pictures/6f8043dd-de1c-48d6-acf4-8b8d47bf12cf.jpg?aki_policy=x_large,26,-96.92507,32.83274,121.771,House,Entire home/apt,https://www.airbnb.com/rooms/32618899,1,Irving
14651607,9.7,151,1.0,.#3 Twin bed in a hostel-style bedroom,1,1,https://a0.muscache.com/im/pictures/29acac1e-b878-4651-af40-857e46b1062d.jpg?aki_policy=x_large,82,-96.96948,32.84679,20.0,House,Shared room,https://www.airbnb.com/rooms/14651607,1,Irving
29454812,9.9,108,1.0,Classic II-Mater Bedroom,1,2,https://a0.muscache.com/im/pictures/8651f158-c173-42ab-958a-80a492b80fb1.jpg?aki_policy=x_large,33,-96.98849,32.8067,50.5155,House,Private room,https://www.airbnb.com/rooms/29454812,1,Irving
45330353,9.7,61,2.0,Whole house with all amenities in center,2,4,https://a0.muscache.com/im/pictures/028d3e11-e0dc-48c5-b474-5ba3a8cfb0e6.jpg?aki_policy=x_large,7,-96.94316,32.82664,230.385,House,Entire home/apt,https://www.airbnb.com/rooms/45330353,1,Irving
38762455,9.1,313,1.0,The Llama,1,2,https://a0.muscache.com/im/pictures/20b6107f-cf77-4619-9fa6-df49d9a4e115.jpg?aki_policy=x_large,58,-96.95463,32.84517,65.4569,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38762455,1,Irving
20641535,10.0,91,1.0,Cozy home - stay near both Dallas airports,1,2,https://a0.muscache.com/im/pictures/8ab1a9a6-aac5-44ad-8013-e4f860111280.jpg?aki_policy=x_large,10,-96.9288,32.82831,75.0,House,Private room,https://www.airbnb.com/rooms/20641535,1,Irving
17446786,9.9,31,1.0,Cozy private bedroom near DFW airport/ Las Colinas,1,2,https://a0.muscache.com/im/pictures/e98e67ba-d527-4c26-8895-fe32fe523d77.jpg?aki_policy=x_large,15,-96.98031,32.86213,40.7143,House,Private room,https://www.airbnb.com/rooms/17446786,1,Irving
41445149,9.6,151,1.0,Irving Condo - Minutes to DFW Airport!,2,4,https://a0.muscache.com/im/pictures/282d665e-4162-4680-9456-6d41e9e0ceee.jpg?aki_policy=x_large,11,-97.00293,32.86415,92.6268,Condominium,Entire home/apt,https://www.airbnb.com/rooms/41445149,1,Irving
43612484,10.0,62,2.0,Cozy Private Twin bed with 10 min from Airport,1,1,https://a0.muscache.com/im/pictures/3c3473a6-7f5b-4fb2-adfc-b33243cb5f88.jpg?aki_policy=x_large,3,-96.99566,32.84857,33.0237,House,Private room,https://www.airbnb.com/rooms/43612484,1,Irving
38077204,9.7,231,2.0,DFW Airport House for 8 People - pets allowed,4,8,https://a0.muscache.com/im/pictures/61d1454e-4413-4452-ab4b-530fe27f3010.jpg?aki_policy=x_large,42,-97.00804,32.8455,174.258,House,Entire home/apt,https://www.airbnb.com/rooms/38077204,1,Irving
45258485,,61,1.0,Fully equipped apartment home | 2BR in Las Colinas,2,5,https://a0.muscache.com/im/pictures/b9e3f3c0-95e6-4686-b898-77f43dacccdc.jpg?aki_policy=x_large,0,-96.962,32.905,56.381,Serviced apartment,Entire home/apt,https://www.airbnb.com/rooms/45258485,1,Irving
44550451,,31,2.0,GREAT DEAL! 2 LOVELY STUDIOS w/ GYM & BREAKFAST,2,6,https://a0.muscache.com/im/pictures/25ae57a9-1502-4896-aa9d-eb3f65528cdd.jpg?aki_policy=x_large,0,-96.96057,32.88389,234.667,Apartment,Entire home/apt,https://www.airbnb.com/rooms/44550451,1,Irving
41380135,9.6,101,1.0,Elegant and sparkling place to stay,1,2,https://a0.muscache.com/im/pictures/a7e05ede-632b-42a0-b9c1-f3c165f61eff.jpg?aki_policy=x_large,10,-96.98423,32.86321,36.6988,Apartment,Entire home/apt,https://www.airbnb.com/rooms/41380135,1,Irving
41788131,9.7,272,1.0,🚀 Spacious Irving Apt for WFH ✔ Safe & Sanitized,1,4,https://a0.muscache.com/im/pictures/e8c487c8-6c58-4664-874c-82fd2eec1a57.jpg?aki_policy=x_large,31,-96.94117,32.88095,104.253,Apartment,Entire home/apt,https://www.airbnb.com/rooms/41788131,1,Irving
