airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,homeaway_property_id,longitude,m_homeaway_property_id,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
32526900,8,330,2,"2 x 2BR IN DALLAS FOR 10! BREAKFAST, POOL, GRILL!",4,10,https://a0.muscache.com/im/pictures/fac13aef-3850-4b70-8b50-92e99e49d047.jpg?aki_policy=x_large,1,,-96.961,1735945vb,32.885,288.583,Apartment,Entire home/apt,https://www.airbnb.com/rooms/32526900,1,Irving
1004279300,0,56,1,1 bedroom accommodation in Irving,0,2,https://odis.homeaway.com/odis/listing/ccf81a88-151d-467e-a09a-de7f570c13ef.c10.jpg,0,1967769vb,-96.961558,,32.880867,90.8409,Studio,Entire home/apt,https://www.airbnb.com/rooms/1004279300,0,Irving
20551832,10,122,1,Eclectic cozy home with tropical backyard escape,1,2,https://a0.muscache.com/im/pictures/5e3ea708-2a4d-4e5b-b633-39a941484744.jpg?aki_policy=x_large,6,,-96.92793,,32.82805,75,House,Private room,https://www.airbnb.com/rooms/20551832,1,Irving
19729239,9.3,18,1,.#8 Twin bed in a hostel-style bedroom,1,1,https://a0.muscache.com/im/pictures/674abf78-9b17-4386-b478-01e3187e40bd.jpg?aki_policy=x_large,21,,-96.97724,,32.84651,20,House,Shared room,https://www.airbnb.com/rooms/19729239,1,Irving
1004278559,0,57,1,2 Full Beds 1 Bedroom Suite,0,2,https://odis.homeaway.com/odis/listing/94e15fce-a8b6-4b31-9894-a0e61e9c16f0.c10.jpg,0,1968464vb,-96.975345,,32.92285,110.222,Hotel,Entire home/apt,https://www.airbnb.com/rooms/1004278559,1,Irving
12926165,9.4,239,1,"Master King Irving DFW w/ TV, Kitchen & Door Code",1,2,https://a0.muscache.com/im/pictures/a4c11679-d550-4337-9745-9a9eacebdb5f.jpg?aki_policy=x_large,302,,-96.969,,32.822,34.7365,House,Private room,https://www.airbnb.com/rooms/12926165,1,Irving
38645532,,97,2.5,Exclusive 4 Bedroom Home in Las Colinas - Irving,3,8,https://a0.muscache.com/im/pictures/84a42610-6f39-4279-90c2-c7681fbe9188.jpg?aki_policy=x_large,1,,-96.91632,,32.84422,400,House,Entire home/apt,https://www.airbnb.com/rooms/38645532,1,Irving
43574868,,30,2,Cozy Queen bed close to Airport with Fast Wifi,1,1,https://a0.muscache.com/im/pictures/a140bdbb-e9ba-4c0d-a7d9-4ab7586ea410.jpg?aki_policy=x_large,0,,-97.00816,,32.85311,34.16,House,Private room,https://www.airbnb.com/rooms/43574868,1,Irving
42124240,9.7,151,2,Cozy crash pad near DFW Airport with top bunk #3,1,1,https://a0.muscache.com/im/pictures/e37f16c7-1262-427b-a76e-550c7afed7e2.jpg?aki_policy=x_large,7,,-96.99629,,32.84872,15,House,Shared room,https://www.airbnb.com/rooms/42124240,1,Irving
1004240694,0,33,1,1 bedroom accommodation in Irving,0,2,https://odis.homeaway.com/odis/listing/fd6031c6-1221-4a92-954e-faa61a11dced.c10.jpg,0,1957701vb,-96.975345,,32.92285,120.938,Hotel,Entire home/apt,https://www.airbnb.com/rooms/1004240694,0,Irving
1003651152,6,29,1,Days Inn by Wyndham Dallas Irving,0,3,https://odis.homeaway.com/odis/listing/f796c602-8937-4cb3-a506-f06ac96adbeb.c10.jpg,43,7999801,-96.91283,,32.83641,79,Hotel,Entire home/apt,https://www.airbnb.com/rooms/1003651152,1,Irving
14405561,9.3,194,1,#1 Private bedroom close to everything,1,2,https://a0.muscache.com/im/pictures/3960ac4c-ca00-4d05-ac87-55c1b64e085c.jpg?aki_policy=x_large,126,,-96.97161,,32.84839,30,House,Private room,https://www.airbnb.com/rooms/14405561,1,Irving
41380135,9.6,101,1,Elegant and sparkling place to stay,1,2,https://a0.muscache.com/im/pictures/a7e05ede-632b-42a0-b9c1-f3c165f61eff.jpg?aki_policy=x_large,10,,-96.98423,,32.86321,36.6988,Apartment,Entire home/apt,https://www.airbnb.com/rooms/41380135,1,Irving
276207,9.2,65,1,"I00-DFW 2bd/1ba,1st flr,airport and medical close",2,4,https://a0.muscache.com/im/pictures/3163307b-d06c-4c6d-a12f-4e41e6c19a9b.jpg?aki_policy=x_large,27,,-97.00545,,32.82496,104.414,Apartment,Entire home/apt,https://www.airbnb.com/rooms/276207,1,Irving
10733929,9.8,33,1,I44-DFW Furnished & Modern Appliances 1BD/1BA,1,2,https://a0.muscache.com/im/pictures/ccd3bbd5-3022-4444-8b44-cf5eb5f7b23e.jpg?aki_policy=x_large,14,,-97.00272,,32.82742,101.125,Apartment,Entire home/apt,https://www.airbnb.com/rooms/10733929,1,Irving
39790256,9.3,111,1,Near to DFWairport inter section of hw 161 &183,1,2,https://a0.muscache.com/im/pictures/1ab1fde2-4e30-4d92-9882-12a04a761db9.jpg?aki_policy=x_large,3,,-97.01658,,32.84505,49.7174,House,Private room,https://www.airbnb.com/rooms/39790256,1,Irving
1004280011,0,57,1,2 Bedroom 2 Bath Accessible Roll in Shower,0,2,https://odis.homeaway.com/odis/listing/275e69d0-47af-480e-bf23-6082178177cf.c10.jpg,0,1966882vb,-96.975345,,32.92285,176.429,Hotel,Entire home/apt,https://www.airbnb.com/rooms/1004280011,1,Irving
40680520,9.7,167,4,"3300 SqFT 5Bedrm/4Bath, new home in ideal location",5,14,https://a0.muscache.com/im/pictures/d43a679b-93b4-40f1-9e49-8ee76be32645.jpg?aki_policy=x_large,12,,-97.00194,1858966vb,32.91001,263.517,House,Entire home/apt,https://www.airbnb.com/rooms/40680520,1,Irving
8936183,10,147,1,Full Guest Bed In Large Townhome,1,3,https://a0.muscache.com/im/pictures/637ff2b5-c1c5-4d24-ab8d-05d423094dd7.jpg?aki_policy=x_large,17,,-96.9968,,32.86471,74.0577,Townhouse,Private room,https://www.airbnb.com/rooms/8936183,1,Irving
16322661,9.9,161,1,Marvelous Mid-Century Maisonette,0,2,https://a0.muscache.com/im/pictures/6fb33cd9-2726-4acb-9891-f56560aacad4.jpg?aki_policy=x_large,81,,-96.96563,,32.824,71.0602,Loft,Entire home/apt,https://www.airbnb.com/rooms/16322661,1,Irving
