airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
43987955,10.0,House,1.5,R0: LOW Price! GREAT Location! Read & You''ll Book!,1,1,29.0222,https://a0.muscache.com/im/pictures/3daa7fd2-8181-43fd-8a09-684f9bda2f0e.jpg?aki_policy=x_large,20,-96.95177,32.80983,113,Private room,https://www.airbnb.com/rooms/43987955,1,Irving
7387332,8.6,House,3.5,"The Wild, Wild West Dallas Backpacker''s B&B - 1",1,16,24.6842,https://a0.muscache.com/im/pictures/98649937/451cb781_original.jpg?aki_policy=x_large,38,-96.948,32.808,185,Shared room,https://www.airbnb.com/rooms/7387332,1,Irving
17040842,9.9,House,2.0,Room Of Fame - Hepburn,1,1,42.1364,https://a0.muscache.com/im/pictures/aa41c7f9-90b6-46b3-b2a6-74846cb32ac6.jpg?aki_policy=x_large,178,-96.963,32.845,173,Private room,https://www.airbnb.com/rooms/17040842,1,Irving
32618899,9.6,House,1.5,Great Central DFW Location South of Las Calinas,2,6,121.771,https://a0.muscache.com/im/pictures/6f8043dd-de1c-48d6-acf4-8b8d47bf12cf.jpg?aki_policy=x_large,26,-96.92507,32.83274,57,Entire home/apt,https://www.airbnb.com/rooms/32618899,1,Irving
14651607,9.7,House,1.0,.#3 Twin bed in a hostel-style bedroom,1,1,20.0,https://a0.muscache.com/im/pictures/29acac1e-b878-4651-af40-857e46b1062d.jpg?aki_policy=x_large,82,-96.96948,32.84679,151,Shared room,https://www.airbnb.com/rooms/14651607,1,Irving
29454812,9.9,House,1.0,Classic II-Mater Bedroom,1,2,50.5155,https://a0.muscache.com/im/pictures/8651f158-c173-42ab-958a-80a492b80fb1.jpg?aki_policy=x_large,33,-96.98849,32.8067,108,Private room,https://www.airbnb.com/rooms/29454812,1,Irving
45330353,9.7,House,2.0,Whole house with all amenities in center,2,4,230.385,https://a0.muscache.com/im/pictures/028d3e11-e0dc-48c5-b474-5ba3a8cfb0e6.jpg?aki_policy=x_large,7,-96.94316,32.82664,61,Entire home/apt,https://www.airbnb.com/rooms/45330353,1,Irving
38762455,9.1,Apartment,1.0,The Llama,1,2,65.4569,https://a0.muscache.com/im/pictures/20b6107f-cf77-4619-9fa6-df49d9a4e115.jpg?aki_policy=x_large,58,-96.95463,32.84517,313,Entire home/apt,https://www.airbnb.com/rooms/38762455,1,Irving
20641535,10.0,House,1.0,Cozy home - stay near both Dallas airports,1,2,75.0,https://a0.muscache.com/im/pictures/8ab1a9a6-aac5-44ad-8013-e4f860111280.jpg?aki_policy=x_large,10,-96.9288,32.82831,91,Private room,https://www.airbnb.com/rooms/20641535,1,Irving
17446786,9.9,House,1.0,Cozy private bedroom near DFW airport/ Las Colinas,1,2,40.7143,https://a0.muscache.com/im/pictures/e98e67ba-d527-4c26-8895-fe32fe523d77.jpg?aki_policy=x_large,15,-96.98031,32.86213,31,Private room,https://www.airbnb.com/rooms/17446786,1,Irving
41445149,9.6,Condominium,1.0,Irving Condo - Minutes to DFW Airport!,2,4,92.6268,https://a0.muscache.com/im/pictures/282d665e-4162-4680-9456-6d41e9e0ceee.jpg?aki_policy=x_large,11,-97.00293,32.86415,151,Entire home/apt,https://www.airbnb.com/rooms/41445149,1,Irving
43612484,10.0,House,2.0,Cozy Private Twin bed with 10 min from Airport,1,1,33.0237,https://a0.muscache.com/im/pictures/3c3473a6-7f5b-4fb2-adfc-b33243cb5f88.jpg?aki_policy=x_large,3,-96.99566,32.84857,62,Private room,https://www.airbnb.com/rooms/43612484,1,Irving
38077204,9.7,House,2.0,DFW Airport House for 8 People - pets allowed,4,8,174.258,https://a0.muscache.com/im/pictures/61d1454e-4413-4452-ab4b-530fe27f3010.jpg?aki_policy=x_large,42,-97.00804,32.8455,231,Entire home/apt,https://www.airbnb.com/rooms/38077204,1,Irving
45258485,,Serviced apartment,1.0,Fully equipped apartment home | 2BR in Las Colinas,2,5,56.381,https://a0.muscache.com/im/pictures/b9e3f3c0-95e6-4686-b898-77f43dacccdc.jpg?aki_policy=x_large,0,-96.962,32.905,61,Entire home/apt,https://www.airbnb.com/rooms/45258485,1,Irving
44550451,,Apartment,2.0,GREAT DEAL! 2 LOVELY STUDIOS w/ GYM & BREAKFAST,2,6,234.667,https://a0.muscache.com/im/pictures/25ae57a9-1502-4896-aa9d-eb3f65528cdd.jpg?aki_policy=x_large,0,-96.96057,32.88389,31,Entire home/apt,https://www.airbnb.com/rooms/44550451,1,Irving
41380135,9.6,Apartment,1.0,Elegant and sparkling place to stay,1,2,36.6988,https://a0.muscache.com/im/pictures/a7e05ede-632b-42a0-b9c1-f3c165f61eff.jpg?aki_policy=x_large,10,-96.98423,32.86321,101,Entire home/apt,https://www.airbnb.com/rooms/41380135,1,Irving
41788131,9.7,Apartment,1.0,🚀 Spacious Irving Apt for WFH ✔ Safe & Sanitized,1,4,104.253,https://a0.muscache.com/im/pictures/e8c487c8-6c58-4664-874c-82fd2eec1a57.jpg?aki_policy=x_large,31,-96.94117,32.88095,272,Entire home/apt,https://www.airbnb.com/rooms/41788131,1,Irving
32527311,10.0,Apartment,4.0,"✭ ULTIMATE ESCAPE! FOUR GREAT 2BRs! POOL, BBQ",8,16,530.227,https://a0.muscache.com/im/pictures/62e7556b-7de2-49ac-83eb-cb911ff521bf.jpg?aki_policy=x_large,2,-96.961,32.885,282,Entire home/apt,https://www.airbnb.com/rooms/32527311,1,Irving
16270089,9.8,House,1.0,Clean and safe place close to DFW Airport (Room 2),1,2,40.0357,https://a0.muscache.com/im/pictures/036c1430-3b87-4186-bd2e-0356b11131d7.jpg?aki_policy=x_large,90,-96.94416,32.94559,212,Private room,https://www.airbnb.com/rooms/16270089,1,Irving
33131321,9.7,House,1.0,Sandy Shores Master bdrm (beach themed decor),1,2,40.951,https://a0.muscache.com/im/pictures/f2685e71-171a-4543-80fe-28798bbbee0e.jpg?aki_policy=x_large,21,-96.97928,32.8435,111,Private room,https://www.airbnb.com/rooms/33131321,1,Irving
46087836,,Apartment,1.0,"""Entire Spacious one bedroom apartment!""",1,2,85.0,https://a0.muscache.com/im/pictures/42927462-63ee-47a3-8c73-618bf89fff4b.jpg?aki_policy=x_large,0,-96.9551615740007,32.8959096448118,31,Entire home/apt,https://www.airbnb.com/rooms/46087836,1,Irving
37202873,9.9,House,1.0,CozySuite. SelfCheckIn. Office. Patio. NearDFW&DAL,1,1,53.5585,https://a0.muscache.com/im/pictures/5d354ab6-cbde-40eb-915b-a66ec00f3502.jpg?aki_policy=x_large,59,-96.9374,32.85425,328,Private room,https://www.airbnb.com/rooms/37202873,1,Irving
37222134,10.0,House,1.5,Donnpress Villa,1,2,65.0,https://a0.muscache.com/im/pictures/8f32e3ca-7803-4fc0-864d-4043685cc600.jpg?aki_policy=x_large,2,-96.96714,32.91577,111,Private room,https://www.airbnb.com/rooms/37222134,1,Irving
39425267,10.0,House,1.5,Full Size Private Room near airport - shared Bath,1,1,32.5942,https://a0.muscache.com/im/pictures/c040051d-2846-4955-80eb-bcf4413c1f9e.jpg?aki_policy=x_large,11,-96.99,32.797,170,Private room,https://www.airbnb.com/rooms/39425267,1,Irving
21163150,9.7,House,3.0,Lake Views Near Dallas Best Attractions,4,8,222.171,https://a0.muscache.com/im/pictures/a8f0dee7-3a00-4c5e-a279-7a507afc9954.jpg?aki_policy=x_large,60,-96.9616,32.78916,97,Entire home/apt,https://www.airbnb.com/rooms/21163150,1,Irving
1003905741,10.0,house,2.0,Conveniently located in the geographic center of the DFW metroplex,2,4,459.889,https://media.vrbo.com/lodging/42000000/41460000/41453100/41453095/9f368535.c10.jpg,16,-96.98040566,32.8185909,201,Entire home/apt,https://www.airbnb.com/rooms/1003905741,1,Irving
45446844,10.0,Apartment,1.0,Experience on the Lake,1,16,133.043,https://a0.muscache.com/im/pictures/2596ae36-90cb-41b0-9daa-f2cb4e866b16.jpg?aki_policy=x_large,1,-96.93036,32.86689,31,Entire home/apt,https://www.airbnb.com/rooms/45446844,1,Irving
19273860,10.0,Apartment,1.0,"I34-DFW ""Blue Diamond"" Comfy & Cozy 1BD/1BA",1,2,76.6977,https://a0.muscache.com/im/pictures/5bc89d6d-e3d9-4943-8ed9-14f3864094f7.jpg?aki_policy=x_large,10,-97.00505,32.82561,47,Entire home/apt,https://www.airbnb.com/rooms/19273860,1,Irving
348629,8.9,Apartment,2.0,"I20-DFW ""Misty Blue"" Luxe Condo 2BD/2BA",2,4,94.9859,https://a0.muscache.com/im/pictures/d32b3448-b1dd-4c70-8ec2-af2d2540a3e0.jpg?aki_policy=x_large,17,-97.00267,32.82773,115,Entire home/apt,https://www.airbnb.com/rooms/348629,1,Irving
