airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
17760885,10.0,54,2.0,Coastal Living in Downtown McKinney,3,6,https://a0.muscache.com/im/pictures/e9339a4e-52ef-49b8-a6f6-f6a6d3fba24e.jpg?aki_policy=x_large,3,-96.61905,33.19529,374.0,Bungalow,Entire home/apt,https://www.airbnb.com/rooms/17760885,1,McKinney
40539687,9.9,226,1.0,Jones Country Cottage near the Downtown Square,2,5,https://a0.muscache.com/im/pictures/2f58c53c-e451-433c-978c-528ae9a0e501.jpg?aki_policy=x_large,27,-96.61774,33.203,123.466,House,Entire home/apt,https://www.airbnb.com/rooms/40539687,1,McKinney
39800212,9.8,234,1.0,Peaceful and Serene!,1,2,https://a0.muscache.com/im/pictures/7a19ec64-13f1-4665-848c-4ca6e155af31.jpg?aki_policy=x_large,20,-96.73913,33.18826,38.8217,Apartment,Private room,https://www.airbnb.com/rooms/39800212,1,McKinney
41349377,9.8,99,1.0,Guest House at Gold Farm,0,4,https://a0.muscache.com/im/pictures/36794df0-38dc-482b-a06b-7de14c6dc1fc.jpg?aki_policy=x_large,13,-96.60884,33.13573,81.8788,House,Entire home/apt,https://www.airbnb.com/rooms/41349377,1,McKinney
20882602,10.0,128,1.0,404 Tucker,2,6,https://a0.muscache.com/im/pictures/73cc0a00-1cd1-4a23-825e-338e0a6aff83.jpg?aki_policy=x_large,27,-96.61785,33.20132,206.765,House,Entire home/apt,https://www.airbnb.com/rooms/20882602,1,McKinney
40754247,10.0,62,1.0,Your private room,1,1,https://a0.muscache.com/im/pictures/8ffadb9f-68f6-4c87-97b8-63f98d4fad99.jpg?aki_policy=x_large,2,-96.73164,33.14163,30.2857,House,Private room,https://www.airbnb.com/rooms/40754247,1,McKinney
28185463,9.6,317,1.0,"Mckinney, TX Queen Anne Cottage (built in 1904)",1,2,https://a0.muscache.com/im/pictures/53ca0d5f-3554-4342-a7a4-adf5a1836b4b.jpg?aki_policy=x_large,88,-96.62317,33.19982,36.3827,Cottage,Private room,https://www.airbnb.com/rooms/28185463,1,McKinney
33597867,10.0,147,1.0,Quiet McKinney Neighborhood,1,1,https://a0.muscache.com/im/pictures/6261071a-573c-49db-b830-0a586a3ee9ee.jpg?aki_policy=x_large,2,-96.65534,33.20146,46.6143,House,Private room,https://www.airbnb.com/rooms/33597867,1,McKinney
12024083,10.0,258,1.5,"Calm, comfortable, and clean",1,2,https://a0.muscache.com/im/pictures/936094f2-b39b-4c9b-b4fa-6bcb47be4f59.jpg?aki_policy=x_large,106,-96.65833,33.20563,66.18,House,Private room,https://www.airbnb.com/rooms/12024083,1,McKinney
1000791942,10.0,327,3.5,Fantastic 1918 Farm House on 2 acres - completely restored & remodeled. Upscale!,4,12,https://odis.homeaway.com/odis/listing/c8430718-3a07-4bf3-9d08-512d81ca797a.c10.jpg,93,-96.6280663,33.1539212,335.857,house,Entire home/apt,https://www.airbnb.com/rooms/1000791942,1,McKinney
