airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
1004269914,10.0,house,2.0,King Master! 👑 Sunroom! 🌞 Pool Table! 🎱 Pool! 🏖️,4,10,373.072,https://odis.homeaway.com/odis/listing/2838a694-fbe8-470a-b90e-20ab026835a9.c10.jpg,2,-96.76383601,33.02366117,123,Entire home/apt,https://www.airbnb.com/rooms/1004269914,1,Plano
1000761535,10.0,House,2.0,"Open, Updated, Family Friendly In Plano, TX. Near McKinney, Richardson, Allen",3,8,218.943,https://odis.homeaway.com/odis/listing/8aba9191-0e44-45aa-aa53-27542dbaa021.c10.jpg,15,-96.70887752,33.05216693,255,Entire home/apt,https://www.airbnb.com/rooms/1000761535,1,Plano
26915324,9.0,Apartment,1.0,Legacy West|Corporate|1 Bedroom|City View,1,2,143.435,https://a0.muscache.com/im/pictures/1dda0b0b-d8ff-44e8-9d7d-6d7f4b85644c.jpg?aki_policy=x_large,16,-96.82738,33.08765,269,Entire home/apt,https://www.airbnb.com/rooms/26915324,1,Plano
20057707,9.5,Apartment,1.0,Legacy West|Corporate|1 Bedroom|Balcony,1,2,133.909,https://a0.muscache.com/im/pictures/4160adc5-a577-4561-8590-3d06bb7058fd.jpg?aki_policy=x_large,22,-96.827,33.081,269,Entire home/apt,https://www.airbnb.com/rooms/20057707,1,Plano
14834008,9.6,House,1.0,Cozy Spacious Private Room- Free Coffee,1,2,40.7292,https://a0.muscache.com/im/pictures/6896724d-7803-4fc6-a27e-49bb9026f465.jpg?aki_policy=x_large,75,-96.77769,33.05867,199,Private room,https://www.airbnb.com/rooms/14834008,1,Plano
37162127,9.9,House,2.0,Perfect for Family Work Close to Highway,3,12,193.718,https://a0.muscache.com/im/pictures/20aa4acc-5727-4ad8-b65a-66dcccf0afa6.jpg?aki_policy=x_large,20,-96.78849,33.03045,203,Entire home/apt,https://www.airbnb.com/rooms/37162127,1,Plano
32892406,8.6,Apartment,1.0,LegacyWest|Corporate|Studio|Courtyard View,1,2,108.75,https://a0.muscache.com/im/pictures/b7693e8b-d53e-4c4e-b7cb-41b01734c33e.jpg?aki_policy=x_large,16,-96.8264,33.08137,217,Entire home/apt,https://www.airbnb.com/rooms/32892406,1,Plano
34719755,9.8,Apartment,1.0,|Legacy West|Corporate|1 Bedroom|Pool View,1,2,134.839,https://a0.muscache.com/im/pictures/789adc7a-4946-4b35-a8b1-2b55c1a4bd25.jpg?aki_policy=x_large,8,-96.82615,33.08718,211,Entire home/apt,https://www.airbnb.com/rooms/34719755,1,Plano
37499453,9.5,House,1.0,"Females Only Private, Safe, Comfy, Clean room.",1,1,28.8919,https://a0.muscache.com/im/pictures/635e21ea-ae89-4620-a842-488e7f76ee5f.jpg?aki_policy=x_large,13,-96.77466,33.02472,88,Private room,https://www.airbnb.com/rooms/37499453,1,Plano
45119948,,Serviced apartment,1.0,Upscale 1BR w/ hotel-like amenities in Richardson,1,3,38.0,https://a0.muscache.com/im/pictures/ab1fd4d4-7ccc-43f4-b497-3a1c23b84b18.jpg?aki_policy=x_large,0,-96.706,33.002,31,Entire home/apt,https://www.airbnb.com/rooms/45119948,1,Plano
