airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
45115491,10.0,House,2.0,"Beautiful, Updated House in Richardson",3,6,160.812,https://a0.muscache.com/im/pictures/5d0e4aab-70aa-474e-83db-a43c8034c701.jpg?aki_policy=x_large,1,-96.731,32.92775,14,Entire home/apt,https://www.airbnb.com/rooms/45115491,1,Richardson
40972832,8.0,House,1.0,Private Room Suite/ Queen Bed,1,4,71.0705,https://a0.muscache.com/im/pictures/e2ff8091-e97c-471b-8a7a-b96215f2eef4.jpg?aki_policy=x_large,3,-96.61747,32.98931,245,Private room,https://www.airbnb.com/rooms/40972832,1,Richardson
8281314,10.0,Apartment,2.5,Renovated Richardson Condo,2,4,70.0,https://a0.muscache.com/im/pictures/107819585/e144cc2c_original.jpg?aki_policy=x_large,9,-96.72647,32.98836,58,Entire home/apt,https://www.airbnb.com/rooms/8281314,1,Richardson
23956392,10.0,House,1.5,The Comfy Casa 1,1,2,47.501,https://a0.muscache.com/im/pictures/a71f3830-e7ea-4d67-a503-e9e8f4ebbe06.jpg?aki_policy=x_large,48,-96.68915,32.94409,274,Private room,https://www.airbnb.com/rooms/23956392,1,Richardson
15372789,9.8,House,1.0,Clean Private Room - See Discounts!,1,2,140.667,https://a0.muscache.com/im/pictures/fe8106e8-8d2a-41a4-abba-7319d3d61ed5.jpg?aki_policy=x_large,87,-96.69286,32.94548,62,Private room,https://www.airbnb.com/rooms/15372789,1,Richardson
29015269,0.0,House,1.5,Charming 3 bedrooms Richardson! Great location!,3,8,172.564,https://a0.muscache.com/im/pictures/00d889e9-7380-4ee7-9726-244db015d9e4.jpg?aki_policy=x_large,0,-96.75987,32.94939,182,Entire home/apt,https://www.airbnb.com/rooms/29015269,1,Richardson
35535296,9.5,House,2.0,Charming Home - Beautiful Backyard Retreat!,3,6,188.032,https://a0.muscache.com/im/pictures/7b8ba7fb-aeb8-429a-b147-4a41d9706b16.jpg?aki_policy=x_large,20,-96.73492,32.96881,226,Entire home/apt,https://www.airbnb.com/rooms/35535296,1,Richardson
20740511,9.2,House,1.0,"Artsy Room,TV,WiFi,NearUTDallas,Hway75,DART,Bus",1,2,37.1604,https://a0.muscache.com/im/pictures/a6d3f7a3-b2ac-430e-9830-c2b3ec04e127.jpg?aki_policy=x_large,59,-96.69555,32.96338,72,Private room,https://www.airbnb.com/rooms/20740511,1,Richardson
23783133,9.5,House,1.0,Cloud Pillow Top King Bed + Pool!!!,1,2,45.2569,https://a0.muscache.com/im/pictures/94a26791-12fb-4688-b10e-a1da37fd45ed.jpg?aki_policy=x_large,118,-96.69679,32.93252,190,Private room,https://www.airbnb.com/rooms/23783133,1,Richardson
38258151,9.1,Condominium,1.0,"1 Bedroom in North Dallas, easy access to 75 & 635",1,2,36.053,https://a0.muscache.com/im/pictures/5a0a3f2a-229e-4715-a6d2-08a3f73b978d.jpg?aki_policy=x_large,36,-96.7478,32.94243,189,Private room,https://www.airbnb.com/rooms/38258151,1,Richardson
