county,dem_votes,rep_votes,total_votes,party
Anderson,3162,11421,14603,R
Andrews,656,3419,4123,R
Angelina,6706,19231,26257,R
Aransas,2021,6676,8917,R
Archer,310,3249,3603,R
Armstrong,57,808,887,R
Atascosa,7138,,9523,D
Austin,2047,8763,10984,R
Bailey,354,1236,1590,R
Bandera,1896,7519,9570,R
Bastrop,11202,15019,27116,R
Baylor,131,1083,1230,R
Bee,2862,4183,7045,R
Bell,38058,46859,86156,R
Blanco,1514,4157,5767,R
Borden,13,325,338,R
Bosque,1294,5664,7059,R
Bowie,7534,20443,28254,R
Brazoria,42181,66638,111014,R
Brazos,24367,38075,64002,R
Brewster,2041,1940,4073,D
Briscoe,57,558,622,R
Brooks,1508,338,1860,D
Brown,1448,10555,12174,R
Burleson,1351,5147,6568,R
Burnet,4138,13987,18382,R
Caldwell,5268,5798,11364,R
Calhoun,1767,4159,6019,R
Callahan,519,4416,4994,R
Cameron,50226,26632,76858,D
Carson,197,2216,2447,R
Cass,1960,8217,10254,R
Castro,381,1215,1596,R
Chambers,2787,12334,15121,R
Cherokee,3186,11606,14804,R
Childress,201,1541,1757,R
Clay,458,3770,4279,R
Cochran,125,553,678,R
Coke,109,1184,1312,R
Coleman,326,2763,3119,R
Collin,150918,194359,350822,R
Collingsworth,91,832,933,R
Colorado,1730,5704,7544,R
Comal,16326,43915,61343,R
Comanche,671,3867,4589,R
Concho,132,832,974,R
Coryell,4859,10705,15832,R
Cottle,87,460,555,R
Crane,234,787,1045,R
Crockett,333,904,1259,R
Crosby,382,1025,1407,R
Culberson,461,286,774,D
Dallam,121,969,1112,R
Dallas,460156,212517,697527,D
Dawson,678,2277,2985,R
Deaf Smith,921,2792,3758,R
Delta,310,1577,1915,R
Denton,122377,165109,292233,R
Dewitt,1096,4971,6067,R
Dickens,94,654,750,R
Dimmit,2020,788,2864,D
Donley,113,1134,1274,R
Eastland,751,5387,6197,R
Ector,7904,22040,30402,R
Edwards,144,601,756,R
El Paso,138506,52512,199649,D
Ellis,18022,40883,59742,R
Erath,2202,10126,12484,R
Falls,1381,3251,4662,R
Fannin,1913,8624,10692,R
