"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,2250,2350,2250,2307.5,2450,2500,2450,2400,2200,2150,2400,2500,2500,2330,2300,2400,2300,2350,2400,2400,2400,2450,2495,2500,2500,2500,2500,2550,2595,2600,2600,2600,2595,2650,2602,2650,2695,2700,2630,2650,2700,2700,2649,2600,2600,2600,2600,2600,2650,2640,2300,2250,2291,2250,2250,2200,2200,2250,2295,2350,2350,2300,2221,2300,2300,2250,2200,2200,2195,2199,2200,2250,2300,2350,2325,2307,2398,2500,2400,2195,2250,2300,2300,2349,2350,2375,2360,2400,2400
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,1262.5,1267.5,1352.5,1297.5,1331.5,1350,1359.5,1385,1395,1350,1302.5,1290,1250,1240,1199,1275,1350,1395,1395,1420,1399,1395,1395,1450,1508,1500,1430,1450,1574,1587,1550,1550,1550,1475,1450,1495,1502.5,1350,1522,1495,1485,1450,1495,1581,1598.5,1650,1695,1700,1750,1722,1765,1755,1795,1795,1750,1795,1800,1800,1800,1850,1850,1850,1849,1980,1995,2010.5,2018,2000,1995,1958,1938.5,1995,1913,1925,1850,1964,2000,2095,2050,2050,2095,2144,2100,2100
"Chicago","IL","Chicago","Cook",3,,,,,,,,,1355,1355,1397.5,1220,1265,1250,1276,1295,1375,1335.5,1300,1325,1315,1325,1375,1395,1334,1275,1250,1325,1388,1400,1400,1464,1500,1476,1500,1500,1600,1500,1550,1584,1600,1585,1591,1566,1544,1588.5,1644,1620,1545,1505,1495,1495,1535,1636,1515,1672,1700,1650,1495,1600,1660,1500,1500,1510,1500,1477,1486,1645,1723,1800,1717,1675,1736,1595,1545,1527,1500,1480,1487,1499,1500,1550,1550,1525,1500,1495,1495,1495,1495,1495,1505,1595
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119.5,1225,1125,1074,1105,1214,1216,1235,1200,1229.5,1245,1184,1199,1190,1200,1200,1225,1235,1233,1238,1229,1244,1249,1359.5,1359,1375,1295,1329,1305,1299,1290,1250,1199,1239,1182,1145,1175,1210,1247,1265,1271,1275,1250,1242,1255,1263
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,1257.5,1270,1291,1295,1295,1285,1250,1195,1170,1100,1050,1050,985,975,972,967.5,1100,1150,1240,1195,1225,1200,1180,1100,1150,1100,1080,1050,1200,1150,1150,1204,1125,1150,1100,1225,1200,1250,1250,1050,1075,1050,1100,1295,1295,1250,1250,1195,1200,1150,1120,1100,1100,1200,1280,1250,1245,1195,1215,1190,1177.5,1250,1197.5,1225,1200,1270,1299,1350,1299,1299,1300,1287,1329,1295,1335,1292.5,1340,1364,1390,1420,1395,1395,1400,1395
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,580,585,571,549.5,619.5,629,648,644.5,595,597,599,625,647,625,620,595,595,640,665,650,650,664,675,690,699,700.5,693,679.5,669,669,670,666,665,656,661,655,662.5,650,642,650,700,699,690,700,677,695,678.5,700,697,700,680.5,700,700,720,742,740,740,750,750,753,775,780,820,888,875,859.5,897,856,850,941,850,870.5,879,849.5,823,812,899.5,956.5,1118.5,1175,1095,1079,995,969,965
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,630.5,627.5,625,650,650,650,750,850,772.5,700,700,700,650,625,649,615,632,645.5,600,599,625,625,625,638,650,630,625,625,625,640,650,680,700,699,675,650,650,670,700,675,675,675,690,700,695,719.5,725,750,750,759,779,775,795,795,779.5,782.5,800,809,818,797,786,825,879,859,847,875,852.5,845,880,825,871.5,850,845,845,855,850,910,915,927.5,904,904,915,933,895
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,652.5,595,595,597,595,600,640,647,650,639,670,675,686,715,730,695,685,679,675,724,725,700,708,694.5,710,713,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,795,785,787.5,780,775,780,789,785,790,778,770,775,775,783,794.5,795,800,850,850,825,819,849,825,800,820,804,820,834,790,802,775,810,835,838,850,909,899,886,882,895
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,1262.5,1250,1225,1281,1250,1250,1350,1400,1450,1450,1300,1300,1350,1325,1360.5,1295,1295,1330,1300,1300,1350,1325,1333,1350,1340,1350,1355,1350,1346,1330,1300,1350,1375,1325,1250,1399.5,1450,1395,1380,1450,1625,1600,1595,1650,1600,1650,1677,1649.5,1690,1710,1650,1695,1695,1705,1735,1785,1800,1780.5,1749,1752.5,1750,1750,1760,1754,1700,1695,1850,1725,1825,1695,1715,1675,1750,1790,1800,1830.5,1870,1850,1886,1855,1870
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,1040.5,1000,975,995,975,895,895,835,790,900,870,865,945,875,989,1015,975,937,1025,1011,1030,1075,1147,1059,1083,1083,1028,1098,1100,1050,1095,1112,1150,1159,1179,1144,1136,1164,1150,1177,1147,1115,1120,1150,1199,1198,1160,1130,1120,1158.5,1150,1168,1200,1200,1234,1200,1199,1199,1209,1259,1277,1250,1245,1265,1269,1242,1310,1275,1250,1210,1300,1290,1309,1306,1310,1319,1325,1350,1327
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1650,1589,1600,1650,1586.5,1635,1550,1783,1735.5,1785,1738.5,1776,2011,1995,1972,1955,2057,2043,2070,2223,2196,2310,2315,2300,2317,2335,2340,2340,2425,2450,2500,2580,2617,2555,2530,2535,2529,2550,2544,2530,2470,2440,2440.5,2500,2387.5,2398,2327,2321,2338,2430,2434,2450,2485,2495,2506,2492.5,2463,2460
"Jacksonville","FL","Jacksonville","Duval",12,,,,,,,,,650,625,668,700,725,725,725,725,725,695,695,700,720,725,715,700,695,700,706,725,725,715,695,675,695,695,750,790,799,811,811,813,815,845,850,860,860,860,860,870,870,870,875,875,885,880,880,885,890,895,895,895,895,895,899,900,925,852.5,834,825,825,850,840,871.5,900,900,896,900,900,895,900,884,895,845,875,890,897,929,950,983.5,985,995,960,975
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,1967.5,1964,2000,2150,2100,2397.5,2550,2750,2615,2675,2445,2598.5,2658.5,2650.5,2600,2695,2755,2753,2655,2707.5,2747,2750,2800,2799,2774,2800,2845,3000,2990,2993.5,2964.5,2937.5,2899,2995,3032.5,3100,3000,2995,3050,3252,3295,3270,3327,3350,3379,3380,3417,3495,3500,3495,3500,3500,3595,3495,3559,3527.5,3500,3495,3402.5,3629,3632,3600,3600,3606.5,3510,3450,3325,3300,3200,3200,3100,3212.5,3295,3295,3300,3350,3395,3400,3356,3300
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,,,,,,,,,649.5,625,520,595,625,632,600,550,539,525,550,552.5,580,580,580,554,549.5,569,580,569.5,578.5,540,540,550,590,597,570,565,548,535,530,550,565,565,565,565,575,580,571,564.5,560,575,599,659,669,659,667,649,699,699,725,710,710,709,729,739.5,770,729,739,716,765,729.5,765,750,775,750,780,828,750,749.5,775,744,722
"Austin","TX","Austin","Travis",15,,,,,,,,,,,,,925,897.5,895,950,897.5,860,830,842.5,869.5,920,895,905,930,940,925,945,925,895,862,925,915,908,884,860,880,859,875,874,876,895,900,922,948,995,997,999,975,1050,1104,1010,1000,1035,1030,1040,1036,1075,1010,1010,1045,1024,1065,1020,1020,1045,1066,1085,1088.5,1079,1090,1090,1090.5,1109,1099,1077.5,1095,1065,1075,1081.5,1040,1019,990,1070,1099,1099,1130,1158,1125,1118,1115,1101.5
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,,,,,,,,,,,,,,,,,,,666,650,649.5,617,619,650,699,699,665,672,700,699,710,700,700,694,699,700,699,708,707,735,726,727,702,749,737,670,751,793,776,776,835,800,801.5,773,777,759,790,830,850,877.5,925,920,901.5,899,869,871,943.5,932,979.5,953,954,950,960.5,997,988,1027,1008,983,1050,1040,968.5,1005,938,1030,1025,1078,1210,1169,1214,1209,1219.5,1220
"Detroit","MI","Detroit","Wayne",17,,,,,,,,,,,,,,,,,,,,,,475,500,525,520,525,525,525,500,500,500,525,525,525,500,500,500,525,500,500,500,500,500,530,530,525,500,500,525,507.5,500,529.5,550,525,550,550,525,525,550,550,550,550,550,534,534,525,525,500,517.5,520,525,525,535,545,550,545,550,625,650,550,555,550,575,599.5,550.5,567.5,602.5,627,600,600,600,600
