"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4995,4800,4984,4837.5,4500,4500,4500,4500,4700,4800,4995,5100,5000,4599.5,4800,4650,4500,4500,4850,4800,5395,5000,5350,5500,5500,5500,5500,5675
"Houston","TX","Houston","Harris",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3800,4000,3800,3150,3300,3300,3300,2850,3250,3325,3200,3200,3300,3775
"Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2625,2500,2500,2400,2250,2250,2250,2625,2700,2750,2700,2700,2550,2600,2500,2600,2500,2500,2637.5,2700,2600,2600,2625,2600,2575,2500,2500,2500,2500,2500,2750,2985,2775,2750,2750,2750,2700,2750,2600,2500,2500,2500
"Las Vegas","NV","Las Vegas","Clark",4,,1795,1800,1900,1795,1800,1895,1900,1895,1995,1950,1980,1900,1772.5,1850,1699,1650,1650,1650,1650,1700,1650,1650,1650,1650,1695,1700,1700,1700,1695,1700,1732,1800,1797.5,1700,1700,1700,1750,1750,1782.5,1800,1785,1820,1800,1800,1795,1795,1800,1795,1812.5,1850,1850,1875,1972.5,1895,1905,1900,1807.5,1850,1965,1897.5,1995,1995,1995,2000,2100,1910,1950,2000,2000,1995,1895,1910,1975,2000,2100,2200,2100,2085,2100,2000
"San Antonio","TX","San Antonio","Bexar",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.5,1995,1850,2050,2095,2000,1997.5,2000,1950,2000,1995,1897.5
"San Diego","CA","San Diego","San Diego",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995,3950,3850,3900,4300,4300,4200,4200,4250,4300,4490,4300,4500,4400,4300,4450,4250,4445,4200,4444,3995,3950,3950,4000,4425,4400,4400,4400,4300,4400,4100,3995,4450,4200,4347.5,5000,4972.5,5200,4937.5,4500,4975,5197.5,5150,5200,4750
"Boston","MA","Boston","Suffolk",7,,,,,,,,,,,,,3999,3657.5,3800,3900,3900,3900,3800,3800,3900,3900,3900,4000,4200,4050,4000,3900,3900,3900,3900,3750,3800,3900,4000,4100,4200,4200,4200,4200,4000,3995,3885,3850,3900,4000,3999,4200,4400,4300,4200,4000,4000,3995,3900,3900,3800,3774.5,4000,4200,4500,4500,4400,4250,4200,4100,4000,4000,4000,4000,3900,4400,4650,4500,4500,4500,4450,4350,4300,4300,4300
"Seattle","WA","Seattle","King",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3200,2850,2735,2550,2945,2995,3297.5,3600,3600,3300,3800,3875,3275,2965
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",9,,,,,,,,,,,,,,,,,2400,2200,2250,2150,2200,2100,2125,2200,2200,2100,2095,2200,2300,2395,2250,2100,1995,2100,2295,2100,1900,2040,2100,2275,2300,2347.5,2300,2195,2347.5,2295,2200,2200,2297.5,2100,2150,2395,2395,2295,2125,2100,2097.5,2100,2100,2100,2200,2250,2495,2400,2350,2250,2395,2372.5,2347.5,2297.5,2095,2100,2250,2200,2275,2195,2500,2400,2450,2337.5,2367.5
"Colorado Springs","CO","Colorado Springs","El Paso",10,,,,,,,,1570,1595,1597.5,1650,1595,1595,1537.5,1700,1972.5,1797.5,1685,1650,1700,1650,1650,1650,1600,1650,1650,1700,1797.5,1795,1699,1650,1650,1700,1695,1600,1700,1672.5,1695,1700,1750,1800,1895,1895,1925,1797.5,1772.5,1750,1725,1800,1850,1850,1995,2000,1950,1885,1900,1900,1875,1885,1850,1910,1895,1895,1850,1950,1900,1995,1972.5,1850,1922.5,1922.5,1997.5,1995,2100,2100,2150,2225,2200,2100,2000,2095
