"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,2475,2350,2500,2595,2595,2550,2500,2500,2500,2400,2400,2400,2495,2500,2500,2500,2450,2395,2375,2395,2600,2695,2750,2650,2690,2595,2549.5,2575,2550,2550,2500,2500,2540,2540,2500,2590.5,2595,2695,2600,2450,2600,2600,2600,2600,2650,2700,2695,2650,2695,2600,2600,2675,2675,2650,2700,2700,2750,2710,2700,2700,2800,2800,2795,2699,2600,2650,2617.5,2650,2675,2695,2700,2700,2679
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2700,2700,2700,2995,3195,3250,3250,3300,3200,3250,3295,3275,3250,3300,3500,3600,3800,3695,3800,3800,3650,3500,3500,3900,4000,3997.5,3950,3892.5,3900,3724.5,3500,3900,3500,3950,3600,3695,3800,3923,4000,4100,4000,4000,4100,3999.5
"Chicago","IL","Chicago","Cook",3,,,1550,1500,1497.5,1595,1600,1500,1600,1700,1750,1712.5,1600,1575,1550,1595,1600,1600,1650,1605,1610,1585,1530,1530,1545,1535,1575,1500,1549,1600,1600,1585,1500,1500,1494,1518,1516.5,1495,1500,1500,1529.5,1500,1573,1559,1555,1550,1550,1600,1562,1535,1538,1528.5,1620.5,1603,1625,1650,1676,1690.5,1694.5,1650,1650,1605,1605,1647,1650,1600,1600,1625,1625,1600,1600,1557,1561,1554,1561.5,1568,1575,1549,1573,1559,1550,1562,1549,1550,1500,1492,1500,1500,1538,1525,1592,1552.5,1550
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1212.5,1295,1400,1450,1450,1495,1495,1495,1495,1495,1500,1500,1500,1539.5,1595,1600,1675,1650,1600,1600,1600,1600,1650,1600,1600,1650,1625,1500,1500,1500,1505,1500,1450,1495,1400,1550,1595,1575,1600,1600,1600,1649,1600,1650
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,1400,1350,1300,1350,1377.5,1300,1200,1195,1200,1200,1250,1350,1350,1300,1295,1225,1200,1100,1100,1100,1000,1000,1050,1100,1250,1300,1300,1250,1200,1195,1100,1135,1100,1150,1150,1175,1200,1400,1400,1400,1350,1300,1250,1250,1250,1295,1300,1375,1450,1500,1500,1450,1400,1400,1350,1350,1300,1300,1350,1450,1500,1462.5,1400,1300,1300,1275,1200,1282.5,1200,1250,1300,1350,1450,1465,1450,1400,1350,1300
"Phoenix","AZ","Phoenix","Maricopa",6,,1300,1250,1250,1250,1225,1200,1200,1195,1150,1162.5,1150,1095,1095,1095,1100,1100,1100,1100,1100,1075,1050,1000,1000,1000,1025,1075,1095,1099,1100,1100,1095,1075,1050,1049,1025,1050,1050,1050,1050,1051,1095,1095,1025,1100,1100,1095,1100,1100,1095,1100,1100,1175,1195,1195,1200,1195,1195,1195,1200,1200,1200,1250,1250,1250,1250,1250,1250,1225,1250,1245,1250,1275,1270,1295,1295,1295,1299.5,1290,1275,1295,1275,1275,1250,1295,1325,1350,1400,1400,1400,1400,1395,1395
"Las Vegas","NV","Las Vegas","Clark",7,,1395,1349.5,1250,1250,1185,1197.5,1200,1250,1225,1247.5,1195,1200,1200,1195,1195,1200,1200,1200,1200,1200,1195,1195,1195,1195,1150,1175,1150,1190,1190,1175,1150,1150,1150,1125,1100,1125,1125,1150,1150,1175,1175,1195,1195,1195,1185,1195,1195,1195,1195,1195,1195,1200,1200,1200,1225,1225,1200,1200,1200,1225,1250,1250,1250,1250,1250,1295,1295,1295,1285,1295,1275,1275,1295,1300,1300,1300,1300,1295,1295,1295,1280,1295,1250,1300,1350,1350,1350,1385,1395,1400,1400,1395
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,890,923,921,1050,969,1075,1082,1095,1075,1092.5,1075,1095,1100,1125,1100,1150,1175,1150,1135,1125,1100,1100,1100,1131.5,1145,1125,1150,1150,1140,1125,1100,1104.5,1125,1115,1140,1145,1100,1095,1095,1096,1095,1095,1070,1070,1099,1029,1157.5,1195,1200,1200,1236,1295,1275,1250,1250
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,2750,2900,2950,2850,2750,2700,2550,2395,2300,2300,2262.5,2300,2295,2150,2195,2300,2295,2295,2300,2255,2200,2195,2150,2100,2100,2200,2372.5,2400,2475,2550,2650,2600,2400,2512.5,2495,2400,2350,2350,2600,2750,2700,2695,2650,2650,2700,2650,2750,2849,2695,2695,2695,2650,2695,2695,2695,2650,2695,2750,2800,2900,2800,2800,2700,2700,2700,2700,2600,2600,2600,2600,2800,2900,2897.5,2950,3000,3000,2995,2985,2900
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1195,1195,1175,1195,1195,1171,1195,1200,1200,1198,1200,1250,1200,1250,1250,1199,1295,1250,1225,1225,1250,1350,1350,1350,1350,1350,1349,1300,1325,1312.5,1312.5,1400,1450,1475,1500,1500,1550,1450,1450,1450,1495,1495,1550,1600,1600,1600,1587.5,1500,1500,1495,1495,1550,1497.5,1600,1600,1695,1750,1795,1850,1795,1800,1795
