RegionName,State,Metro,CountyName,SizeRank,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Last 12 Month Avg
Dallas,TX,Dallas-Fort Worth,Dallas,10,,,,,,,,1199.5,1199,1195,1376,1234,1101,1244,1100,1275,1350,1345,1257,1330,1330,1353,1410,1495,1430,1474,1459,1460,1515,1506,1422,1572,1562,1600,1600,1600,1575,1575,1600,1530,1583,1545,1514.5,1519,1543.5,1600,1600,1589,1522,1495,1550,1550,1536,1550,1572.5,1605.5,1589,1580,1609,1679,1710,1700,1654.5,1690,1665.5,1650,1595,1700,1700,1605,1595,1712,1705,1766,1800,1775,1802,1821,1845,1795,1743.416667
Fort-Worth,TX,Dallas-Fort Worth,Tarrant,16,,,,,,,,795,789,785,789,799,838,846,838,838,838,827,855,842,850,850,855,859,855,874.5,860,873.5,870,850,838,850,872,811,929,919,895,900,990,1002,1000,975,902.5,900,924,975,995,995,1095,1095,1075,1063,1032,1082,1100,1054,1131,1081.5,1065,1090.5,1099,1156.5,1200,1200,1150,1184,1225,1220,1170,1195,1093.5,1205,1200.5,1290,1350,1365,1425,1400,1417.5,1368,1289.958333
Arlington,TX,Dallas-Fort Worth,Tarrant,49,750,786,750,730,750,775,750,750,760,740,709,719,729,734,735.5,732,739.5,750,750,756.5,769.5,760,769,769,775,785,790,812.5,795,782,799.5,800,795,775,825,809.5,817.5,845,850,850,854,874,860,874.5,882,895,893,892.5,895,900,910,919,940,899.5,909,905,919,950,975,950,950,975,995,950,990,935.5,997.5,1019,950,950,1012.5,990,1050,1052,1060,1095,1127,1115,1150,1165,1059.708333
Plano,TX,Dallas-Fort Worth,Collin,67,,1140.5,999,1070,1062.5,1087.5,1085,1000,998.5,1010,1049,1055,1047,1051.5,1075.5,1012,1049,1066,1054.5,1040,1075,1062.5,1107,1160,1142,1143,1138,1154,1170,1185,1161,1199,1205,1187,1175,1173.5,1182.5,1200,1226,1231,1303,1319,1286,1225,1201,1210,1257,1316.5,1250,1255,1280,1280,1339,1381.5,1390,1379,1390,1355,1345,1387,1400,1435,1376.5,1440,1465,1475,1500,1585,1500,1430,1436,1497,1488,1505,1500,1535,1589,1570,1566,1550,1513.833333
Irving,TX,Dallas-Fort Worth,Dallas,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.5,1220,1235.5,1294.5,1225,1253.5,1287,1308,1515,1535,1576,1459,1380,1432.5,1412.5,1360,1399,1297.5,1485,1300,1443.5,1459,1482,1615,1550,1533,1510,1509,1535,1555,1470,1496.791667
McKinney,TX,Dallas-Fort Worth,Collin,170,,,,,,,,,,,985,972,1011,1003,1018.5,1024,1060,1090,1109,1099,1099,1099,1099,1119,1099,1109,1099,1130,1133.5,1141,1200,1235,1235,1235,1250,1250,1249,1297,1300,1200,1309.5,1355.5,1275,1175,1196,1250,1330,1275,1249,1205,1268,1315.5,1309,1337,1358.5,1406,1320,1281,1231,1230,1254.5,1278,1225,1267,1321.5,1280.5,1369,1324,1300,1287,1287,1268,1286.5,1395,1430,1350,1326,1307.5,1398,1444,1339.916667
Frisco,TX,Dallas-Fort Worth,Collin,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1120,1210,1425,1389.5,1389,1295,1290,1314,1389,1527,1550,1559,1550,1549,1470,1465,1480,1500,1535,1510,1515,1542,1576,1628,1515,1631,1470.5,1550,1622,1600,1695,1695,1644,1641,1619,1650,1650,1622.291667
Carrollton,TX,Dallas-Fort Worth,Denton,187,,,,,,,,,919.5,885,885,911,929,927,945,949,998,988,953,963.5,981,963.5,994.5,1010,1010,1000,1000,1019,1023,1041.5,1005.5,1063.5,1125,1099,1118,1099,1123,1149,1188.5,1125,1167,1149.5,1111,1137,1196,1120,1184,1071,1083,1147.5,1159,1188.5,1257.5,1217,1227.5,1240,1207.5,1169.5,1150,1150,1189,1217.5,1240,1250,1430,1410,1419,1342.5,1305,1413.5,1325,1331,1319,1317,1365,1373,1421,1382,1411,1331,1357.791667
Denton,TX,Dallas-Fort Worth,Denton,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1125,1125,1125,1125,1000,925,899,903,987.5,980,925,901.5,900,973.5,1076,1035,1012,1032,1050,1219.5,1224.5,1202.5,1206.5,1093.5,1147,1165,1145,1200,1175,1200,1177,1195,1095,999,1149.833333
Lewisville,TX,Dallas-Fort Worth,Denton,225,,,,,,,,,,,899,894.5,921,930,890,917.5,920,900,910,870,879.5,900,920.5,995,930,989,999,1032,1002.5,1027,1000,1097.5,1125,1095,1040.5,1087,1072.5,1091,1112.5,1157,1130,1060,1130,1077,1037.5,1048.5,1000,1079,1069.5,1064,1071.5,1060,1149.5,1195.5,1197,1200,1180,1248.5,1272,1167,1174.5,1210,1203,1246.5,1204,1252.5,1265,1268,1290,1230,1150,1113,1180.5,1182,1213,1258,1256,1273,1237,1177,1213.291667
Richardson,TX,Dallas-Fort Worth,Dallas,236,,,,952,999,945,959,952,959,954.5,979,945,952,959,1074,960,965,1035,985,1116,1093,1105,1215,1261,1182.5,1170.5,1138,1172,1213,1249.5,1250,1275,1237.5,1286.5,1223,1200,1209,1322.5,1395,1462,1445,1469,1440.5,1469,1430,1430,1219,1254.5,1304.5,1349,1413,1354.5,1368,1457,1457,1428,1531,1514.5,1418,1409.5,1409,1457,1535,1409,1409,1478.5,1509,1459.5,1350,1464,1355,1550,1541,1601,1631,1645,1750,1790,1750,1750,1598.083333
Euless,TX,Dallas-Fort Worth,Tarrant,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,1090,1150,1150,1125,1145,952,995,1005,1132,1163.5,1083,1140,1163,1195,1243.5,1244,1200,1231,1181,1300,1272.5,1284,1299,1490,1376,1316,1318,1295,1296.875
Grapevine,TX,Dallas-Fort Worth,Tarrant,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404,1389,1435.5,1417,1417,1359,1465,1449,1379,1359,1397,1384,1349,1370,1444,1509,1495,1552,1509,1469,1469,1496.5,1542.5,1519,1579,1560,1569,1592,1644.5,1579,1626,1760,1572.5,1598,1504,1549,1514.5,1573,1580,1699,1712,1729,1739,1707.5,1623.125
Addison,TX,Dallas-Fort Worth,Dallas,460,,,,,,,,,,,,,,,,,,,,,,,,,1663,1675,1627.5,1659,1651,1494,1421.5,1541.5,1452.5,1445.5,1421.5,1459.5,1482,1497,1540.5,1540,1600,1637,1520,1475,1507,1543,1574.5,1667,1561,1627.5,1681.5,1687,1714.5,1737,1696.5,1702,1695,1509.5,1475,1544,1644,1661.5,1597,1531,1677,1582,1519,1501,1584,1645.5,1600,1624,1704,1675,1665.5,1703,1686,1617,1615,1618.5,1644.791667
All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.979167
