RegionName,State,Metro,CountyName,SizeRank,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Last 12 Month Avg
Dallas,TX,Dallas-Fort Worth,Dallas,10,1285,1395,1250,1295,1395,1395,1357,1255,1250,1275,1200,1250,1350,1250,1210,1300,1200,1200,1275,1250,1195,1200,1195,1224,1277,1457.5,1323,1350.5,1398.5,1426.5,1342,1351,1295,1400,1645,1700,1851,1595,1477.5,1522,1640,1600,1490,1449,1450,1430,1350,1400,1356,1489,1425,1525,1595,1525,1500,1645,1650,1500,1450,1495,1500,1500,1600,1750,1750,1700,1550,1510,1650,1695,1695,1545.5,1550,1650,1750,1817.5,1945.5,2000,2100,1995,1945,1913,1825.541667
Fort-Worth,TX,Dallas-Fort Worth,Tarrant,16,,,1195,1195,1195.5,1200,1200,1195,1195,1150,1150,1125,1150,1172,1195,1195,1195,1195,1195,1195,1195,1195,1195,1200,1195,1180,1195,1200,1205,1225,1250,1250,1250,1250,1225,1200,1250,1249.5,1232.5,1250,1250,1295,1300,1300,1295,1295,1295,1295,1300,1300,1325,1345,1350,1350,1350,1375,1350,1350,1350,1350,1350,1350,1350,1375,1395,1395,1395,1399.5,1395,1395,1395,1395,1395,1400,1425,1450,1470,1495,1500,1500,1495,1497.5,1451.458333
Arlington,TX,Dallas-Fort Worth,Tarrant,49,,1200,1195,1195,1200,1200,1200,1185,1100,1095,1100,1075,1080.5,1095,1095,1050,1045,1089,1100,1095,1100,1119,1100,1125,1125,1125,1150,1150,1150,1150,1200,1200,1200,1200,1200,1195,1199.5,1200,1195,1195,1200,1250,1275,1250,1250,1250,1250,1250,1275,1295,1295,1300,1325,1299.5,1300,1350,1350,1350,1345,1325,1350,1350,1350,1350,1350,1350,1375,1395,1375,1375,1400,1370,1375,1400,1407.5,1431,1455,1495,1500,1500,1475,1495,1441.958333
Plano,TX,Dallas-Fort Worth,Collin,69,,,1495,1459,1485,1512.5,1495,1495,1473,1475,1395,1350,1350,1350,1395,1395,1389,1370,1389,1395,1400,1400,1400,1390,1442.5,1471.5,1460,1460.5,1455,1500,1574.5,1575,1575,1600,1595,1595,1600,1600,1600,1595,1600,1683,1700,1700,1695,1632.5,1640,1695,1695,1675,1695,1650,1700,1747.5,1750,1800,1750,1747.5,1750,1750,1750,1788,1750,1750,1750,1795,1850,1787,1800,1750,1742,1750,1750,1750,1800,1795,1800,1850,1850,1877.5,1850,1810.5,1802.083333
Garland,TX,Dallas-Fort Worth,Dallas,90,,,1050,1100,1100,1095,1125,1100,1095,1050,1092.5,1050,1050,1050,1060,1100,1095,1100,1147.5,1100,1100,1100,1100,1095,1100,1100,1150,1150,1100,1150,1167,1172,1200,1210,1197.5,1200,1200,1195,1167,1195,1195,1250,1200,1242.5,1272,1250,1250,1250,1250,1275,1295,1300,1295,1295,1300,1300,1300,1300,1300,1295,1295,1292.5,1340.5,1350,1350,1397.5,1325,1395,1350,1397.5,1425,1395,1395,1450,1450,1470,1475,1495,1492.5,1500,1495,1495,1461.458333
Irving,TX,Dallas-Fort Worth,Dallas,100,,1597.5,1500,1337.5,1300,1499,1495,1469.5,1387.5,1422,1395,1294,1264,1294,1297,1300,1350,1400,1350,1423.5,1450,1437,1300,1385,1385,1450,1439.5,1437.5,1425,1445,1450,1445,1455,1625,1572.5,1498.5,1450,1525,1550,1550,1625,1800,1812.5,1800,1750,1600,1497.5,1600,1650,1646,1747,1875,1750,1900,2052.5,1937.5,1855,1800,1750,1800,1825,1800,1900,1950,1900,1899,1800,1799,1752.5,1697.5,1800,1797.5,1750,1750,1893,1850,2000,2050,2050,2065,1995,2042.5,1920.25
Grand Prairie,TX,Dallas-Fort Worth,Dallas,138,,,1175,1300,1297.5,1297.5,1172.5,1137.5,1250,1200,1084.5,1165,1200,1200,1170,1170,1130,1249,1200,1195,1200,1200,1200,1145,1150,1215.5,1217.5,1215,1200,1250,1250,1270,1275,1250,1250,1225,1222,1225,1285,1288,1281,1350,1337.5,1278,1287,1295,1295,1300,1350,1350,1385,1395,1395,1375,1395,1395,1395,1350,1385,1359,1395,1400,1395,1450,1387.5,1395,1450,1400,1495,1495,1450,1497.5,1450,1495,1495,1495,1500,1503,1575,1565,1525,1535,1507.125
Mesquite,TX,Dallas-Fort Worth,Dallas,175,,,997.5,1085,1050,1000,1050,1050,1075,1095,1068,1050,1025,1050,1095,1100,1075,1071.5,1100,1100,1095,1075,1059,1050,1095,1100,1105,1150,1144,1139,1150,1150,1139,1112.5,1100,1095,1150,1125,1125,1100,1100,1150,1150,1185,1195,1185,1195,1195,1195,1195,1175,1175,1200,1200,1197,1195,1200,1200,1195,1150,1187.5,1212.5,1200,1250,1250,1250,1200,1250,1287.5,1250,1250,1295,1200,1345,1325,1340,1350,1350,1395,1395,1390,1395,1335.833333
McKinney,TX,Dallas-Fort Worth,Collin,177,,,1300,1350,1380,1395,1400,1395,1395,1400,1395,1395,1400,1395,1375,1400,1395,1450,1450,1422.5,1450,1450,1400,1400,1400,1400,1400,1450,1450,1481,1500,1495,1500,1550,1550,1499.5,1500,1500,1500,1500,1550,1549,1550,1595,1550,1500,1550,1550,1550,1579,1600,1600,1600,1600,1650,1645,1650,1650,1650,1650,1650,1650,1650,1650,1650,1682.5,1650,1695,1700,1625,1650,1695,1650,1695,1695,1740,1749,1750,1750,1750,1750,1700,1714.5
Frisco,TX,Dallas-Fort Worth,Collin,191,,,1450,1400,1475,1595,1550,1550,1600,1550,1550,1500,1495,1515,1529,1529,1529,1600,1607.5,1595,1550,1595,1622,1595,1595,1560,1557,1575,1575,1649.5,1600,1635,1650,1630,1612.5,1637.5,1650,1635,1600,1600,1606,1650,1700,1745,1700,1650,1700,1700,1700,1750,1700,1750,1750,1775,1800,1795,1795,1750,1750,1750,1795,1795,1785,1795,1795,1805,1795,1850,1800,1812.5,1792,1800,1800,1799.5,1850,1850,1854,1899,1932,1897,1859.5,1895,1852.333333
