RegionName,State,Metro,CountyName,SizeRank,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Last 12 Month Avg
Dallas,TX,Dallas-Fort Worth,Dallas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.5,1650,1612.5,1900,1700,1900,2025,2200,2447.5,2300,2350,2300,2001.625
Fort-Worth,TX,Dallas-Fort Worth,Tarrant,14,1262.5,1350,1350,1395,1350,1337.5,1400,1395,1395,1395,1450,1450,1395,1395,1450,1400,1395,1400,1412.5,1400,1395,1395,1395,1350,1350,1350,1372.5,1395,1432.5,1485,1425,1450,1500,1495,1400,1450,1400,1400,1450,1437.5,1475,1495,1495,1495,1495,1497,1495,1499,1500,1550,1575,1550,1550,1500,1550,1595,1595,1595,1564.5,1550,1595,1580,1637.5,1625,1645,1595,1595,1639,1650,1600,1650,1599.5,1672.5,1650,1700,1700,1730,1745,1750,1775,1795,1697.25
Arlington,TX,Dallas-Fort Worth,Tarrant,33,,,,,,,,,,,,,1497.5,1400,1400,1400,1395,1495,1497.5,1495,1495,1495,1400,1497.5,1450,1500,1450,1425,1425,1425,1495,1549.5,1525,1495,1435,1450,1412.5,1412.5,1425,1450,1562.5,1495,1450,1485,1495,1495,1495,1495,1500,1550,1562.5,1550,1595,1675,1595,1595,1595,1650,1550,1600,1650,1650,1610,1595,1650,1650,1650,1607.5,1575,1595,1635,1549.5,1640,1679,1695,1700,1740,1750,1795,1750,1700,1685.708333
Plano,TX,Dallas-Fort Worth,Collin,41,,1825,1795,1800,1850,1895,1850,1900,1850,1850,1850,1900,1900,1800,1872.5,1800,1882.5,1875,1800,1875,1900,1875,1850,1800,1800,1825,1795,1797.5,1897.5,1950,1925,1900,1875,1900,1950,1950,1975,1950,1950,1950,1995,2000,2100,2100,2100,1999,2000,1995,1995,1995,2095,2095,2050,2100,2150,2200,2150,2145,2100,2100,2150,2150,2100,2100,2100,2195,2195,2250,2150,2075,2100,2200,2195,2150,2150,2195,2200,2250,2200,2195,2200,2175.833333
Garland,TX,Dallas-Fort Worth,Dallas,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1621.5,1495,1495,1700,1550,1595,1595,1595,1650,1672.5,1725,1750,1750,1697.5,1750,1669.166667
McKinney,TX,Dallas-Fort Worth,Collin,80,,1595,1595,1650,1595,1595,1600,1630,1650,1600,1600,1625,1650,1695,1600,1700,1700,1695,1700,1750,1650,1650,1700,1700,1795,1700,1697.5,1697.5,1710,1695,1750,1750,1775,1700,1697.5,1695,1695,1700,1725,1750,1795,1795,1795,1795,1780,1790,1795,1795,1800,1800,1825,1800,1850,1895,1895,1850,1850,1845,1850,1895,1850,1800,1825,1895,1899,1900,1940,1895,1950,1937.5,1900,1852,1895,1900,1995,1995,1975,1907.5,1895,1950,1900,1925.166667
Frisco,TX,Dallas-Fort Worth,Collin,86,,2100,2000,2000,2000,1995,1900,1950,1895,2050,1800,1997.5,1995,1995,2197.5,1950,1995,1950,1825,1850,1872.5,1812.5,1997.5,1950,1895,1850,1850,1975,1995,1900,2000,2095,2000,2150,2150,2150,2125,2000,2072.5,2075,2225,2195,2125,2200,2134.5,2150,2119,2100,2100,2100,2150,2250,2200,2250,2295,2250,2200,2100,2200,2250,2250,2300,2300,2300,2300,2200,2350,2300,2295,2400,2475,2150,2250,2150,2200,2250,2320,2350,2350,2350,2350,2299.583333
Allen,TX,Dallas-Fort Worth,Collin,102,,,,,,,,,,,,,,,1772.5,1712.5,1785,1850,1870,1795,1750,1800,1797.5,1850,1775,1800,1800,1895,1825,1892.5,1949.5,1990,1850,1900,1947.5,1972.5,1950,1945,1900,1895,1995,1995,1900,1885,1895,1899.5,1950,1950,1995,1922.5,1995,1995,2195,2125,1997,2000,1995,1995,1995,1950,2000,2025,1950,2100,1997,2195,2162.5,2199,1995,2000,2125,2000,2095,2095,2085,2197.5,2195,2200,2197.5,2100,2100,2115.833333
Little Elm,TX,Dallas-Fort Worth,Denton,130,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1650,1600,1600,1650,1597.5,1625,1600,1595,1597.5,1600,1595,1600,1650,1697.5,1650,1650,1695,1672.5,1697.5,1725,1762.5,1700,1737.5,1695,1750,1750,1797.5,1850,1850,1797.5,1767.5,1800,1850,1812.5,1850,1850,1987.5,1795,1750,1897.5,1850,1925,1850,1795,1795,1850,1817,1950,1995,1900,1950,1900,1900,1885.583333
All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.527778
