airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,homeaway_property_id,longitude,m_homeaway_property_id,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
40226829,9.8,213,2,It''s Official!,2,6,https://a0.muscache.com/im/pictures/97835662-fb4c-457c-ae1a-0122d2724453.jpg?aki_policy=x_large,8,,-97.06246,,33.14547,62.8157,Apartment,Entire home/apt,https://www.airbnb.com/rooms/40226829,1,Denton
16430877,9.8,84,1,Room in Denton 25 min to DFW airpot,1,3,https://a0.muscache.com/im/pictures/9144d356-493b-441a-a041-438549a0bf44.jpg?aki_policy=x_large,66,,-97.07661,,33.1751,54.1975,House,Private room,https://www.airbnb.com/rooms/16430877,1,Denton
34866409,9.9,286,1,Cozy and Dreamy Private Bedroom (Close to UNT/TWU),1,2,https://a0.muscache.com/im/pictures/183d802a-83ae-4923-9775-af7ae98fad02.jpg?aki_policy=x_large,29,,-97.15053,,33.22215,36.371,House,Private room,https://www.airbnb.com/rooms/34866409,1,Denton
21578344,9.8,272,1,"Cozy Private Room Near UNT, TWU & Denton Square",1,2,https://a0.muscache.com/im/pictures/ea9de745-7c73-4db7-8f94-d46a7d7ecb71.jpg?aki_policy=x_large,71,,-97.11455,,33.21901,32.8669,House,Private room,https://www.airbnb.com/rooms/21578344,1,Denton
41931905,10,124,1,Cozy and Stylish Modern Room close to UNT/TWU/DFW,1,2,https://a0.muscache.com/im/pictures/15dc804f-7436-4821-8e01-e323e170f537.jpg?aki_policy=x_large,8,,-97.12626,,33.14984,35.48,House,Private room,https://www.airbnb.com/rooms/41931905,1,Denton
18674304,9.8,304,1,Randy''s Retreat! With pool and hot tub!!,1,4,https://a0.muscache.com/im/pictures/f5965b37-e981-4dc9-ae06-c97d0d0d031c.jpg?aki_policy=x_large,172,,-97.08872,,33.23428,96.0128,Guesthouse,Entire home/apt,https://www.airbnb.com/rooms/18674304,1,Denton
19567555,10,236,1,Selah guesthouse next to TWU,1,3,https://a0.muscache.com/im/pictures/0e10309e-3916-4b5e-ad09-415158314753.jpg?aki_policy=x_large,166,,-97.12497,,33.22509,98.623,Guesthouse,Entire home/apt,https://www.airbnb.com/rooms/19567555,1,Denton
43353714,2,30,1,fully equipped,1,2,https://a0.muscache.com/im/pictures/3283cb3e-4120-4256-ad5d-3e2a6e23db56.jpg?aki_policy=x_large,1,,-97.13359,,33.21583,300,Cabin,Private room,https://www.airbnb.com/rooms/43353714,1,Denton
15609235,9.9,175,2,The Quiet Getaway 4Bd/2Ba Near I-35/UNT/TWU KingBd,4,10,https://a0.muscache.com/im/pictures/f2a38593-364a-45fd-bde9-1b381f8d6802.jpg?aki_policy=x_large,83,,-97.145,1149557vb,33.199,306.893,House,Entire home/apt,https://www.airbnb.com/rooms/15609235,1,Denton
1003686948,10,269,2,Charming Downtown Denton 4 bed/2 bath home that sleeps 10,4,10,https://odis.homeaway.com/odis/listing/a01675b8-9158-4605-ae39-7663840b9871.c10.jpg,6,1735850vb,-97.13456379,,33.22091326,151.479,House,Entire home/apt,https://www.airbnb.com/rooms/1003686948,1,Denton
