airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,homeaway_property_id,longitude,m_homeaway_property_id,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
14215084,8.6,289,3,Newly Remodeled Fun Lake house w/pool,4,8,https://a0.muscache.com/im/pictures/add350de-0fe8-4674-a50c-04ebb629ba1a.jpg?aki_policy=x_large,78,,-97.48944,,32.63158,378.37,House,Entire home/apt,https://www.airbnb.com/rooms/14215084,1,Fort-Worth
40679928,,62,2,Fort Worth''s Little Paradise,2,4,https://a0.muscache.com/im/pictures/488bf902-10c0-4d95-9785-577f690108fd.jpg?aki_policy=x_large,0,,-97.39811,,32.61422,75,House,Private room,https://www.airbnb.com/rooms/40679928,1,Fort-Worth
37424004,9.3,107,1,Oh Hellooo! I''m the Fairmount Treat.,2,4,https://a0.muscache.com/im/pictures/31d52904-c6de-48e5-95b3-cbb38e45f2c1.jpg?aki_policy=x_large,6,,-97.33808,1165581vb,32.72111,148.327,House,Entire home/apt,https://www.airbnb.com/rooms/37424004,1,Fort-Worth
1003599110,0,237,1,Luxury modern studio with fast wifi,0,2,https://odis.homeaway.com/odis/listing/d10872db-49e5-4a65-9102-2406cd239ab7.c10.jpg,0,7935341,-97.329693,,32.738188,113.521,Apartment,Entire home/apt,https://www.airbnb.com/rooms/1003599110,0,Fort-Worth
21882544,10,159,1,Fairmount suite,1,3,https://a0.muscache.com/im/pictures/0100ab37-0cce-458d-82d1-2dc43836993d.jpg?aki_policy=x_large,5,,-97.33901,,32.72446,89.8271,Bed and breakfast,Private room,https://www.airbnb.com/rooms/21882544,1,Fort-Worth
39057314,10,250,2,Deluxe Apartment with Patio and Barbecue Area,1,4,https://a0.muscache.com/im/pictures/2dd539c2-480a-4630-a02b-fa6b9b11e95a.jpg?aki_policy=x_large,38,,-97.35424,998248vb,32.72575,167.342,Apartment,Entire home/apt,https://www.airbnb.com/rooms/39057314,1,Fort-Worth
35913704,9.8,364,2.5,"The Symphony Home....Near Stockyards, Speedway",5,16,https://a0.muscache.com/im/pictures/42282477-1790-45e7-a1bc-bc022065f0b9.jpg?aki_policy=x_large,33,,-97.30631,7950366,32.86783,269.395,House,Entire home/apt,https://www.airbnb.com/rooms/35913704,1,Fort-Worth
5218354,9.7,177,1,The Magnolia Guesthouse,1,2,https://a0.muscache.com/im/pictures/e35e21e3-983e-47dc-99ee-872067cb4c8a.jpg?aki_policy=x_large,191,,-97.336,,32.727,63.9113,Apartment,Entire home/apt,https://www.airbnb.com/rooms/5218354,1,Fort-Worth
37213469,9.8,206,1,Bentley Village off East Chase,1,2,https://a0.muscache.com/im/pictures/881b168d-ba50-4251-8294-fbb7f78e2338.jpg?aki_policy=x_large,19,,-97.16102,,32.76674,38.2421,House,Private room,https://www.airbnb.com/rooms/37213469,1,Fort-Worth
23055870,9.6,269,1,The Mini May St. Manor,0,2,https://a0.muscache.com/im/pictures/417be7e4-5f30-427a-899d-6bf9702389d9.jpg?aki_policy=x_large,163,,-97.32976,,32.73698,71.2315,Apartment,Entire home/apt,https://www.airbnb.com/rooms/23055870,1,Fort-Worth
