airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,homeaway_property_id,longitude,m_homeaway_property_id,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
4977552,9.9,225,1,Great Lakefront Home Frisco Location,2,7,https://a0.muscache.com/im/pictures/5b51e9a9-d0df-46c2-b88e-d5d7f01e33ed.jpg?aki_policy=x_large,77,,-96.92911,311801vb,33.15573,265.476,House,Entire home/apt,https://www.airbnb.com/rooms/4977552,1,Frisco
43023507,10,82,1,Private room in Frisco -3,1,2,https://a0.muscache.com/im/pictures/86c6054e-c437-4889-89f1-c0c8218e72d5.jpg?aki_policy=x_large,8,,-96.87208,,33.19274,29.025,House,Private room,https://www.airbnb.com/rooms/43023507,1,Frisco
24784984,9.7,320,2,*Summer Special* Cozy Frisco home on Main st.,3,7,https://a0.muscache.com/im/pictures/8d9879f2-97ae-4abb-8b92-b33762761beb.jpg?aki_policy=x_large,94,,-96.8524,7129091,33.15495,178.533,House,Entire home/apt,https://www.airbnb.com/rooms/24784984,1,Frisco
41135930,10,91,1,Great space near the Star,1,2,https://a0.muscache.com/im/pictures/802a47a4-72bb-462a-96ff-afcc0f7635d7.jpg?aki_policy=x_large,1,,-96.82775,,33.11827,60,Apartment,Private room,https://www.airbnb.com/rooms/41135930,0,Frisco
25164349,9,6,2.5,Frisco House with comfort,3,7,https://a0.muscache.com/im/pictures/b55c2adb-9fbc-497b-af7f-bcf363ec772b.jpg?aki_policy=x_large,59,,-96.85623,,33.11902,115,House,Entire home/apt,https://www.airbnb.com/rooms/25164349,1,Frisco
15122780,9.5,196,2,Cozy 3BR in quiet community in central Frisco,3,8,https://a0.muscache.com/im/pictures/c106d987-9437-4385-a137-988aa3f29af0.jpg?aki_policy=x_large,50,,-96.80483,920223vb,33.15923,187.582,House,Entire home/apt,https://www.airbnb.com/rooms/15122780,1,Frisco
38327154,9,257,1,The Star - Luxury One bedroom in Frisco,1,2,https://a0.muscache.com/im/pictures/d2054b3b-f8bf-4b08-bee1-1429fd44529e.jpg?aki_policy=x_large,2,,-96.8277,9102087,33.11136,130.303,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38327154,1,Frisco
15310561,10,184,1,Comfy & Cozy Hippie Hangout in Frisco,2,4,https://a0.muscache.com/im/pictures/ee312669-cfe2-4b29-b9fa-59b07d23354e.jpg?aki_policy=x_large,47,,-96.81373,,33.16731,67.8718,House,Private room,https://www.airbnb.com/rooms/15310561,1,Frisco
14014270,9.3,175,1.5,Higher end spacious living,1,2,https://a0.muscache.com/im/pictures/99ffc6e6-bc89-4da8-8d19-8f6cbd3bab26.jpg?aki_policy=x_large,10,,-96.80945,,33.12785,85.3571,House,Private room,https://www.airbnb.com/rooms/14014270,1,Frisco
17626898,9.2,112,1,wondeful place to live in peace,1,2,https://a0.muscache.com/im/pictures/79a0501b-d327-4e6b-bdc6-d64cc5ddd19b.jpg?aki_policy=x_large,67,,-96.79859,,33.18439,35.0189,House,Private room,https://www.airbnb.com/rooms/17626898,1,Frisco
26839155,9.6,222,2,Spacious & Cozy Frisco newly furnished|Bling Home,4,15,https://a0.muscache.com/im/pictures/f4a410eb-2490-4d60-8106-21e6746d39ba.jpg?aki_policy=x_large,24,,-96.77391,1787195vb,33.15043,228.441,House,Entire home/apt,https://www.airbnb.com/rooms/26839155,1,Frisco
36640058,10,14,1.5,Cozy Home Away From Home - close to DNT 121 and 75,1,1,https://a0.muscache.com/im/pictures/6c9caaa9-9926-43e1-abf6-5c8441b9bd4b.jpg?aki_policy=x_large,1,,-96.78068,,33.14938,25.8571,House,Private room,https://www.airbnb.com/rooms/36640058,1,Frisco
41012549,10,61,1,"Luxurious, Spacious, Cozy with Great Amenities!",1,1,https://a0.muscache.com/im/pictures/0aa95ea4-aece-41da-b4c5-54b035489e5c.jpg?aki_policy=x_large,5,,-96.84373,,33.08698,66.25,Apartment,Entire home/apt,https://www.airbnb.com/rooms/41012549,1,Frisco
1001852530,10,78,2,Furnished 3BR/2BA Home in West Frisco near Legacy/Lebanon,3,6,https://odis.homeaway.com/odis/listing/ab541e07-d530-4a9a-810b-b1f58ec091e9.c10.jpg,1,1194471vb,-96.8534447,,33.1154181,179.108,House,Entire home/apt,https://www.airbnb.com/rooms/1001852530,0,Frisco
29076752,9.8,174,1,King Bed Room w/ Bath & Balcony Close to Ford CTR,1,2,https://a0.muscache.com/im/pictures/e085425b-eb29-47bc-8df2-0ed0acc0bd9a.jpg?aki_policy=x_large,25,,-96.8159,,33.10338,55.0556,House,Private room,https://www.airbnb.com/rooms/29076752,1,Frisco
20678809,9.9,178,1,Sophia''s City Beach House - Located in Frisco! #B,1,1,https://a0.muscache.com/im/pictures/6baff4d2-d863-41d3-8358-2bc109ec3f5a.jpg?aki_policy=x_large,27,,-96.7745,,33.12189,44.5989,House,Private room,https://www.airbnb.com/rooms/20678809,0,Frisco
1003862352,10,122,2,Modern Farmhouse | Custom Renovated | 3BR 2BA,3,8,https://odis.homeaway.com/odis/listing/21a82995-8970-4a51-bb88-5782b1ab9af1.c10.jpg,4,1793437vb,-96.79376669,,33.13239249,179.094,House,Entire home/apt,https://www.airbnb.com/rooms/1003862352,0,Frisco
1004042228,0,30,2,Furnished 3BR/2BA Home in Frisco,3,6,https://odis.homeaway.com/odis/listing/f53f84f6-266f-448b-9ace-3489b2d00ff9.c10.jpg,0,1850397vb,-96.78747323,,33.12374996,175,House,Entire home/apt,https://www.airbnb.com/rooms/1004042228,0,Frisco
27904852,10,185,2,Luxury Cottage in the Frisco ★Historic District★,3,6,https://a0.muscache.com/im/pictures/560f4932-d735-4856-aa8d-7f3e90fd865f.jpg?aki_policy=x_large,18,,-96.82032,,33.14866,182.692,House,Entire home/apt,https://www.airbnb.com/rooms/27904852,1,Frisco
