airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,homeaway_property_id,longitude,m_homeaway_property_id,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
39626608,9.7,243,1,Home Away from Home! Entire Apartment.,2,4,https://a0.muscache.com/im/pictures/pro_photo_tool/Hosting-39626608-unapproved/original/f5a0367f-e3dc-4386-88c3-fb0f621c01a2.JPEG?aki_policy=x_large,35,,-97.05142,,32.73053,90.4348,House,Entire home/apt,https://www.airbnb.com/rooms/39626608,1,Grand Prairie
42600939,10,113,1,Private King Bed and Bath,1,2,https://a0.muscache.com/im/pictures/0f44cc1c-81be-41ca-8c58-a44d4bfc20e0.jpg?aki_policy=x_large,1,,-97.01471,,32.75432,53.8538,House,Private room,https://www.airbnb.com/rooms/42600939,1,Grand Prairie
19786196,9.9,294,1,Serene Vibes at the Bullseye Guesthouse,1,4,"https://a0.muscache.com/4ea/air/v2/pictures/monet/Select-19786196/original/6095786d-aa22-4cef-a30a-2bbbe19268b4?t=r:w2500-h1500-sfit,e:fjpg-c90",196,,-97.03279,,32.77739,77.846,Guest suite,Entire home/apt,https://www.airbnb.com/rooms/19786196,1,Grand Prairie
5838570,10,91,1.5,1- Cozy room near by Joe Pool Lake,1,1,https://a0.muscache.com/im/pictures/128a5d8f-0f24-4d6b-8af5-50c33e0d7987.jpg?aki_policy=x_large,1,,-97.03933,,32.59109,50.3571,House,Private room,https://www.airbnb.com/rooms/5838570,1,Grand Prairie
33664483,,52,1,Single family home in Grand Prairie central to DFW,1,2,https://a0.muscache.com/im/pictures/f5b2831a-d8fe-4999-98b2-3e79cf4493ea.jpg?aki_policy=x_large,0,,-97.05335,,32.66185,80,House,Private room,https://www.airbnb.com/rooms/33664483,1,Grand Prairie
43126217,10,27,2.5,"""NEW"" House near Lake/Parks, Stadiums and DFW!",4,10,https://a0.muscache.com/im/pictures/7b6ee8ae-7e98-49b2-a03d-19959ee0f762.jpg?aki_policy=x_large,1,,-96.98323,,32.71135,334,House,Entire home/apt,https://www.airbnb.com/rooms/43126217,1,Grand Prairie
37401456,9.6,267,3.5,Huge 4 Bedroom Home Minutes From Cowboys Stadium,4,8,https://a0.muscache.com/im/pictures/f3290590-a6db-46c6-9b4d-ff8fc32a5f8f.jpg?aki_policy=x_large,5,,-97.05681,,32.64497,471.429,House,Entire home/apt,https://www.airbnb.com/rooms/37401456,1,Grand Prairie
40324346,10,185,1,Quite private rooms in nice area,1,2,https://a0.muscache.com/im/pictures/aa294fc7-5bd9-4b98-ab90-d699164c59d3.jpg?aki_policy=x_large,1,,-97.00929,,32.6533,34.2299,House,Private room,https://www.airbnb.com/rooms/40324346,1,Grand Prairie
42456458,10,119,2,Beautiful 3 Bedroom Townhome w Free Parking&Coffee,3,10,https://a0.muscache.com/im/pictures/6c2fe868-d13e-420f-b243-7ebc0989be93.jpg?aki_policy=x_large,4,,-97.02625,,32.68286,163.611,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/42456458,1,Grand Prairie
1002720988,8,359,1.5,2BR/1 Queen & 2 Twins,2,4,https://odis.homeaway.com/odis/listing/fc325797-f125-4ac4-aa00-ace70a9eb9b7.c10.jpg,4,7220542,-97.04149124,,32.7816828,88.1029,House,Entire home/apt,https://www.airbnb.com/rooms/1002720988,1,Grand Prairie
43390954,,25,2,"2 BR APT w/ pool, gym, free parking, free WiFi",2,4,https://a0.muscache.com/im/pictures/880d7281-476d-47a6-9ef1-4faa7d41b406.jpg?aki_policy=x_large,0,,-97.05854,,32.67241,70,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43390954,1,Grand Prairie
35379401,9.8,216,2.5,Comfortable stay for any size group or family,5,15,https://a0.muscache.com/im/pictures/cdf7a4eb-c46a-496f-95db-b073f484756a.jpg?aki_policy=x_large,19,,-97.03448,,32.69027,176.147,House,Entire home/apt,https://www.airbnb.com/rooms/35379401,1,Grand Prairie
8654399,9.8,200,2,Resort-Like Area Upscale Cozy & Gorgeous 3/2 Home,3,8,https://a0.muscache.com/im/pictures/109858796/6bb54bf9_original.jpg?aki_policy=x_large,106,,-97.05328,,32.59905,162.447,House,Entire home/apt,https://www.airbnb.com/rooms/8654399,1,Grand Prairie
1003134411,10,245,1,Spacious Private Pad,1,3,https://odis.homeaway.com/odis/listing/d90d3fcf-a9c3-41e3-9e4e-4c56e12c885a.c10.jpg,5,7651924,-97.03606684,,32.77505722,67.7928,Bungalow,Entire home/apt,https://www.airbnb.com/rooms/1003134411,0,Grand Prairie
42775841,,31,1,"Great hospitality, quiet, close to sporting arenas",1,2,https://a0.muscache.com/im/pictures/4d3ced2d-5d1d-48ce-a46e-fa5211bbdd3d.jpg?aki_policy=x_large,0,,-97.01577,,32.74528,18.1739,House,Private room,https://www.airbnb.com/rooms/42775841,1,Grand Prairie
42316775,9.6,112,1.5,Silver- Dallas /Arlington /Irving/DFW area,1,2,https://a0.muscache.com/im/pictures/d2f454d8-5bff-4287-b7ca-a050bca47327.jpg?aki_policy=x_large,5,,-97.05337,,32.6406,27.8421,House,Private room,https://www.airbnb.com/rooms/42316775,0,Grand Prairie
17079624,9.1,194,2,Aloha home by Joe Pool Lake. Entire home rental,3,6,https://a0.muscache.com/im/pictures/a20c464b-7468-4b0a-b803-7676a669fba1.jpg?aki_policy=x_large,9,,-97.06029,,32.63901,176.494,House,Private room,https://www.airbnb.com/rooms/17079624,1,Grand Prairie
42313802,10,60,1,Dallas/Arlington/ GP Private room /Private BR,1,2,https://a0.muscache.com/im/pictures/77b647fc-e689-4e16-8a81-c58bb04e6975.jpg?aki_policy=x_large,3,,-97.05279,,32.63985,32.2,House,Private room,https://www.airbnb.com/rooms/42313802,1,Grand Prairie
34287106,9.1,246,1,Pink room Arlington/Dallas/Grand Prairie,1,2,https://a0.muscache.com/im/pictures/e8fedf91-fdf7-4c30-99a6-69dd7b1c25ec.jpg?aki_policy=x_large,16,,-97.01459,,32.6787,28.8581,House,Private room,https://www.airbnb.com/rooms/34287106,1,Grand Prairie
30684343,9.7,35,2.5,6mi from Cowboys Stadium/pool table/surround sound,3,8,https://a0.muscache.com/im/pictures/ff34ea2a-afd0-42f9-be11-1930f3810e4f.jpg?aki_policy=x_large,7,,-97.05535,,32.65792,213.793,House,Entire home/apt,https://www.airbnb.com/rooms/30684343,1,Grand Prairie
33686644,9.5,351,1,"1 Private room in quiet neighborhood, comfortable",1,2,https://a0.muscache.com/im/pictures/ce85e334-4d25-42d4-900a-bc850e8ad3ed.jpg?aki_policy=x_large,26,,-97.03486,,32.65551,61.5434,House,Private room,https://www.airbnb.com/rooms/33686644,1,Grand Prairie
