airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,homeaway_property_id,longitude,m_homeaway_property_id,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
31983582,,87,2,Cozy living in Allen!,2,4,https://a0.muscache.com/im/pictures/dab7c67b-ed28-4271-ac1c-32ba206a3d28.jpg?aki_policy=x_large,0,,-96.67779,,33.07291,377.679,Apartment,Entire home/apt,https://www.airbnb.com/rooms/31983582,1,Plano
43597038,10,13,2,Private bedroom with shared bath,1,3,https://a0.muscache.com/im/pictures/317330fc-64e0-4332-a666-e190ccdd36ab.jpg?aki_policy=x_large,1,,-96.70974,,33.0444,39.3333,House,Private room,https://www.airbnb.com/rooms/43597038,1,Plano
1004276746,0,56,1,Deluxe Full Accessible,0,2,https://odis.homeaway.com/odis/listing/0b286014-6f96-4d8e-ac30-1df6d2a77450.c10.jpg,0,1971037vb,-96.829081,,33.041137,91.6304,Hotel,Entire home/apt,https://www.airbnb.com/rooms/1004276746,0,Plano
42143692,10,75,2,"King Bed! Plano, Exec Home SANITIZED. 20%OFF!",4,10,https://a0.muscache.com/im/pictures/1652694a-9431-4076-8a20-b01329aa8efe.jpg?aki_policy=x_large,4,,-96.73,,33.038,109.415,House,Entire home/apt,https://www.airbnb.com/rooms/42143692,1,Plano
11463056,10,150,1,Elegance in Plano!,1,2,https://a0.muscache.com/im/pictures/4f09dae6-5724-430f-829b-a084d47c8227.jpg?aki_policy=x_large,1,,-96.75866,,33.05625,200,House,Private room,https://www.airbnb.com/rooms/11463056,1,Plano
41950772,10,98,3.5,Business/Family FriendlyTownhome @ Shops at Legacy,3,8,https://a0.muscache.com/im/pictures/be5c6336-ce6a-4b6e-a146-cba6ca3157d4.jpg?aki_policy=x_large,17,,-96.82002,,33.07887,187.616,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/41950772,1,Plano
36180571,9.4,234,1.5,1 Bed 1 Bath In the heart of West Plano,1,2,https://a0.muscache.com/im/pictures/528ef844-0f04-4a6b-a2d9-5e9725dec08c.jpg?aki_policy=x_large,8,,-96.79242,,33.05943,49,House,Private room,https://www.airbnb.com/rooms/36180571,1,Plano
24944232,,163,15,5 Townhouses walkable to Legacy Shops,19,16,https://a0.muscache.com/im/pictures/291c6c3a-1ed8-415b-9df9-212ffa58e9e1.jpg?aki_policy=x_large,0,,-96.82128,,33.07891,1365.05,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/24944232,1,Plano
42813772,10,71,1,Historic Downtown Plano,1,3,https://a0.muscache.com/im/pictures/399d0bb8-bb06-4349-829b-d3eaa59b9789.jpg?aki_policy=x_large,2,,-96.7008,,33.01898,83.2969,Apartment,Entire home/apt,https://www.airbnb.com/rooms/42813772,1,Plano
25783001,9.9,233,2,East Plano Home with Dream Patio/Backyard,3,7,https://a0.muscache.com/im/pictures/126c1332-7010-4308-bcb2-6d7e3cf5ec79.jpg?aki_policy=x_large,44,,-96.67372,,33.03905,138.005,House,Entire home/apt,https://www.airbnb.com/rooms/25783001,1,Plano
25970465,9.9,219,1,"Front room, Plano 4 min to Hwy75 n Plano Event ctr",1,2,https://a0.muscache.com/im/pictures/efd0961c-daeb-4e48-a62c-23c32c550a75.jpg?aki_policy=x_large,71,,-96.70068,,33.05383,39.1387,House,Private room,https://www.airbnb.com/rooms/25970465,0,Plano
28243114,9.6,155,2,Renovated Spacious House in the Heart of West Plano,4,8,"https://a0.muscache.com/4ea/air/v2/pictures/54a8f05a-8d6a-4b0d-b853-f149d372ef41.jpg?t=r:w2500-h1500-sfit,e:fjpg-c90",23,,-96.71967,,33.01531,174.818,House,Entire home/apt,https://www.airbnb.com/rooms/28243114,1,Plano
1003458849,10,186,2,LegacyWest Windrose|Corporate|2 Bedroom|City View,2,4,https://odis.homeaway.com/odis/listing/d2fa9ec1-d945-4d6c-b66f-600889b228f4.c10.jpg,1,7893649,-96.8302974,,33.08698621,156.926,Apartment,Entire home/apt,https://www.airbnb.com/rooms/1003458849,0,Plano
14834008,9.6,235,1,Cozy Spacious Private Room- Free Coffee,1,2,https://a0.muscache.com/im/pictures/6896724d-7803-4fc6-a27e-49bb9026f465.jpg?aki_policy=x_large,73,,-96.77613,,33.0572,40.4962,House,Private room,https://www.airbnb.com/rooms/14834008,1,Plano
1004285908,0,24,1,Kasa | Plano | Grand Studio Apartment,0,4,https://odis.homeaway.com/odis/listing/85664fcd-96a4-433b-b7c5-12b39ee5a552.c10.jpg,0,1920364vb,-96.8208644,,33.0729536,106.105,Apartment,Entire home/apt,https://www.airbnb.com/rooms/1004285908,1,Plano
43142680,10,46,1.5,Private Master Room A1 Cozy Clean Safe Plano,1,2,https://a0.muscache.com/im/pictures/07466653-1841-4e3e-b34f-0785d901852c.jpg?aki_policy=x_large,1,,-96.77332,,33.09053,33.482,House,Private room,https://www.airbnb.com/rooms/43142680,0,Plano
36348612,9.9,257,3.5,Legacy West &East One of a kind luxurious townhome,3,8,https://a0.muscache.com/im/pictures/de4eb549-3aa1-418a-9c12-8e9b04c02cef.jpg?aki_policy=x_large,38,,-96.8201,,33.08409,182.708,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/36348612,1,Plano
