airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,homeaway_property_id,longitude,m_homeaway_property_id,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
36530189,8.9,183,1.5,Private Entry Duplex Across from UT Dallas,1,4,https://a0.muscache.com/im/pictures/8b3dfbfc-0a72-4185-9625-3966641b9ae2.jpg?aki_policy=x_large,26,,-96.74805,,32.97232,50.8116,Apartment,Entire home/apt,https://www.airbnb.com/rooms/36530189,1,Richardson
16534513,9.7,31,2.5,Harmonious Dallas Room,1,1,https://a0.muscache.com/im/pictures/2c582d51-9f4a-4094-94fb-7a406d126119.jpg?aki_policy=x_large,32,,-96.75789,,32.94031,31.0,Townhouse,Private room,https://www.airbnb.com/rooms/16534513,1,Richardson
28499259,9.0,129,1.0,✪ King Bed Home ✪ Perfect 5-Star Long Term Stay. A,1,4,https://a0.muscache.com/im/pictures/5d88c69d-4b6f-4a51-a2a8-152064b34461.jpg?aki_policy=x_large,27,,-96.72123,,32.96652,81.0899,Apartment,Entire home/apt,https://www.airbnb.com/rooms/28499259,1,Richardson
29928886,10.0,208,2.0,Beautiful 2bd/2ba duplex- Richardson! NEW!,2,7,https://a0.muscache.com/im/pictures/1a86d1e6-073e-4b12-91f7-e98ac5c7cf7a.jpg?aki_policy=x_large,2,,-96.7161,7439596,32.95406,115.017,House,Entire home/apt,https://www.airbnb.com/rooms/29928886,1,Richardson
39008830,9.5,256,2.0,"Work, Play or Game Day. Comfortable 2 Bed 2 Bath",2,6,https://a0.muscache.com/im/pictures/9d0cab8f-ad3c-409c-9a38-f1e2a648612e.jpg?aki_policy=x_large,47,,-96.72123,1788592vb,32.96788,103.247,Apartment,Entire home/apt,https://www.airbnb.com/rooms/39008830,1,Richardson
40820736,10.0,30,1.5,Comfort & value stay in upscale home by UTD (#4),1,2,https://a0.muscache.com/im/pictures/ea571ed6-5951-46e6-8918-a33414c62695.jpg?aki_policy=x_large,4,,-96.75906,,32.98244,40.9375,House,Private room,https://www.airbnb.com/rooms/40820736,1,Richardson
15372789,9.8,53,1.0,Clean Private Room - See Discounts!,1,2,https://a0.muscache.com/im/pictures/fe8106e8-8d2a-41a4-abba-7319d3d61ed5.jpg?aki_policy=x_large,86,,-96.69305,,32.94625,93.2857,House,Private room,https://www.airbnb.com/rooms/15372789,1,Richardson
8919779,9.9,109,1.0,"N Dallas, S Plano in Richardson",1,2,https://a0.muscache.com/im/pictures/460cc87a-5cd4-4948-af1a-c25e6a53b16a.jpg?aki_policy=x_large,34,,-96.62115,,32.99102,49.7742,House,Private room,https://www.airbnb.com/rooms/8919779,1,Richardson
35606154,7.3,65,1.5,Luxury stay & Fully Furnished near UTD,1,1,https://a0.muscache.com/im/pictures/11e9ae7e-e6db-42b2-8935-e3db3850db0f.jpg?aki_policy=x_large,3,,-96.74794,,32.99576,38.0,Apartment,Private room,https://www.airbnb.com/rooms/35606154,1,Richardson
42436969,,51,1.0,Sweet Tucked Away 1-Bedroom In Law,1,4,https://a0.muscache.com/im/pictures/439c1133-b147-496f-9849-217123714bb9.jpg?aki_policy=x_large,0,,-96.68739,,32.96466,52.4911,Guest suite,Entire home/apt,https://www.airbnb.com/rooms/42436969,1,Richardson
35782033,8.0,148,1.5,"Cute! N. Dallas, Richardson/Garland, Welcome home!",1,1,https://a0.muscache.com/im/pictures/63ecb6e4-228a-4c27-ab76-3a85c654d24c.jpg?aki_policy=x_large,1,,-96.68695,,32.93543,48.4426,House,Private room,https://www.airbnb.com/rooms/35782033,1,Richardson
38254848,,26,1.0,Brand New Luxury Apartment,1,3,https://a0.muscache.com/im/pictures/96b7eeec-bb30-4e24-9f1d-9259d3b9c484.jpg?aki_policy=x_large,0,,-96.70554,,32.99224,104.235,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38254848,1,Richardson
25238010,9.5,188,1.0,"MinimalLoft,WiFi,9minsFromUTDallas,Hway75,DART,Bus",1,1,https://a0.muscache.com/im/pictures/4e461fdd-bfd9-497d-97e0-f099c715788c.jpg?aki_policy=x_large,33,,-96.69477,,32.96297,31.1585,House,Shared room,https://www.airbnb.com/rooms/25238010,1,Richardson
41450796,0.0,59,2.0,Charming 4 bedrooms Centrally located! Beautiful!,4,8,https://a0.muscache.com/im/pictures/4fa61007-879c-4f74-89a8-77498f2d7c81.jpg?aki_policy=x_large,0,,-96.73059,9386629,32.93108,127.3,House,Entire home/apt,https://www.airbnb.com/rooms/41450796,1,Richardson
37087022,9.0,21,2.0,Richardson Super clean and Quiet,1,1,https://a0.muscache.com/im/pictures/c7669e72-c0db-4e52-9b4f-d8fd4e6d92f8.jpg?aki_policy=x_large,3,,-96.68676,,32.94977,50.25,House,Private room,https://www.airbnb.com/rooms/37087022,1,Richardson
21788449,10.0,197,1.0,Home Away From Home guest room 3,1,2,https://a0.muscache.com/im/pictures/8c3278ef-18ab-41d7-9ffa-5f5709423e5d.jpg?aki_policy=x_large,12,,-96.69571,,32.94732,38.3692,House,Private room,https://www.airbnb.com/rooms/21788449,1,Richardson
33967219,,74,1.0,"Large, bright, full set of privacy rooms",1,1,https://a0.muscache.com/im/pictures/2fa269b9-d87c-403c-8eb5-1b786ed1d0c4.jpg?aki_policy=x_large,0,,-96.76536,,32.98213,79.0,House,Private room,https://www.airbnb.com/rooms/33967219,1,Richardson
39722395,9.8,234,2.0,"☆ 5 beds, Pool table, Wifi, & Centrally Located ☆",3,8,https://a0.muscache.com/im/pictures/fd997439-6238-4a39-9cb2-58fdd12f396d.jpg?aki_policy=x_large,52,,-96.72704,,32.94098,134.612,House,Entire home/apt,https://www.airbnb.com/rooms/39722395,1,Richardson
7229398,9.3,246,1.0,"Room Across UT Dallas,Texas (Special Discounts)",1,1,https://a0.muscache.com/im/pictures/88354559-ddcb-46fe-b718-dfe14e3dae16.jpg?aki_policy=x_large,82,,-96.748,,32.975,41.0665,Bungalow,Private room,https://www.airbnb.com/rooms/7229398,1,Richardson
1004239977,0.0,24,1.0,Studio 2 Double Beds,0,2,https://odis.homeaway.com/odis/listing/94003123-b9d7-4416-8d12-fb12febef9e7.c10.jpg,0,1956223vb,-96.709755,,32.975465,80.3043,Studio,Entire home/apt,https://www.airbnb.com/rooms/1004239977,0,Richardson
40972832,8.0,210,1.0,Private Room Suite/ Queen Bed,1,4,https://a0.muscache.com/im/pictures/e2ff8091-e97c-471b-8a7a-b96215f2eef4.jpg?aki_policy=x_large,3,,-96.61747,,32.98931,67.5041,House,Private room,https://www.airbnb.com/rooms/40972832,1,Richardson
20954772,10.0,121,1.0,Home away from home in Richardson guest room 2,1,2,https://a0.muscache.com/im/pictures/6ced374e-2de1-43cf-a10f-5717fe3d87e6.jpg?aki_policy=x_large,16,,-96.69375,,32.9478,37.8667,House,Private room,https://www.airbnb.com/rooms/20954772,1,Richardson
25768222,9.4,213,1.0,"Master bedroom, Private bath, Easy Dallas access!",1,2,https://a0.muscache.com/im/pictures/3a33cd16-f5cb-494f-8eb4-edd37aade080.jpg?aki_policy=x_large,22,,-96.7419,,32.94529,44.8211,House,Private room,https://www.airbnb.com/rooms/25768222,1,Richardson
29660164,8.8,258,1.0,King Bed Suite: A Perfect 5-Star Long Term Stay E,1,4,https://a0.muscache.com/im/pictures/188289ad-8f21-4b76-bf3b-50048ec07538.jpg?aki_policy=x_large,69,,-96.71905,,32.96776,94.7491,Apartment,Entire home/apt,https://www.airbnb.com/rooms/29660164,1,Richardson
28524572,8.8,72,1.0,King Bed Suite: A Perfect 5-Star Long Term Stay D,1,4,https://a0.muscache.com/im/pictures/6414cafa-25e8-49d0-a933-1d91f885e397.jpg?aki_policy=x_large,42,,-96.72106,,32.96613,90.4101,Apartment,Entire home/apt,https://www.airbnb.com/rooms/28524572,1,Richardson
29015269,0.0,215,1.5,Charming 3 bedrooms Richardson! Great location!,3,8,https://a0.muscache.com/im/pictures/00d889e9-7380-4ee7-9726-244db015d9e4.jpg?aki_policy=x_large,0,,-96.76145,7374364,32.94943,166.5,House,Entire home/apt,https://www.airbnb.com/rooms/29015269,1,Richardson
32474027,9.5,300,2.5,"Fabulous House, Pool & Great Location!",4,10,https://a0.muscache.com/im/pictures/4da8bf5d-3db0-442c-ab97-5ac616a58724.jpg?aki_policy=x_large,27,,-96.73288,1573652vb,32.93255,338.764,House,Entire home/apt,https://www.airbnb.com/rooms/32474027,1,Richardson
37912001,9.9,174,1.0,High Five Guest Suite,1,2,https://a0.muscache.com/im/pictures/c1d27b44-fc4a-4077-b88b-d58aab6ac90d.jpg?aki_policy=x_large,14,,-96.72681,,32.92676,57.1797,Guest suite,Entire home/apt,https://www.airbnb.com/rooms/37912001,1,Richardson
42474229,9.5,151,1.0,Fantastic 1Br 1 Ba with a balcony!,1,2,https://a0.muscache.com/im/pictures/f281af25-af51-402a-a375-bdbb47998bff.jpg?aki_policy=x_large,4,,-96.706,,32.98,109.038,Serviced apartment,Entire home/apt,https://www.airbnb.com/rooms/42474229,1,Richardson
43895002,,30,2.0,Two Bedroom Luxury Apartment,2,4,https://a0.muscache.com/im/pictures/24752b88-a6b0-4f2d-9470-3adc7a7d2e6e.jpg?aki_policy=x_large,0,,-96.70614,,32.99283,123.583,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43895002,1,Richardson
35850121,10.0,31,2.0,RD116-Richardson Boutique Fully Furn Apt 2BD/2BA,2,4,https://a0.muscache.com/im/pictures/bbbffc7d-dd85-49da-b65b-44bb9a7ac1a9.jpg?aki_policy=x_large,1,,-96.65942,,32.99607,89.9785,Apartment,Entire home/apt,https://www.airbnb.com/rooms/35850121,0,Richardson
38321696,9.7,180,2.0,Modern Home in the Heart of Richardson,3,7,https://a0.muscache.com/im/pictures/a68a13ae-5691-4b41-840d-6308c4785744.jpg?aki_policy=x_large,18,,-96.73547,,32.97303,163.446,House,Entire home/apt,https://www.airbnb.com/rooms/38321696,1,Richardson
40810421,9.6,204,1.0,Gorgeous mid-century/modern Upscale apartment.,0,2,https://a0.muscache.com/im/pictures/d46d9ab7-a019-4c30-b3fd-bdf8c6a4aead.jpg?aki_policy=x_large,10,,-96.73628,,32.94212,82.7083,Apartment,Entire home/apt,https://www.airbnb.com/rooms/40810421,0,Richardson
26603323,9.3,358,1.0,Modern Private Bedroom Across UT Dallas,1,1,https://a0.muscache.com/im/pictures/53943fd0-f52e-4054-9465-ad912899c35e.jpg?aki_policy=x_large,101,,-96.74598,,32.97396,88.2465,Bungalow,Private room,https://www.airbnb.com/rooms/26603323,1,Richardson
21629088,9.4,182,1.0,(#4) Queen & 1 Twin Bed Private Bath 2 rooms,2,3,https://a0.muscache.com/im/pictures/b15e06c6-1643-4843-94ac-c7181438753a.jpg?aki_policy=x_large,27,,-96.74317,,32.9495,62.0864,House,Private room,https://www.airbnb.com/rooms/21629088,1,Richardson
20635962,9.8,172,1.0,Home away from home in Richardson guest room 1,1,2,https://a0.muscache.com/im/pictures/74e17da0-4b70-4e7d-baf0-8a3a9f9bf152.jpg?aki_policy=x_large,106,,-96.69514,,32.94748,39.8258,House,Private room,https://www.airbnb.com/rooms/20635962,1,Richardson
20308829,9.8,232,1.5,Amazing Private Room (MORNING BEVERAGES DAILY!!!),1,2,https://a0.muscache.com/im/pictures/d5c7a7b1-0012-4ee4-bbb8-cde24d196a3d.jpg?aki_policy=x_large,120,,-96.64825,,32.99102,42.8462,House,Private room,https://www.airbnb.com/rooms/20308829,1,Richardson
32671357,9.5,136,1.0,"SUPER COZY PAD, 10 MIN TO DOWNTOWN DALLAS",1,3,https://a0.muscache.com/im/pictures/bfe62566-7912-481f-b8fc-90123197af58.jpg?aki_policy=x_large,56,,-96.72258,,32.93453,66.6807,Apartment,Entire home/apt,https://www.airbnb.com/rooms/32671357,1,Richardson
14533727,10.0,3,1.0,Two Blocks from University of Texas at Dallas.,1,1,https://a0.muscache.com/im/pictures/f5b280c2-ac68-45ac-823a-9b7648aac32d.jpg?aki_policy=x_large,6,,-96.74043,,32.98562,50.0,House,Private room,https://www.airbnb.com/rooms/14533727,0,Richardson
43755536,10.0,25,1.0,Fully Furnished Spacious Apartment,1,1,https://a0.muscache.com/im/pictures/69a93bab-08b1-4a90-a833-a641172c5b3d.jpg?aki_policy=x_large,1,,-96.74905,,32.99384,32.4167,Apartment,Private room,https://www.airbnb.com/rooms/43755536,1,Richardson
40429318,10.0,194,3.0,Hot Tub! 🏊‍♀️ Game Room! 🏀 Great for Large Groups! 🎉,5,16,https://a0.muscache.com/im/pictures/45691694-ed60-4357-b6dd-99c96edbf2e7.jpg?aki_policy=x_large,4,,-96.65107,,32.99205,284.655,House,Entire home/apt,https://www.airbnb.com/rooms/40429318,1,Richardson
42916041,8.0,59,1.0,Tucked away little gem,1,1,https://a0.muscache.com/im/pictures/5dca8f65-7a23-4bd5-a4bd-59145299c660.jpg?aki_policy=x_large,2,,-96.68759,,32.96599,31.7619,House,Private room,https://www.airbnb.com/rooms/42916041,1,Richardson
32213764,9.6,351,2.0,"Family Home w/Yard, Walk to Breckinridge Park",5,14,https://a0.muscache.com/im/pictures/cc664be8-ec30-49f0-b299-6b765d5fc685.jpg?aki_policy=x_large,11,,-96.62065,7600655,33.00263,319.409,House,Entire home/apt,https://www.airbnb.com/rooms/32213764,1,Richardson
39414385,,25,1.0,Beautiful Furnished APT in Richardson,1,3,https://a0.muscache.com/im/pictures/264604d9-309b-4b59-86fd-4fd883ddc479.jpg?aki_policy=x_large,0,,-96.71635,,32.97511,137.5,Apartment,Entire home/apt,https://www.airbnb.com/rooms/39414385,1,Richardson
40874912,9.9,211,2.5,"Spacious, Amazing Modern Home w/ Pool",4,12,https://a0.muscache.com/im/pictures/e33deaed-0d55-4f88-9435-b2647fdbd9ab.jpg?aki_policy=x_large,28,,-96.69599,,32.96232,201.93,House,Entire home/apt,https://www.airbnb.com/rooms/40874912,1,Richardson
43770778,,30,2.0,Cosy 2bed 2bath fully furnished -Telecom corridor,2,4,https://a0.muscache.com/im/pictures/bbbffc7d-dd85-49da-b65b-44bb9a7ac1a9.jpg?aki_policy=x_large,0,,-96.70611,,32.98014,102.429,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43770778,0,Richardson
39201052,9.9,189,1.0,Top Rated Self-Check In Suite - Richardson/Dallas,1,2,https://a0.muscache.com/im/pictures/7a95e568-8865-4b25-8df0-ddbfdab02480.jpg?aki_policy=x_large,31,,-96.68015,,32.98647,40.8727,House,Private room,https://www.airbnb.com/rooms/39201052,1,Richardson
38102339,8.7,221,1.0,! Cozy Private Bedroom in N. Dallas.,1,2,https://a0.muscache.com/im/pictures/8a296b58-5ad9-4d01-949b-76d99b6f461d.jpg?aki_policy=x_large,23,,-96.74956,,32.9423,34.8019,Condominium,Private room,https://www.airbnb.com/rooms/38102339,1,Richardson
38440595,9.6,226,1.0,Convenient Location ~ Warm and Cozy Apartment,1,4,https://a0.muscache.com/im/pictures/5861c503-de01-4f4d-92e3-70fc41d499da.jpg?aki_policy=x_large,50,,-96.72045,1763193vb,32.96787,81.3297,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38440595,1,Richardson
32379307,8.2,330,2.0,"25 foot Ceilings! + Parking, wifi, gym, pool, LOVE",2,10,https://a0.muscache.com/im/pictures/a7455860-7244-4a8f-bab7-911aad74b1be.jpg?aki_policy=x_large,65,,-96.72094,,32.96716,144.878,Apartment,Entire home/apt,https://www.airbnb.com/rooms/32379307,1,Richardson
20698785,9.3,135,1.0,"Oriental-style SofaBed,WiFi,near UTD,Hway,DART,Bus",1,1,https://a0.muscache.com/im/pictures/596a5fcc-c3a7-4b09-8e9a-07e77ebe2635.jpg?aki_policy=x_large,75,,-96.69566,,32.96165,25.9571,House,Shared room,https://www.airbnb.com/rooms/20698785,1,Richardson
25831002,10.0,228,2.0,Quiet and cozy suite,2,4,https://a0.muscache.com/im/pictures/1cf4a946-64d1-4b27-9c91-5c5a95c0b376.jpg?aki_policy=x_large,1,,-96.68285,,32.97908,215.625,House,Private room,https://www.airbnb.com/rooms/25831002,1,Richardson
40971802,10.0,210,1.0,Spacious ROOM / Queen spaces,1,1,https://a0.muscache.com/im/pictures/3ba33d3e-769c-4c19-9dec-f6a3c1456389.jpg?aki_policy=x_large,2,,-96.61907,,32.98975,56.0,House,Private room,https://www.airbnb.com/rooms/40971802,1,Richardson
41775327,,144,1.0,BEST DEAL Private bedroom Totally Renewed!,1,2,https://a0.muscache.com/im/pictures/c2008ffe-9090-42da-a0e3-fd623b3a24c4.jpg?aki_policy=x_large,0,,-96.6175,,32.98844,40.1277,House,Private room,https://www.airbnb.com/rooms/41775327,1,Richardson
1004076269,0.0,61,1.0,Detached Guest House - convenient for business or pleasure- a mile from UTD,1,2,https://odis.homeaway.com/odis/listing/b6f8a6f8-edad-404c-af81-d24fa7e3d5a4.c10.jpg,0,1781290vb,-96.75251157,,32.96288885,120.0,Apartment,Entire home/apt,https://www.airbnb.com/rooms/1004076269,0,Richardson
42853381,6.0,120,1.0,King bed comfort,1,2,https://a0.muscache.com/im/pictures/0db636e2-50b2-4080-8a6e-0a4ac6d41bcc.jpg?aki_policy=x_large,1,,-96.6874,,32.96423,32.7556,House,Private room,https://www.airbnb.com/rooms/42853381,1,Richardson
23072572,10.0,330,1.0,Get a good night''s sleep on a quiet cul de sac,1,2,https://a0.muscache.com/im/pictures/ed16b145-bb97-4560-a681-9e2440545c77.jpg?aki_policy=x_large,99,,-96.73721,,32.96007,39.7056,House,Private room,https://www.airbnb.com/rooms/23072572,1,Richardson
43788082,,30,1.0,Peace + Comfort! Cozy Apartment in Richardson.,1,4,https://a0.muscache.com/im/pictures/2e3a8c7c-17d9-4662-a901-0d92370d18f5.jpg?aki_policy=x_large,0,,-96.71308,,32.99007,86.0,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43788082,1,Richardson
8281314,10.0,63,2.5,Renovated Richardson Condo,2,4,https://a0.muscache.com/im/pictures/107819585/e144cc2c_original.jpg?aki_policy=x_large,9,,-96.72647,4038731,32.98836,74.186,Apartment,Entire home/apt,https://www.airbnb.com/rooms/8281314,1,Richardson
22683654,9.9,264,1.0,1st Private Bedroom with shared bath,1,2,https://a0.muscache.com/im/pictures/e03a61c0-d1fd-425d-86df-1765db332dbc.jpg?aki_policy=x_large,110,,-96.76606,,32.95631,44.5922,House,Private room,https://www.airbnb.com/rooms/22683654,1,Richardson
38491191,,12,1.0,Home Away From Home,1,2,https://a0.muscache.com/im/pictures/9fb25f42-3299-4b13-9fc3-e97a16f4d5c6.jpg?aki_policy=x_large,1,,-96.71704,,32.99777,96.6667,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38491191,1,Richardson
22434331,9.8,87,2.0,Centrally Located Richardson Home,3,5,https://a0.muscache.com/im/pictures/82cbb261-7a00-4922-a21a-9624218ba1a4.jpg?aki_policy=x_large,32,,-96.74921,,32.94865,141.402,House,Entire home/apt,https://www.airbnb.com/rooms/22434331,1,Richardson
41712027,10.0,62,3.5,"Spacious 3-Bedroom Condo Near UT Dallas, CityLine",3,8,https://a0.muscache.com/im/pictures/ca74124d-dd19-43c1-a717-ce8ee36fdabf.jpg?aki_policy=x_large,4,,-96.72669,,32.98974,100.345,Condominium,Entire home/apt,https://www.airbnb.com/rooms/41712027,1,Richardson
39501774,10.0,60,1.0,Private Modern Master Suite Across UT Dallas,1,2,https://a0.muscache.com/im/pictures/29394131-96c8-4a8b-9810-6797f54624e3.jpg?aki_policy=x_large,2,,-96.74665,,32.9734,47.5185,Bungalow,Private room,https://www.airbnb.com/rooms/39501774,1,Richardson
15442463,10.0,284,1.0,"Clean, Cozy home away from home",1,2,https://a0.muscache.com/im/pictures/513e0c7f-3706-4d1f-83b2-d094aaff521c.jpg?aki_policy=x_large,37,,-96.68694,,32.96533,47.8976,House,Private room,https://www.airbnb.com/rooms/15442463,1,Richardson
16242714,9.4,224,1.0,"Private Room Univ of Texas, ( Special Discount)",1,1,https://a0.muscache.com/im/pictures/f6ea4800-3e35-4fea-9a1e-25a5fae052e1.jpg?aki_policy=x_large,75,,-96.749,,32.975,40.4209,Bungalow,Private room,https://www.airbnb.com/rooms/16242714,1,Richardson
26779587,9.9,193,1.0,Serene Mid-Century Refuge - **PRIVATE ENTRY**,1,2,https://a0.muscache.com/im/pictures/c6ac361f-43f4-4208-8229-3069c9370fe0.jpg?aki_policy=x_large,20,,-96.74827,,32.94977,53.6371,Guest suite,Entire home/apt,https://www.airbnb.com/rooms/26779587,1,Richardson
21408190,9.6,195,1.0,(#3) Queen Bed in Beautiful Wood Floor Home,1,2,https://a0.muscache.com/im/pictures/7b28d0de-2ea6-481d-8cba-63d4090a69b9.jpg?aki_policy=x_large,20,,-96.74169,,32.94993,40.6668,House,Private room,https://www.airbnb.com/rooms/21408190,1,Richardson
40991149,10.0,210,1.0,"Luxury King Bed MASTER SUITE with own ""OFFICE""",1,3,https://a0.muscache.com/im/pictures/db475096-5d9e-4dd3-9da6-76b7053f75ce.jpg?aki_policy=x_large,5,,-96.61765,,32.98929,48.803,House,Private room,https://www.airbnb.com/rooms/40991149,1,Richardson
40631810,9.7,165,3.0,Cozy home in the heart of Richardson,4,9,https://a0.muscache.com/im/pictures/4bb6ab99-0be9-414a-8676-c41b0ca29f29.jpg?aki_policy=x_large,7,,-96.75143,,32.94791,140.912,House,Entire home/apt,https://www.airbnb.com/rooms/40631810,1,Richardson
32467954,8.6,318,2.0,"Spacious and new family home: pool, parking & gym!",2,10,https://a0.muscache.com/im/pictures/573da69a-61c8-4f45-9af9-50a80585bb7d.jpg?aki_policy=x_large,68,,-96.72028,,32.96648,161.447,Apartment,Entire home/apt,https://www.airbnb.com/rooms/32467954,1,Richardson
40357781,9.5,211,1.0,Home away from home,1,2,https://a0.muscache.com/im/pictures/3e9b90a3-3811-44c0-8942-81d8509fe100.jpg?aki_policy=x_large,16,,-96.69214,,32.95714,30.1896,House,Private room,https://www.airbnb.com/rooms/40357781,1,Richardson
10710105,9.8,135,1.0,Business Home away from Home,1,2,https://a0.muscache.com/im/pictures/fa160922-d1b0-43c0-9bae-f96c751c3b24.jpg?aki_policy=x_large,72,,-96.74878,,32.95079,50.0515,House,Private room,https://www.airbnb.com/rooms/10710105,1,Richardson
20689035,9.4,213,1.0,"TV,miniFridge,Desk,9minsFromCurtis CudwellCenter",1,2,https://a0.muscache.com/im/pictures/104d568f-c454-4a87-bd86-613fb66786f7.jpg?aki_policy=x_large,68,,-96.69454,,32.96284,39.4091,House,Private room,https://www.airbnb.com/rooms/20689035,1,Richardson
